insertions,bins,balls,alpha,perc,observed,lower bound,upper bound
0.01,16,0,1.09685632484,1.08066728904,0,0.0,1.09685632484
0.02,32,0,1.11773681501,1.10374135378,0,0.0,1.11773681501
0.03,62,0,1.73733688623,1.10487352246,0,0.0,1.73733688623
0.04,64,0,1.1560291292,1.11060474489,0,0.0,1.1560291292
0.05,67,0,1.16675521321,1.15109363096,0,0.0,1.16675521321
0.06,122,0,1.72880416294,1.13492772871,0,0.0,1.72880416294
0.07,128,218,1.19111129382,1.14279699173,2.7,1.70584821946,4.76444517527
0.08,128,218,1.19111129382,1.14279699173,6.65517241379,1.70584821946,4.76444517527
0.09,128,872,1.19111129382,1.14279699173,63.6666666667,6.82339287785,16.6755581135
0.1,142,872,1.28139055953,1.20156933068,0,6.21526600412,16.6580772739
0.11,186,1962,1.53012660931,1.46064491685,41.5555555556,10.7716428839,33.6627854049
0.12,235,2180,1.79002179261,1.63034015276,17.7228915663,9.36470449508,34.0104140595
0.13,254,1744,1.78006717256,1.14489621278,30.7833333333,6.88422936282,24.9209404158
0.14,256,5014,1.20916053011,1.14778278657,15.191011236,19.6220122866,48.3664212042
0.15,256,6104,1.20916053011,1.14778278657,33.4464285714,23.8876671315,58.0397054451
0.16,256,4360,1.20916053011,1.14778278657,34.5684931507,17.0626193796,42.3206185537
0.17,256,3706,1.20916053011,1.14778278657,25.829787234,14.5032264727,35.0656553731
0.18,256,1744,1.20916053011,1.14778278657,25.8318584071,6.82504775185,16.9282474215
0.19,261,6322,1.23120760531,1.15971467159,11.2214765101,24.3131488504,60.3291726604
0.2,281,3706,1.27148566586,1.18773134421,30.0,13.323086401,34.3301129782
0.21,314,2398,1.36801398657,1.29502770523,27.1855670103,7.77608032626,21.888223785
0.22,372,3706,1.57065328503,1.4784653119,13.52,10.1715355002,31.4130657007
0.23,421,4142,1.68824394637,1.56743650138,24.9782608696,10.006966516,33.7648789275
0.24,464,5232,1.74302684918,1.60894803554,19.6,11.3920036512,40.0896175312
0.25,489,6104,1.80917759688,1.30562778104,18.7233201581,12.5621469619,45.229439922
0.26,505,5014,1.77950084674,1.16064765737,15.5922619048,9.96546987236,35.5900169349
0.27,511,6104,1.64889414118,1.16027400096,11.9891304348,11.9781251196,39.5734593883
0.28,512,6104,1.54599611365,1.16114881273,12.1417721519,11.95319546,37.1039067277
0.29,512,5886,1.54599611365,1.16114881273,13.4380733945,11.5262956222,35.557910614
0.3,513,6758,1.4022468003,1.16248973152,16.0568181818,13.2072893137,37.8606636081
0.31,513,7630,1.4022468003,1.16248973152,15.1879699248,14.9114556768,42.067404009
0.32,513,6976,1.4022468003,1.16248973152,15.6529562982,13.6333309045,39.2629104084
0.33,513,8938,1.4022468003,1.16248973152,13.5331632653,17.4677052213,49.0786380106
0.34,514,8938,1.32347383169,1.16392673825,17.2847682119,17.4343088766,46.3215841093
0.35,514,6322,1.32347383169,1.16392673825,16.92,12.3315843274,33.0868457924
0.36,517,4142,1.33119838713,1.16800981435,13.9421296296,8.03659062797,22.6303725812
0.37,520,5668,1.33892294257,1.17065475322,11.2038567493,10.9392042652,29.4563047365
0.38,529,8502,1.2603924546,1.16961373198,12.7669902913,16.1536895091,41.5929510018
0.39,548,6540,1.30566174881,1.18739171444,22.9723076923,12.0315520724,31.3358819714
0.4,570,5450,1.29232556363,1.22259178255,12.4259681093,9.67111612644,25.8465112726
0.41,592,6758,1.33710517324,1.24555364747,12.4350961538,11.576048822,30.7534189845
0.42,629,6976,1.41730455617,1.30140637307,13.6923076923,11.2832768049,32.5980047918
0.43,678,7630,1.45926099423,1.37782955878,14.0798403194,11.4786329898,33.5630028672
0.44,731,7194,1.53600535921,1.45922857211,13.0868725869,10.0448013317,30.7201071842
0.45,791,9374,1.6620796705,1.5110552294,11.587962963,12.0723161364,39.889912092
0.46,829,10246,1.66793045847,1.55324181717,17.1333333333,12.5664952764,41.6982614617
0.47,874,10246,1.72843301874,1.5736488001,15.9192825112,11.8842570713,41.4823924497
0.48,913,11990,1.7481874308,1.59166378351,15.997311828,13.2745907473,47.2010606317
0.49,938,12644,1.79605674709,1.58466315717,19.036036036,13.5983702336,48.4935321714
0.5,966,14388,1.74548116991,1.54126255326,19.1286549708,14.991974702,52.3644350974
0.51,983,15914,1.77556594226,1.19249231489,22.1472392638,16.2742102915,58.5936760946
0.52,999,15478,1.73800973389,1.17283524491,21.8571428571,15.557065445,53.8783017506
