insertions,bins,balls,alpha,perc,observed,lower bound,upper bound
0.01,16,0,1.106112,1.076148,9.61708405562,0.0,1.106112
0.02,32,0,1.118592,1.1049216,0,0.0,1.118592
0.03,62,0,1.86248,1.1277459,0,0.0,1.86248
0.04,64,0,1.187904,1.095664,0,0.0,1.187904
0.05,65,0,1.206465,1.097109,0,0.0,1.206465
0.06,121,0,1.822502,1.623215,0,0.0,1.822502
0.07,128,0,1.216768,1.1428672,0,0.0,1.216768
0.08,128,0,1.216768,1.1428672,0,0.0,1.216768
0.09,128,0,1.216768,1.1428672,0,0.0,1.216768
0.1,135,3706,1.28331,1.150227,52.5,27.6413641155,70.58205
0.11,191,2834,1.705439,1.477385,64.0465116279,15.1676012969,51.16317
0.12,238,1090,1.8088,1.6307522,19.9166666667,4.61903617089,18.088
0.13,255,1962,1.71411,1.1456895,12.5344827586,7.7099359071,27.42576
0.14,256,4796,1.250304,1.143232,13.7326732673,18.7665835499,47.511552
0.15,256,4578,1.250304,1.143232,33.4765625,17.9135570249,45.010944
0.16,256,1962,1.250304,1.143232,25.4817518248,7.67723872495,20.004864
0.17,256,7194,1.250304,1.143232,9.88028169014,28.1498753248,71.267328
0.18,257,6322,1.255188,1.1398978,34.8536585366,24.6495409319,62.7594
0.19,260,4360,1.26984,1.146717,33.0895522388,16.8215926374,43.17456
0.2,275,1308,1.24025,1.1905575,23.8402777778,4.7967060465,12.4025
0.21,316,3924,1.408412,1.29955,17.2822580645,12.6484748658,35.2103
0.22,371,3924,1.583799,1.4700875,26.1181102362,10.8247888735,34.843578
0.23,433,3052,1.737629,1.601667,19.9273743017,7.16812987871,26.064435
0.24,466,5232,1.81274,1.6257575,10.7723880597,11.3519711515,41.69302
0.25,494,4796,1.790256,1.1954306,12.496,9.76639674183,35.80512
0.26,508,5232,1.780032,1.1539982,13.5915492958,10.3361125873,37.380672
0.27,511,6104,1.652574,1.1576705,14.7882736156,11.9821064151,39.661776
0.28,512,6758,1.655808,1.1588352,16.5394321767,13.2383313497,44.706816
0.29,512,7412,1.655808,1.1588352,18.0286738351,14.51946019,48.018432
0.3,513,5014,1.356372,1.158867,18.5266106443,9.80158539007,27.12744
0.31,513,6976,1.356372,1.158867,9.46205357143,13.6369883688,37.978416
0.32,513,6758,1.356372,1.158867,14.3629441624,13.2108324823,36.622044
0.33,514,7412,1.286542,1.1584275,17.9141104294,14.4620537425,37.309718
0.34,514,7848,1.286542,1.1584275,18.1036414566,15.3127627862,39.882802
0.35,514,4142,1.286542,1.1584275,17.6947890819,8.08173591492,21.871214
0.36,516,6540,1.291548,1.156356,8.41791044776,12.7154162667,33.580248
0.37,520,5232,1.30156,1.160224,14.2946635731,10.100296394,27.33276
0.38,527,7848,1.245301,1.1686225,16.7724358974,14.9638310861,37.35903
0.39,538,4796,1.2374,1.1794574,16.896,8.97485580497,22.2732
0.4,551,7630,1.266198,1.195119,10.8607888631,13.9724281711,35.453544
0.41,583,4796,1.30592,1.2410904,14.7173913043,8.33641583155,22.20064
0.42,624,6104,1.390272,1.2922104,15.8616714697,9.95462362139,27.80544
0.43,670,6758,1.45859,1.35541,14.1305483029,10.2901944891,30.63039
0.44,721,7412,1.537893,1.428301,11.0528375734,10.5014425508,32.295753
0.45,790,8938,1.6353,1.51522,12.3458333333,11.5396781212,37.6119
0.46,840,8284,1.70856,1.561602,13.6794871795,10.030818432,34.1712
0.47,890,6540,1.75686,1.5918095,11.4625176803,7.44659202219,26.3529
0.48,930,4796,1.77258,1.61634,9.08712121212,5.20990496169,19.49838
0.49,947,10682,1.766155,1.5948427,13.7698961938,11.3802136567,40.621565
0.5,978,11118,1.811256,1.2535026,14.962962963,11.4385148326,41.658888
0.51,993,12208,1.800309,1.1884224,16.3741648107,12.3535439617,45.007725
0.52,1004,15042,1.76704,1.184971,17.8343558282,15.0423736697,53.0112
0.53,1017,12862,1.763478,1.167516,19.0395256917,12.6853175474,45.850428
0.54,1019,13734,1.766946,1.168793,21.7467948718,13.5168028042,47.707542
0.55,1020,17440,1.76868,1.168971,21.4280821918,17.1464270282,61.9038
0.56,1023,17440,1.5345,1.1690844,23.6791277259,17.092589912,53.7075
0.57,1023,17440,1.5345,1.1690844,25.0418848168,17.092589912,53.7075
0.58,1023,15478,1.5345,1.1690844,24.3773584906,15.1696735469,47.5695
0.59,1023,16568,1.5345,1.1690844,24.3305785124,16.2379604164,50.6385
0.6,1023,17004,1.5345,1.1690844,24.035483871,16.6652751642,52.173
0.61,1023,21364,1.5345,1.1690844,23.8953488372,20.9384226422,64.449
0.62,1025,20928,1.380675,1.16932,29.9440298507,20.4708438275,56.607675
0.63,1025,17658,1.380675,1.16932,26.8733850129,17.2722744795,48.323625
0.64,1025,17876,1.380675,1.16932,25.8484848485,17.485512436,48.323625
0.65,1025,16568,1.380675,1.16932,27.8945783133,16.2060846968,45.562275
0.66,1025,17658,1.380675,1.16932,23.3588709677,17.2722744795,48.323625
0.67,1027,19620,1.313533,1.1684179,27.7212121212,19.1553650834,51.227787
0.68,1027,19184,1.313533,1.1684179,26.154676259,18.7296903038,49.914254
0.69,1027,21582,1.313533,1.1684179,30.7654320988,21.0709015917,56.481919
0.7,1029,11554,1.316091,1.1695614,27.4848484848,11.2600456669,30.270093
0.71,1032,18748,1.319928,1.1658504,29.8704663212,18.2219070311,48.837336
0.72,1033,18530,1.321207,1.164191,26.7844311377,17.9934008924,47.563452
0.73,1039,16568,1.313296,1.167836,26.163141994,16.0009215674,42.025472
0.74,1046,17876,1.322144,1.1712585,25.8231292517,17.1573675768,46.27504
0.75,1055,19184,1.33352,1.176325,24.2323232323,18.268082129,49.34024
0.76,1066,18312,1.280266,1.182194,26.1660899654,17.2727420951,44.80931
0.77,1074,20710,1.289874,1.1882199,24.4246153846,19.4021082649,50.305086
0.78,1089,17876,1.307889,1.193544,28.0175438596,16.5364795683,43.160337
0.79,1106,17440,1.328306,1.207199,24.7467948718,15.9067772033,42.505792
0.8,1131,17222,1.318746,1.2243075,24.4236842105,15.3870336935,40.881126
0.81,1162,16786,1.333976,1.2444439,19.488372093,14.6262454664,38.685304
0.82,1201,17876,1.361934,1.268256,20.1337047354,15.102183645,40.85802
0.83,1230,15914,1.37145,1.28289,18.7489270386,13.1444429903,35.6577
0.84,1281,14170,1.428315,1.320711,16.8427152318,11.2587955991,32.851245
0.85,1320,12208,1.4718,1.34376,17.5411522634,9.42157127839,27.9642
0.86,1362,13080,1.494114,1.3741899,12.9442622951,9.79117188268,29.88228
0.87,1404,8066,1.526148,1.399788,12.1252699784,5.86017014441,18.313776
0.88,1473,14170,1.601151,1.445013,15.3852327448,9.81500935546,32.02302
0.89,1508,13952,1.587924,1.464268,13.4003350084,9.43682013837,30.170556
0.9,1573,17658,1.63592,1.500642,12.4270833333,11.4390039292,37.62616
0.91,1629,15260,1.69416,1.536147,13.5179104478,9.53326302532,32.18904
0.92,1665,17440,1.67166,1.55178,12.5064695009,10.6489708015,35.10486
0.93,1695,18094,1.70178,1.5632985,16.3977777778,10.8433890755,37.43916
0.94,1737,20710,1.712682,1.577196,13.2417794971,12.0948126927,41.104368
0.95,1783,18530,1.758038,1.5902577,16.1541155867,10.5257063179,36.918798
0.96,1818,19184,1.765278,1.594386,15.6724436742,10.6728079988,38.836116
0.97,1848,21364,1.794408,1.5990744,15.8234086242,11.6798198857,43.065792
0.98,1877,22236,1.822567,1.591696,14.9185185185,11.9558306491,43.741608
0.99,1913,20928,1.79822,1.5694252,14.8176,11.0250068819,39.56084
1.0,1933,22018,1.81702,1.5564516,16.4085027726,11.4697104736,41.79146
1.01,1953,21364,1.83582,1.3276494,15.6572504708,11.0069214136,40.38804
1.02,1973,23544,1.807268,1.221287,16.1943231441,11.9972538243,43.374432
1.03,1992,22454,1.798776,1.197192,15.3279857398,11.3241018157,41.371848
1.04,1998,24852,1.792206,1.1931057,19.0275590551,12.4930134847,44.80515
1.05,2009,23326,1.802073,1.189328,17.258979206,11.657000984,43.249752
1.06,2015,18966,1.807455,1.18885,17.8250460405,9.44797899721,34.341645
1.07,2026,22672,1.817322,1.181158,16.8996138996,11.2287388232,41.798406
1.08,2034,24416,1.802124,1.17972,17.6997840173,12.0415325534,45.0531
1.09,2037,25070,1.704969,1.179423,17.9330143541,12.3443746923,42.624225
1.1,2042,5886,1.637684,1.180276,21.4829545455,2.89071345719,9.826104
1.11,2044,28340,1.59432,1.1811254,22.0641330166,13.9039948033,44.64096
1.12,2045,28776,1.584875,1.179965,20.9175475687,14.1106714419,45.961375
1.13,2045,28340,1.584875,1.179965,22.7564469914,13.8968733897,44.3765
1.14,2045,28122,1.584875,1.179965,22.4811881188,13.7899743637,44.3765
1.15,2045,27250,1.584875,1.179965,22.9905437352,13.3623782594,42.791625
1.16,2045,28122,1.584875,1.179965,19.465648855,13.7899743637,44.3765
1.17,2046,27904,1.501764,1.180542,20.4064837905,13.6760942744,42.049392
1.18,2046,28340,1.501764,1.180542,21.6645021645,13.8897832474,42.049392
1.19,2046,26596,1.501764,1.180542,21.5589622642,13.0350273553,39.045864
1.2,2047,24416,1.502498,1.181119,21.7627811861,11.9609377964,36.059952
1.21,2047,24416,1.502498,1.181119,18.9490333919,11.9609377964,36.059952
1.22,2048,28122,1.4848,1.181696,20.0272727273,13.7695962539,41.5744
1.23,2048,28122,1.4848,1.181696,22.5376623377,13.7695962539,41.5744
1.24,2049,28340,1.456839,1.182273,21.7985781991,13.8694919613,40.791492
1.25,2049,27904,1.456839,1.182273,21.464362851,13.6561151619,40.791492
1.26,2050,26814,1.44115,1.18285,20.0831758034,13.1162628057,38.91105
1.27,2050,28122,1.44115,1.18285,20.7176470588,13.7560805036,40.3522
1.28,2050,28558,1.44115,1.18285,21.4892601432,13.9693530695,40.3522
1.29,2050,25288,1.44115,1.18285,21.3411016949,12.3698088249,36.02875
1.3,2052,20928,1.393308,1.181952,20.3255813953,10.2272241403,29.259468
1.31,2052,27250,1.393308,1.181952,20.4386792453,13.3166980994,37.619316
1.32,2052,27904,1.393308,1.181952,22.146039604,13.6362988538,39.012624
1.33,2053,28558,1.393987,1.182528,21.2757847534,13.9493104829,39.031636
1.34,2053,27904,1.393987,1.182528,22.3301662708,13.6298606245,39.031636
1.35,2054,27904,1.372072,1.183104,22.7281105991,13.623362432,38.418016
1.36,2056,27468,1.361072,1.182714,20.2823218997,13.3981410011,36.748944
1.37,2057,27904,1.361734,1.182775,21.6934673367,13.6045320863,38.128552
1.38,2060,28122,1.36372,1.18244,22.0,13.691865377,38.18416
1.39,2061,27904,1.364382,1.180953,22.6631853786,13.5793647499,38.202696
1.4,2063,24198,1.365706,1.1818927,22.5257270694,11.765109059,32.776944
1.41,2068,27468,1.369016,1.1821722,20.4439918534,13.3249504365,36.963432
1.42,2070,28558,1.37034,1.18197,21.9223057644,13.8410349606,38.36952
1.43,2076,28340,1.374312,1.183839,21.7863436123,13.698536374,38.480736
1.44,2084,28122,1.296248,1.185796,21.5764411028,13.5441644387,34.998696
1.45,2086,29212,1.297492,1.186934,23.2776412776,14.0566962298,37.627268
1.46,2091,27250,1.300602,1.187688,19.0302419355,13.0836598072,35.116254
1.47,2098,28558,1.304956,1.1877827,20.1253132832,13.6697156098,36.538768
1.48,2112,26596,1.313664,1.189056,19.6326530612,12.6532028621,34.155264
1.49,2114,27686,1.314908,1.190182,20.1162790698,13.1603021134,35.502516
1.5,2121,28776,1.319262,1.189881,20.3252427184,13.6362340076,36.939336
1.51,2136,28776,1.328592,1.194024,20.227571116,13.5478147334,35.871984
1.52,2149,28340,1.325933,1.196993,19.5307377049,13.2688035047,35.800191
