insertions,bins,balls,alpha,perc,observed,lower bound,upper bound
0.01,16,0,1.192128,1.17018,9.4687195891,0.0,1.192128
0.02,32,0,1.255072,1.190528,0,0.0,1.255072
0.03,60,0,1.71816,1.60881,0,0.0,1.71816
0.04,64,0,1.257984,1.195824,0,0.0,1.257984
0.05,72,0,1.302552,1.2309552,0,0.0,1.302552
0.06,116,218,1.729212,1.619824,21.0909090909,1.89939589512,6.916848
0.07,128,1308,1.324672,1.1927104,2.45454545455,10.2468321055,27.818112
0.08,128,2834,1.324672,1.1927104,84.1739130435,22.2014695619,59.61024
0.09,129,2834,1.335021,1.200087,90.875,22.039104983,58.740924
0.1,147,2398,1.335789,1.2429585,28.8888888889,16.5034616905,44.081037
0.11,184,2398,1.476416,1.423148,50.6578947368,13.2805847653,39.863232
0.12,225,1090,1.696275,1.578375,42.0882352941,4.90443537726,16.96275
0.13,251,2180,1.693497,1.228645,36.88,8.7224745903,30.482946
0.14,256,4360,1.391104,1.217536,56.0476190476,17.0820353715,48.68864
0.15,256,6104,1.391104,1.217536,86.2083333333,23.9148495201,66.772992
0.16,256,6104,1.391104,1.217536,87.0416666667,23.9148495201,66.772992
0.17,259,6322,1.291892,1.222998,87.775,24.4952935619,63.302708
0.18,264,7412,1.30284,1.219284,74.1224489796,28.2068490785,74.26188
0.19,276,6104,1.306308,1.218264,78.2857142857,22.2805664846,58.78386
0.2,298,5668,1.378548,1.2492607,66.537037037,19.2563580583,53.763372
0.21,324,3706,1.423656,1.3065462,68.609375,11.6235511206,32.744088
0.22,356,5668,1.476688,1.397567,43.5,16.2203566937,47.254016
0.23,401,6758,1.604802,1.488512,38.1652892562,17.1434273678,54.563268
0.24,444,10246,1.67166,1.5728922,39.2027027027,23.3780099883,78.56802
0.25,481,15914,1.783067,1.533909,40.484375,33.3463875099,119.465489
0.26,498,17222,1.737024,1.2423357,51.5050505051,34.7571760408,121.59168
0.27,508,19620,1.620012,1.2214352,60.3191489362,38.7671729187,126.360936
0.28,510,17876,1.62639,1.2196905,78.8082191781,35.1762687611,115.47369
0.29,512,17876,1.460736,1.222656,66.8720930233,35.0321699699,102.25152
0.3,512,18312,1.460736,1.222656,70.3861386139,35.8866131399,105.172992
0.31,512,17876,1.460736,1.222656,70.4301075269,35.0321699699,102.25152
0.32,513,18312,1.463589,1.2225816,68.7741935484,35.8192212055,105.378408
0.33,517,20056,1.365397,1.2148466,65.6847826087,38.9370765877,106.500966
0.34,518,19838,1.363894,1.2153057,73.6274509804,38.4417514472,105.019838
0.35,521,18530,1.371793,1.208199,60.7686567164,35.7121256224,98.769096
0.36,531,18094,1.344492,1.2109455,72.3235294118,34.2543922059,92.769948
0.37,541,16350,1.36873,1.222119,81.2575757576,30.4134017164,83.49253
0.38,552,14606,1.318176,1.2240324,68.191011236,26.6590473008,69.863328
0.39,574,15914,1.335124,1.2383189,66.1125,28.0027518362,74.766944
0.4,588,1308,1.367688,1.2522048,61.97,2.25015814944,6.83844
0.41,620,15478,1.40058,1.284826,56.5760869565,25.323161093,70.029
0.42,648,17658,1.463832,1.3203972,49.9193548387,27.6937087983,80.51076
0.43,679,14606,1.467998,1.355284,44.2839506173,21.8865938221,64.591912
0.44,708,15260,1.530696,1.3914324,47.7798742138,21.9427543458,67.350624
0.45,755,17004,1.53416,1.4505815,37.7025316456,22.9312807689,70.57136
0.46,800,18966,1.6256,1.49048,31.3566878981,24.1154525473,78.0288
0.47,835,22890,1.69672,1.5232905,35.4187192118,27.8441284579,93.3196
