insertions,flushes,max_alpha
0.01,0,1
0.02,1,1.09433
0.03,1,1.09433
0.04,2,1.14156
0.05,12,1.9382
0.06,19,2.34956
0.07,25,2.9073
0.08,40,1.35902
0.09,60,1.65324
0.1,69,1.76492
0.11,86,1.50011
0.12,114,1.2409
0.13,138,1.41713
0.14,157,1.71083
0.15,181,1.89512
0.16,204,1.80299
0.17,236,1.5323
0.18,274,1.59506
0.19,307,1.50166
0.2,335,1.27438
0.21,363,1.27438
0.22,378,1.27822
0.23,387,1.27822
0.24,398,1.35194
0.25,409,1.41883
0.26,415,1.57881
0.27,417,1.70822
0.28,427,1.79242
0.29,459,1.74846
0.3,508,1.71404
0.31,569,1.65698
0.32,632,1.66265
0.33,681,1.68252
0.34,709,1.68252
0.35,722,1.50733
0.36,727,1.50393
0.37,727,1.47716
0.38,727,1.50757
0.39,732,1.41112
0.4,743,1.36272
0.41,757,1.34373
0.42,777,1.34373
0.43,796,1.34373
0.44,811,1.32485
0.45,817,1.30612
0.46,818,1.28739
0.47,818,1.33729
0.48,820,1.4132
0.49,820,1.52837
0.5,830,1.56728
0.51,852,1.62724
0.52,890,1.71552
0.53,953,1.67076
0.54,1027,1.72212
0.55,1102,1.72755
0.56,1167,1.78806
0.57,1223,1.79213
0.58,1266,1.71363
0.59,1307,1.6673
0.6,1342,1.67016
0.61,1378,1.67303
0.62,1398,1.67446
0.63,1408,1.64655
0.64,1412,1.58964
0.65,1419,1.59639
0.66,1419,1.59909
0.67,1423,1.52085
0.68,1428,1.51379
0.69,1438,1.53902
0.7,1441,1.53652
0.71,1450,1.49394
0.72,1461,1.50529
0.73,1475,1.50855
0.74,1487,1.49706
0.75,1507,1.46975
0.76,1526,1.46764
0.77,1542,1.41864
0.78,1556,1.37522
0.79,1569,1.37731
0.8,1578,1.37071
0.81,1581,1.36997
0.82,1592,1.36747
0.83,1597,1.34351
0.84,1597,1.34452
0.85,1598,1.32937
0.86,1604,1.33632
0.87,1605,1.33452
0.88,1606,1.34341
0.89,1614,1.33262
0.9,1619,1.33748
0.91,1626,1.35499
0.92,1633,1.38028
0.93,1642,1.37561
0.94,1654,1.39305
0.95,1670,1.42758
0.96,1692,1.47678
0.97,1726,1.52142
0.98,1773,1.52869
0.99,1831,1.55523
1,1900,1.56979
1.01,1962,1.60571
1.02,2018,1.61982
1.03,2071,1.66883
1.04,2111,1.69143
1.05,2157,1.73378
1.06,2215,1.71502
1.07,2277,1.73883
1.08,2332,1.76484
1.09,2402,1.71485
1.1,2453,1.73574
1.11,2492,1.75849
1.12,2533,1.77339
1.13,2583,1.73705
1.14,2616,1.74167
1.15,2643,1.74329
1.16,2671,1.74937
1.17,2689,1.66815
1.18,2700,1.67248
1.19,2708,1.64909
1.2,2721,1.65121
1.21,2735,1.65759
1.22,2744,1.6035
1.23,2752,1.60487
1.24,2757,1.60624
1.25,2759,1.60965
1.26,2760,1.61239
1.27,2764,1.61444
1.28,2769,1.61581
1.29,2774,1.56099
1.3,2785,1.5656
1.31,2789,1.53588
1.32,2791,1.54039
1.33,2798,1.54425
1.34,2809,1.55005
1.35,2813,1.55201
1.36,2823,1.50501
1.37,2835,1.50997
1.38,2844,1.51988
1.39,2850,1.52731
1.4,2864,1.53908
1.41,2879,1.54899
1.42,2892,1.55828
1.43,2901,1.56509
1.44,2918,1.57438
1.45,2931,1.48451
1.46,2951,1.48858
1.47,2971,1.49381
1.48,2988,1.49845
1.49,3000,1.50252
1.5,3020,1.50717
1.51,3028,1.51124
1.52,3034,1.51647
1.53,3038,1.44906
1.54,3048,1.45183
1.55,3051,1.4557
1.56,3054,1.45792
1.57,3064,1.39993
1.58,3077,1.40152
1.59,3079,1.40205
1.6,3081,1.40524
1.61,3089,1.40736
1.62,3089,1.40895
1.63,3092,1.3913
1.64,3100,1.39235
1.65,3108,1.39392
1.66,3113,1.37415
1.67,3120,1.37724
1.68,3123,1.38187
1.69,3123,1.38393
1.7,3123,1.38805
1.71,3123,1.39216
1.72,3133,1.39576
1.73,3140,1.40194
1.74,3151,1.40965
1.75,3168,1.35572
1.76,3177,1.35305
1.77,3183,1.35769
1.78,3199,1.36843
1.79,3211,1.36799
1.8,3216,1.37819
1.81,3236,1.38838
1.82,3252,1.4044
1.83,3270,1.42042
1.84,3293,1.43256
1.85,3318,1.45732
1.86,3351,1.45283
1.87,3386,1.47146
1.88,3421,1.492
1.89,3458,1.51398
1.9,3502,1.53022
1.91,3545,1.49126
1.92,3580,1.49152
1.93,3626,1.51107
1.94,3676,1.53152
1.95,3718,1.55062
1.96,3752,1.57426
1.97,3806,1.59619
1.98,3853,1.57166
1.99,3898,1.57593
2,3944,1.58873
2.01,3996,1.6076
2.02,4053,1.62618
2.03,4109,1.6215
2.04,4166,1.63583
2.05,4220,1.64982
2.06,4274,1.65004
2.07,4317,1.67314
2.08,4358,1.69204
2.09,4399,1.70716
2.1,4451,1.72479
2.11,4498,1.73949
2.12,4551,1.75461
2.13,4597,1.70163
2.14,4637,1.71304
2.15,4680,1.72592
2.16,4721,1.73276
2.17,4751,1.74322
2.18,4788,1.75569
2.19,4833,1.71309
2.2,4863,1.72324
2.21,4897,1.73182
2.22,4929,1.7404
2.23,4955,1.74494
2.24,4970,1.75304
2.25,4990,1.75927
2.26,5012,1.76627
2.27,5037,1.77016
2.28,5051,1.71935
2.29,5073,1.72387
2.3,5084,1.72801
2.31,5081,1.73178
2.32,5090,1.7363
2.33,5111,1.7412
2.34,5126,1.70316
2.35,5155,1.70537
2.36,5183,1.70794
2.37,5192,1.71052
2.38,5204,1.71162
2.39,5218,1.71199
2.4,5215,1.71346
2.41,5208,1.71714
2.42,5204,1.71898
2.43,5206,1.72082
2.44,5209,1.72376
2.45,5224,1.6606
2.46,5240,1.66201
2.47,5259,1.66231
2.48,5259,1.66443
2.49,5254,1.59852
2.5,5255,1.59988
2.51,5259,1.60047
2.52,5258,1.60251
2.53,5265,1.60523
2.54,5271,1.59302
2.55,5270,1.59672
2.56,5279,1.59941
2.57,5280,1.58639
2.58,5293,1.58872
2.59,5305,1.59072
2.6,5311,1.59172
2.61,5314,1.57736
2.62,5326,1.54709
2.63,5329,1.5487
2.64,5334,1.54999
2.65,5341,1.5492
2.66,5353,1.53707
2.67,5354,1.53898
2.68,5357,1.54185
2.69,5363,1.53871
2.7,5375,1.54315
2.71,5374,1.54569
2.72,5388,1.54918
2.73,5402,1.55125
2.74,5417,1.55505
2.75,5432,1.52921
2.76,5448,1.53139
2.77,5459,1.53543
2.78,5464,1.53822
2.79,5470,1.54351
2.8,5480,1.5491
2.81,5492,1.54737
2.82,5501,1.55016
2.83,5528,1.55294
2.84,5536,1.54723
2.85,5553,1.55092
2.86,5580,1.55523
2.87,5604,1.56015
2.88,5610,1.56261
2.89,5632,1.56507
2.9,5628,1.52314
2.91,5634,1.52643
2.92,5648,1.53001
2.93,5659,1.5324
2.94,5666,1.53568
2.95,5695,1.53777
2.96,5705,1.54046
2.97,5712,1.54315
2.98,5722,1.54584
2.99,5721,1.52692
3,5724,1.4817
3.01,5719,1.48398
3.02,5722,1.48655
3.03,5720,1.48883
3.04,5734,1.48969
3.05,5721,1.49198
3.06,5737,1.49369
3.07,5755,1.49483
3.08,5764,1.49597
3.09,5780,1.49797
3.1,5811,1.4994
3.11,5817,1.50168
3.12,5813,1.50311
3.13,5820,1.50454
3.14,5821,1.50654
3.15,5821,1.50711
3.16,5823,1.50911
3.17,5837,1.51054
3.18,5844,1.51196
3.19,5858,1.39823
3.2,5870,1.39982
3.21,5881,1.40008
3.22,5877,1.40298
3.23,5878,1.40378
3.24,5877,1.40483
3.25,5874,1.40536
3.26,5874,1.40668
3.27,5897,1.40694
3.28,5911,1.408
3.29,5911,1.40879
3.3,5918,1.40984
3.31,5928,1.41169
3.32,5913,1.41433
3.33,5912,1.41776
