insertions,flushes,max_alpha
0.01,0,1
0.02,1,1.05
0.03,1,1.05
0.04,2,1.09038
0.05,12,1.81731
0.06,20,2.46346
0.07,25,3.02125
0.08,39,1.2955
0.09,59,1.56369
0.1,68,1.67985
0.11,84,1.7772
0.12,110,1.27958
0.13,135,1.34144
0.14,154,1.57131
0.15,185,1.61812
0.16,211,1.7251
0.17,239,1.60321
0.18,277,1.49881
0.19,293,1.73689
0.2,310,1.27637
0.21,338,1.27637
0.22,357,1.27637
0.23,379,1.27637
0.24,415,1.29838
0.25,427,1.36341
0.26,427,1.47093
0.27,448,1.49465
0.28,448,1.58168
0.29,464,1.72833
0.3,513,1.70397
0.31,542,1.74782
0.32,573,1.63765
0.33,631,1.53043
0.34,674,1.54051
0.35,669,1.69747
0.36,697,1.66927
0.37,724,1.66927
0.38,728,1.66927
0.39,757,1.57415
0.4,804,1.47261
0.41,826,1.47261
0.42,825,1.47261
0.43,863,1.47261
0.44,866,1.34546
0.45,854,1.34546
0.46,858,1.35123
0.47,900,1.35123
0.48,886,1.3743
0.49,859,1.38356
0.5,867,1.42531
0.51,907,1.42885
0.52,905,1.48214
0.53,916,1.63018
0.54,975,1.67751
0.55,1012,1.70421
0.56,1045,1.68381
0.57,1129,1.63651
0.58,1215,1.62555
0.59,1213,1.61673
0.6,1268,1.63589
0.61,1346,1.62402
0.62,1368,1.58367
0.63,1312,1.62311
0.64,1367,1.59175
0.65,1424,1.59175
0.66,1423,1.5747
0.67,1381,1.64494
0.68,1448,1.63497
0.69,1491,1.63497
0.7,1493,1.63756
0.71,1498,1.71135
0.72,1555,1.68554
0.73,1574,1.68554
0.74,1585,1.68804
0.75,1639,1.58091
0.76,1667,1.50175
0.77,1663,1.50175
0.78,1672,1.50175
0.79,1740,1.50391
0.8,1729,1.42945
0.81,1695,1.42945
0.82,1700,1.42945
0.83,1785,1.42945
0.84,1755,1.42945
0.85,1711,1.36599
0.86,1720,1.36697
0.87,1797,1.36697
0.88,1750,1.37384
0.89,1709,1.37776
0.9,1707,1.38462
0.91,1790,1.38462
0.92,1764,1.39345
0.93,1722,1.36766
0.94,1732,1.39805
0.95,1818,1.39805
0.96,1786,1.36424
0.97,1757,1.40364
0.98,1802,1.44165
0.99,1876,1.44434
1,1871,1.47307
1.01,1889,1.53859
1.02,1972,1.53386
1.03,2011,1.53643
