insertions,flushes,max_alpha
0.01,0,1
0.02,1,1.09433
0.03,1,1.09433
0.04,2,1.13642
0.05,12,1.89404
0.06,24,2.56748
0.07,33,3.10067
0.08,46,1.92131
0.09,69,1.67245
0.1,88,1.97653
0.11,114,2.08702
0.12,145,1.74207
0.13,193,1.98801
0.14,218,1.57763
0.15,246,1.77125
0.16,271,1.8123
0.17,307,1.85812
0.18,339,1.96955
0.19,375,1.69279
0.2,409,1.76293
0.21,442,1.60663
0.22,462,1.59428
0.23,478,1.28935
0.24,498,1.3189
0.25,515,1.41812
0.26,532,1.47713
0.27,548,1.60387
0.28,576,1.68364
0.29,605,1.78446
0.3,649,1.83487
0.31,707,1.8752
0.32,763,1.67468
0.33,815,1.53434
0.34,858,1.58715
0.35,900,1.62282
0.36,915,1.65212
0.37,935,1.60909
0.38,958,1.59061
0.39,981,1.60937
0.4,998,1.61641
0.41,1024,1.34313
0.42,1050,1.34313
0.43,1052,1.34313
0.44,1077,1.34701
0.45,1085,1.32115
0.46,1081,1.33434
0.47,1088,1.37235
0.48,1107,1.38039
0.49,1105,1.45213
0.5,1117,1.51598
0.51,1154,1.59625
0.52,1186,1.68016
0.53,1212,1.65446
0.54,1288,1.65771
0.55,1364,1.70583
0.56,1409,1.74234
0.57,1472,1.77221
0.58,1537,1.81535
0.59,1583,1.59785
0.6,1607,1.60797
0.61,1669,1.59357
0.62,1688,1.57614
0.63,1723,1.58728
0.64,1736,1.59703
0.65,1741,1.52631
0.66,1734,1.54864
0.67,1753,1.55378
0.68,1751,1.58353
0.69,1770,1.61458
0.7,1816,1.59321
0.71,1855,1.59259
0.72,1884,1.56846
0.73,1927,1.58195
0.74,1953,1.60338
0.75,1967,1.55183
0.76,2005,1.55984
0.77,2029,1.57014
0.78,2058,1.54944
0.79,2085,1.52753
0.8,2114,1.5014
0.81,2117,1.50248
0.82,2117,1.42176
0.83,2137,1.42176
0.84,2137,1.42176
0.85,2142,1.38091
0.86,2147,1.34872
0.87,2167,1.35454
0.88,2140,1.36619
0.89,2137,1.37202
0.9,2134,1.34354
0.91,2131,1.35298
0.92,2128,1.35952
0.93,2149,1.38393
0.94,2155,1.40459
0.95,2172,1.42056
0.96,2196,1.43969
0.97,2241,1.45843
0.98,2276,1.49389
0.99,2320,1.50507
1,2395,1.55146
1.01,2446,1.58625
1.02,2525,1.6264
1.03,2573,1.61676
1.04,2631,1.61881
1.05,2668,1.64325
1.06,2730,1.67214
1.07,2763,1.70018
1.08,2838,1.63706
1.09,2902,1.66368
1.1,2937,1.66806
1.11,3030,1.65428
1.12,3073,1.64337
1.13,3108,1.6618
1.14,3150,1.67178
1.15,3205,1.6607
1.16,3209,1.63746
1.17,3250,1.63859
1.18,3270,1.60752
1.19,3290,1.61548
1.2,3325,1.59015
1.21,3348,1.59439
1.22,3366,1.60147
1.23,3379,1.56583
1.24,3401,1.57752
1.25,3397,1.58509
1.26,3420,1.59403
1.27,3427,1.60022
1.28,3433,1.55341
1.29,3436,1.5647
1.3,3495,1.56616
1.31,3473,1.5754
1.32,3506,1.58857
1.33,3541,1.60305
1.34,3587,1.6149
1.35,3598,1.63597
1.36,3641,1.62668
1.37,3642,1.64356
1.38,3677,1.6546
1.39,3712,1.58293
1.4,3716,1.5934
1.41,3742,1.60326
1.42,3807,1.5912
1.43,3849,1.58226
1.44,3826,1.5967
1.45,3858,1.59828
1.46,3906,1.60545
1.47,3918,1.60381
1.48,3936,1.55329
1.49,4022,1.55789
1.5,4042,1.56306
1.51,4048,1.57111
1.52,4059,1.57814
1.53,4047,1.57986
1.54,4029,1.51624
1.55,4035,1.51844
1.56,4062,1.51954
1.57,4067,1.52064
1.58,4101,1.52119
1.59,4108,1.52174
1.6,4128,1.46837
1.61,4129,1.47049
1.62,4132,1.47156
1.63,4133,1.47209
1.64,4127,1.40509
1.65,4096,1.40559
1.66,4108,1.40661
1.67,4099,1.40762
1.68,4102,1.40965
1.69,4118,1.41167
1.7,4141,1.41471
1.71,4131,1.41674
1.72,4154,1.41775
1.73,4154,1.42028
1.74,4188,1.40754
1.75,4193,1.37989
1.76,4188,1.37888
1.77,4205,1.38472
1.78,4214,1.38958
1.79,4189,1.39542
1.8,4200,1.40466
1.81,4211,1.41439
1.82,4240,1.42071
1.83,4283,1.43238
1.84,4308,1.446
1.85,4338,1.45865
1.86,4383,1.4674
1.87,4372,1.48297
1.88,4385,1.49513
1.89,4411,1.51264
1.9,4460,1.47669
1.91,4501,1.49692
1.92,4520,1.51715
1.93,4554,1.53785
1.94,4613,1.55149
1.95,4655,1.56748
1.96,4689,1.51335
1.97,4777,1.50335
1.98,4811,1.51321
1.99,4865,1.52432
2,4927,1.54487
2.01,4976,1.54478
2.02,5015,1.55306
2.03,5083,1.54925
2.04,5120,1.5637
2.05,5143,1.57943
2.06,5213,1.58798
2.07,5271,1.59137
2.08,5312,1.60734
2.09,5375,1.60131
2.1,5443,1.61663
2.11,5471,1.62781
2.12,5561,1.64148
2.13,5597,1.65805
2.14,5600,1.66965
2.15,5666,1.67959
2.16,5710,1.69119
2.17,5710,1.69664
2.18,5772,1.70903
2.19,5859,1.63459
2.2,5883,1.63449
2.21,5928,1.63431
2.22,5963,1.64279
2.23,6020,1.65014
2.24,6061,1.65828
2.25,6084,1.66525
2.26,6139,1.67338
2.27,6147,1.6788
2.28,6180,1.68028
2.29,6188,1.65472
2.3,6217,1.66041
2.31,6207,1.66799
2.32,6254,1.67519
2.33,6277,1.68011
2.34,6290,1.6839
2.35,6320,1.68997
2.36,6363,1.62795
2.37,6383,1.62514
2.38,6375,1.6284
2.39,6412,1.63203
2.4,6418,1.63457
2.41,6376,1.64111
2.42,6411,1.64655
2.43,6440,1.64945
2.44,6424,1.65199
2.45,6423,1.6578
2.46,6487,1.6607
2.47,6472,1.59915
2.48,6494,1.60507
2.49,6516,1.61064
2.5,6548,1.61377
2.51,6552,1.6183
2.52,6580,1.62596
2.53,6593,1.60127
2.54,6616,1.60606
2.55,6634,1.61016
2.56,6662,1.60155
2.57,6697,1.60833
2.58,6718,1.61409
2.59,6718,1.61951
2.6,6774,1.62493
2.61,6787,1.59165
2.62,6765,1.60025
2.63,6805,1.59658
2.64,6859,1.60382
2.65,6841,1.58977
2.66,6853,1.59464
2.67,6908,1.60081
2.68,6896,1.59431
2.69,6938,1.60108
2.7,6953,1.60817
2.71,6988,1.61462
2.72,7011,1.59805
2.73,7032,1.60473
2.74,7062,1.6095
2.75,7088,1.61523
2.76,7081,1.62382
2.77,7105,1.59198
2.78,7166,1.60006
2.79,7181,1.6072
2.8,7215,1.61124
2.81,7304,1.61528
2.82,7359,1.62119
2.83,7337,1.62616
2.84,7367,1.62989
2.85,7429,1.61704
2.86,7389,1.62042
2.87,7374,1.60662
2.88,7442,1.61178
2.89,7421,1.61451
2.9,7408,1.61998
2.91,7438,1.62392
2.92,7490,1.62757
2.93,7479,1.61123
2.94,7528,1.61483
2.95,7561,1.61813
2.96,7624,1.57938
2.97,7641,1.58084
2.98,7677,1.52334
2.99,7691,1.52587
3,7686,1.52811
3.01,7682,1.53092
3.02,7694,1.53288
3.03,7688,1.53457
3.04,7696,1.53597
3.05,7694,1.5385
3.06,7699,1.54018
3.07,7726,1.54186
3.08,7736,1.54327
3.09,7750,1.54411
3.1,7771,1.54607
3.11,7818,1.54607
3.12,7792,1.54664
3.13,7783,1.54051
3.14,7772,1.54163
3.15,7771,1.54219
3.16,7750,1.54302
3.17,7719,1.46363
3.18,7745,1.46443
3.19,7738,1.46469
3.2,7756,1.46496
3.21,7730,1.45486
3.22,7729,1.45565
3.23,7737,1.45591
3.24,7779,1.4567
3.25,7771,1.45749
3.26,7756,1.45775
3.27,7770,1.4588
3.28,7734,1.45985
3.29,7714,1.46064
3.3,7705,1.46117
3.31,7728,1.46196
3.32,7752,1.46327
