insertions,bins,balls,alpha,perc,observed,lower bound,upper bound
0.01,16,0,1.13900727864,1.07772854562,9.86890009633,0.0,1.13900727864
0.02,32,0,1.15731282715,1.09599048317,0,0.0,1.15731282715
0.03,60,0,1.84823718243,1.54276457463,0,0.0,1.84823718243
0.04,64,0,1.22882399163,1.11671266349,0,0.0,1.22882399163
0.05,68,0,1.1951549644,1.16988482825,0,0.0,1.1951549644
0.06,122,0,1.78342792753,1.20007008371,0,0.0,1.78342792753
0.07,128,0,1.26225678155,1.12137214573,0,0.0,1.26225678155
0.08,128,0,1.26225678155,1.12137214573,0,0.0,1.26225678155
0.09,128,218,1.26225678155,1.12137214573,4.27272727273,1.70611597893,5.04902712621
0.1,140,218,1.25667028273,1.19939957358,5.51724137931,1.57362666123,5.02668113092
0.11,183,1308,1.55201256017,1.44300071308,18.4375,7.30306476874,23.2801884026
0.12,236,1962,1.77402787195,1.63305189356,31.525,8.38719972974,30.1584738232
0.13,252,1962,1.77689635882,1.14586744285,21.1176470588,7.81006148046,28.4303417412
0.14,256,5886,1.32768476725,1.15162477866,33.6756756757,23.0392921354,61.0734992936
0.15,256,2834,1.32768476725,1.15162477866,32.7154471545,11.0929925097,30.5367496468
0.16,256,7412,1.32768476725,1.15162477866,14.3825503356,29.0124419483,77.0057165006
0.17,256,5668,1.32768476725,1.15162477866,35.10625,22.1859850193,59.7458145263
0.18,256,5014,1.32768476725,1.15162477866,35.3277310924,19.6260636709,53.1073906901
0.19,265,1526,1.23009720427,1.16602942106,25.8443113772,5.78700660975,14.7611664513
0.2,279,5668,1.26627107738,1.19224886585,10.3109756098,20.5098203447,51.9171141727
0.21,318,4142,1.39660421459,1.31044236088,30.1111111111,13.2682233082,37.708313794
0.22,366,2616,1.52152712644,1.45125084218,22.7185628743,7.29914675252,22.8229068966
0.23,426,2180,1.70830950491,1.58631975482,10.835443038,5.19915095732,18.791404554
0.24,469,6104,1.78935424657,1.62888163303,8.29971181556,13.1338883925,48.3125646574
0.25,490,6758,1.75800770662,1.20382665179,18.6006825939,13.8631153993,49.2242157852
0.26,502,4796,1.70253988306,1.16729267683,17.4285714286,9.58382308876,34.0507976612
0.27,508,7630,1.61285024427,1.16553313103,7.8386167147,15.0577029681,49.9983575724
0.28,510,10682,1.53023659888,1.1636196555,23.331797235,20.9950627672,64.269937153
0.29,511,6540,1.5332370628,1.16380379163,22.9746835443,12.8289910596,39.8641636328
0.3,511,4360,1.5332370628,1.16380379163,20.3139534884,8.55266070637,27.5982671304
0.31,512,6976,1.37033811156,1.16402919839,11.3584229391,13.6567997228,38.3694671238
0.32,512,8066,1.37033811156,1.16402919839,16.0540540541,15.7906746795,43.8508195701
0.33,512,9374,1.37033811156,1.16402919839,18.2271386431,18.3513246276,50.7025101279
0.34,512,8284,1.37033811156,1.16402919839,19.8539042821,16.2174496709,45.2211576816
0.35,514,7412,1.26475245576,1.1650364767,21.1068376068,14.4564824232,36.6778212171
0.36,518,8502,1.27459488733,1.16246716806,18.3485714286,16.4648153398,42.0616312817
0.37,526,5450,1.24606333446,1.17312019783,17.8060747664,10.406006531,26.1673300237
0.38,533,6322,1.26264592636,1.1710162402,12.0281690141,11.9261729015,30.3035022328
0.39,541,5886,1.25801307831,1.17880075442,20.0210084034,10.9530892754,27.6762877229
0.4,557,5668,1.26657977086,1.20072511507,10.3852813853,10.2709871304,26.5981751881
0.41,583,6976,1.32523893821,1.23632662284,11.7977272727,12.1226827013,31.8057345171
0.42,632,6540,1.43662265686,1.30357325126,11.3991683992,10.5322683626,30.1690757941
0.43,690,6758,1.46277395552,1.38868131256,10.9786476868,9.99475797537,29.2554791104
0.44,739,6758,1.56350350353,1.45475005746,10.7417102967,9.33375651334,29.7065665672
0.45,791,7412,1.66148973333,1.51884959756,10.4958123953,9.55697840332,31.5683049333
0.46,841,6758,1.69409464596,1.57829512564,10.9314641745,8.17327503071,28.7996089814
0.47,881,9810,1.7397789094,1.59624393629,9.35304054054,11.292785008,40.0149149161
0.48,925,11118,1.75727964756,1.60008591102,12.2295719844,12.1460731067,43.9319911889
0.49,952,13734,1.75618801979,1.5727484858,17.7709677419,14.5442554667,50.9294525739
0.5,965,13080,1.74408923116,1.51723366639,17.8532731377,13.6512446647,48.8344984724
0.51,986,14824,1.78204350458,1.19521164797,19.9195710456,15.1169247314,55.2433486421
0.52,999,13516,1.75403144739,1.17587366233,20.75,13.5903181408,49.112880527
0.53,1006,15696,1.70860313922,1.17918737655,19.8087557604,15.6647016346,54.6753004549
0.54,1012,13298,1.696981405,1.17750201867,20.4359673025,13.1880609917,45.8184979349
0.55,1014,17004,1.68369069183,1.17403573917,21.5,16.8280908881,57.2454835221
0.56,1017,14824,1.60123234231,1.17502899607,23.9572192513,14.6254215612,48.0369702694
0.57,1019,17876,1.55701466799,1.17487363071,22.9741697417,17.6005873107,56.0525280476
0.58,1019,19620,1.55701466799,1.17487363071,27.1038461538,19.3177177801,60.7235720515
0.59,1020,17222,1.55854265098,1.17549959637,24.5746478873,16.9396888362,52.9904501333
0.6,1021,19402,1.56007063397,1.17464833572,30.5505050505,19.0649892753,60.8427547248
0.61,1025,19184,1.51573284698,1.17506885593,29.5601503759,18.7764240252,57.5978481851
0.62,1025,20492,1.51573284698,1.17506885593,31.4042553191,20.0566347542,60.629313879
0.63,1025,22890,1.51573284698,1.17506885593,28.2938596491,22.4036877573,68.2079781139
0.64,1026,21364,1.51721161073,1.17532419337,30.726618705,20.889885675,63.7228876506
0.65,1027,20928,1.33352056536,1.17510828136,30.897689769,20.4431927812,54.6743431799
0.66,1027,17004,1.33352056536,1.17510828136,32.9360902256,16.6100941347,45.3396992224
0.67,1027,25070,1.33352056536,1.17510828136,33.6113989637,24.4892413524,65.3425077028
0.68,1027,24634,1.33352056536,1.17510828136,32.0782918149,24.0633415028,64.0089871375
0.69,1028,20710,1.33481902745,1.17467088446,33.2292993631,20.2116906269,54.7275801256
0.7,1029,17658,1.31657853599,1.17478289209,30.1619047619,17.2170667964,46.0802487597
0.71,1031,17222,1.28729263277,1.17676918678,26.5697329377,16.7611249066,43.7679495141
0.72,1037,18312,1.29478415148,1.17451236375,24.2948328267,17.7268712698,46.6122294535
0.73,1039,18530,1.2838883411,1.17399912392,25.6719242902,17.9056257707,46.2199802797
0.74,1048,17440,1.29500960681,1.17817701085,27.2292490119,16.7187917071,44.0303266315
0.75,1062,15260,1.31230935347,1.17710462791,23.1214285714,14.4517324492,38.0569712505
0.76,1070,15914,1.32219492298,1.17570988641,24.2444444444,14.9664591371,39.6658476895
0.77,1084,18966,1.2739855753,1.18587511344,23.2088607595,17.6247505985,44.5894951356
0.78,1095,19402,1.28691347321,1.19433901449,21.7475409836,17.8630651799,46.3288850355
0.79,1117,21800,1.29728402946,1.21152017312,25.9852071006,19.7083630779,51.8913611782
0.8,1133,15914,1.31586643274,1.22139841736,25.7017167382,14.1997338037,38.1601265495
0.81,1159,18966,1.32802276523,1.23868619035,17.6025236593,16.5700339089,43.8247512525
0.82,1195,16786,1.35699239224,1.25939990081,20.6846473029,14.2534356057,39.3527793748
0.83,1220,17876,1.37836000927,1.27763970336,17.7935034803,14.8849788815,41.350800278
0.84,1280,13516,1.44614820645,1.32565226565,20.6600397614,10.7524449928,31.8152605418
0.85,1325,14170,1.45582247419,1.35006912801,15.8642857143,10.901048447,32.0280944323
0.86,1374,5450,1.50966043739,1.39198608432,14.4919499106,4.04694745267,12.0772834991
0.87,1428,15478,1.52903084057,1.42508188693,16.5203045685,11.0618687246,33.6386784925
0.88,1483,16568,1.56737617172,1.46038687471,12.175,11.3982366562,36.0496519495
0.89,1543,15260,1.61552526814,1.48807755379,16.3290529695,10.0835171332,32.3105053629
0.9,1593,15042,1.62863606756,1.51735107966,12.3316666667,9.61729299341,30.9440852837
0.91,1638,17222,1.67464273614,1.54002566759,14.2564766839,10.6965125326,36.8421401951
0.92,1676,16786,1.7130317673,1.55628069835,14.7174231332,10.1796316395,35.9736671133
0.93,1715,15478,1.7418163604,1.56640802016,15.0709342561,9.16070274347,33.0945108475
0.94,1747,16786,1.72411599256,1.58267733657,13.3815789474,9.74223315125,34.4823198513
0.95,1794,18094,1.7705003381,1.59243046465,12.025,10.208610439,37.1805071001
0.96,1829,18094,1.80504187201,1.58936086447,15.25,10.0007488947,36.1008374402
0.97,1850,19184,1.7908044889,1.58557566969,13.6550522648,10.4732533143,37.6068942669
0.98,1875,20056,1.81500454956,1.5771518306,14.8414376321,10.7924352068,39.9301000903
0.99,1899,23762,1.77134344171,1.55727875927,14.1541755889,12.6126901531,46.0549294844
