insertions,bins,balls,alpha,perc,observed,lower bound,upper bound
0.01,16,0,1.192128,1.17018,11.1608309271,0.0,1.192128
0.02,32,0,1.255072,1.190528,0,0.0,1.255072
0.03,60,0,1.71816,1.60881,0,0.0,1.71816
0.04,64,0,1.257984,1.195824,0,0.0,1.257984
0.05,72,0,1.302552,1.2309552,0,0.0,1.302552
0.06,116,218,1.729212,1.619824,14.8333333333,1.89939589512,6.916848
0.07,128,1090,1.324672,1.1927104,2.2,8.53902675459,23.844096
0.08,128,1962,1.324672,1.1927104,84.4736842105,15.3702481583,41.064832
0.09,129,1962,1.335021,1.200087,25.4,15.2578419113,41.385651
0.1,147,1962,1.335789,1.2429585,86.7142857143,13.5028322922,36.066303
0.11,184,1962,1.476416,1.423148,37.2352941176,10.8659329898,32.481152
0.12,225,1526,1.696275,1.578375,43.2307692308,6.86620952816,23.74785
0.13,251,2616,1.693497,1.228645,27.3571428571,10.4669695084,35.563437
0.14,256,8284,1.391104,1.217536,45.1111111111,32.4558672059,90.42176
0.15,256,14170,1.391104,1.217536,76.4857142857,55.5166149574,154.412544
0.16,256,9592,1.391104,1.217536,95.9905660377,37.5804778173,104.3328
0.17,259,5886,1.291892,1.222998,76.3191489362,22.8059629714,59.427032
0.18,264,6758,1.30284,1.219284,78.4528301887,25.7180094539,67.74768
0.19,276,5450,1.306308,1.218264,71.0465116279,19.8933629327,52.25232
0.2,298,4578,1.378548,1.2492607,75.48,15.5532122778,42.734988
0.21,324,5232,1.423656,1.3065462,49.064516129,16.4097192291,46.980648
0.22,356,3270,1.476688,1.397567,48.0322580645,9.35789809254,28.057072
0.23,401,4796,1.604802,1.488512,33.4155844156,12.1663032933,38.515248
0.24,444,7194,1.67166,1.5728922,36.6708860759,16.4143474386,55.16478
0.25,481,12426,1.783067,1.533909,42.16,26.0375902474,92.719484
0.26,498,17222,1.737024,1.2423357,61.7027027027,34.7571760408,121.59168
0.27,508,20056,1.620012,1.2214352,64.84,39.6286656502,127.980948
0.28,510,22672,1.62639,1.2196905,80.2461538462,44.6138042824,144.74871
0.29,512,23108,1.460736,1.222656,86.375,45.2854880099,132.926976
0.3,512,23544,1.460736,1.222656,84.4125,46.1399311799,134.387712
0.31,512,21146,1.460736,1.222656,87.2207792208,41.4404937449,121.241088
0.32,513,20274,1.463589,1.2225816,65.6934306569,39.6569949061,117.08712
0.33,517,19402,1.365397,1.2148466,82.7631578947,37.6673893076,103.770172
0.34,518,18094,1.363894,1.2153057,86.7532467532,35.0622568145,95.47258
0.35,521,17658,1.371793,1.208199,72.2142857143,34.0315550049,93.281924
0.36,531,20492,1.344492,1.2109455,65.3882352941,38.794130932,104.870376
0.37,541,21364,1.36873,1.222119,69.2619047619,39.7401782428,108.12967
0.38,552,23326,1.318176,1.2240324,77.225,42.5748964356,112.04496
0.39,574,20274,1.335124,1.2383189,74.4949494949,35.6747386406,94.793804
0.4,588,17004,1.367688,1.2522048,77.7765957447,29.2520559427,79.325904
0.41,620,13734,1.40058,1.284826,61.564516129,22.469847167,63.0261
0.42,648,15042,1.463832,1.3203972,54.0238095238,23.5909371244,68.800104
0.43,679,14388,1.467998,1.355284,48.0661764706,21.5599282427,63.123914
0.44,708,15696,1.530696,1.3914324,39.8120805369,22.5696901842,68.88132
0.45,755,16786,1.53416,1.4505815,36.5,22.6372899898,69.0372
0.46,800,19402,1.6256,1.49048,45.1166666667,24.6698307668,79.6544
0.47,835,22018,1.69672,1.5232905,40.5071428571,26.7833997547,89.92616
0.48,874,24634,1.655356,1.5525299,39.1134751773,28.5582651768,94.355292
0.49,915,27468,1.73301,1.573068,41.5118110236,30.3464009189,105.71361
0.5,954,27686,1.732464,1.5449076,44.3375796178,29.2694035251,102.215376
0.51,974,21800,1.768784,1.4312443,27.7792207792,22.541071293,79.59528
0.52,992,28340,1.787584,1.2686688,50.0975609756,28.7350847838,103.679872
0.53,1005,28340,1.7085,1.22811,51.4713375796,28.3358881983,97.3845
0.54,1007,27686,1.7119,1.2262239,56.5705128205,27.6240359917,94.1545
0.55,1015,28340,1.624,1.22206,44.2614379085,28.0413639108,90.944
0.56,1018,28340,1.6288,1.222618,54.7076923077,27.9552706216,91.2128
0.57,1022,27032,1.628046,1.2243049,51.24,26.5565661069,86.286438
0.58,1024,24198,1.502208,1.224704,46.0344827586,23.7247547868,72.105984
0.59,1024,27904,1.502208,1.224704,55.3594771242,27.3582757901,82.62144
0.6,1024,27468,1.502208,1.224704,56.0358974359,26.9308027309,81.119232
0.61,1025,28122,1.4637,1.2259,44.1788617886,27.5446415201,80.5035
0.62,1025,28340,1.4637,1.2259,51.7360406091,27.758165873,81.9672
0.63,1026,28340,1.465128,1.2268395,47.4968944099,27.7314322171,82.047168
0.64,1029,27686,1.469412,1.2261564,46.3738317757,27.0146424871,79.348248
0.65,1031,28558,1.472268,1.227921,50.7897727273,27.8132866514,82.447008
0.66,1033,28340,1.475124,1.2269974,50.7319587629,27.549532839,81.13182
0.67,1033,28340,1.475124,1.2269974,46.7634854772,27.549532839,81.13182
0.68,1037,28340,1.423801,1.229882,49.4605263158,27.4471153184,78.309055
0.69,1040,28558,1.36552,1.221116,49.3908045977,27.5819434454,75.1036
0.7,1044,28340,1.370772,1.2189222,44.7328767123,27.2730274864,75.39246
0.71,1055,28558,1.385215,1.21958,49.0833333333,27.2123739259,76.186825
0.72,1065,27686,1.39089,1.221342,49.8345323741,26.1453120911,72.32628
0.73,1074,28558,1.35324,1.21899,55.4294871795,26.755997299,73.07496
0.74,1086,28122,1.329264,1.2269085,44.0,26.0737657013,69.121728
0.75,1096,28340,1.340408,1.231082,51.7593582888,26.0513561453,69.701216
0.76,1115,28340,1.34246,1.2346395,49.8512820513,25.6349465313,68.46546
0.77,1129,28340,1.359316,1.2459644,43.4833333333,25.3404095416,69.325116
0.78,1149,28340,1.362714,1.254708,38.5085470085,24.9227185003,68.1357
0.79,1168,28340,1.364224,1.2536144,43.9298245614,24.5399866512,66.846976
0.8,1189,28340,1.388752,1.261529,44.7906976744,24.1283909388,66.660096
0.81,1211,28340,1.414448,1.273972,47.0921052632,23.7117146616,66.479056
0.82,1243,28558,1.424478,1.296449,32.2344497608,23.3101296205,65.525988
0.83,1278,27686,1.414746,1.3152537,27.6847133758,22.0026550554,62.248824
0.84,1304,28122,1.443528,1.3285804,34.5814977974,21.9191226245,63.515232
0.85,1335,27468,1.477845,1.3474155,34.7863636364,20.926956018,62.06949
0.86,1375,27904,1.522125,1.368125,28.5280528053,20.6525601272,62.407125
0.87,1402,28340,1.552014,1.382372,17.2902542373,20.5770477729,63.632574
0.88,1435,28558,1.588545,1.404865,25.0397196262,20.2640043341,63.5418
0.89,1485,28122,1.52658,1.434213,30.7419354839,19.2816489717,58.01004
0.9,1512,23544,1.554336,1.45152,25.3157894737,15.8526445059,49.738752
0.91,1567,28340,1.610876,1.4819119,28.4721189591,18.402808396,59.602412
0.92,1610,24634,1.62932,1.49569,21.7529644269,15.556827059,50.50892
0.93,1652,28340,1.661912,1.5156274,22.8471760797,17.427872331,58.16692
0.94,1687,28558,1.661695,1.5312899,26.3819241983,17.1834833909,56.49763
