insertions,bins,balls,alpha,perc,observed,lower bound,upper bound
0.01,16,0,1.09594946491,1.09125949799,0,0.0,1.09594946491
0.02,32,0,1.17290656955,1.11688649369,0,0.0,1.17290656955
0.03,61,0,1.80566363183,1.12312216116,0,0.0,1.80566363183
0.04,64,0,1.17835767728,1.14865509903,0,0.0,1.17835767728
0.05,68,0,1.24246852245,1.16754166147,0,0.0,1.24246852245
0.06,119,0,1.81937057598,1.62247761485,0,0.0,1.81937057598
0.07,128,218,1.23613491013,1.13319953526,1.72727272727,1.70603107582,4.94453964052
0.08,128,654,1.23613491013,1.13319953526,7.93023255814,5.11809322746,13.5974840114
0.09,128,1526,1.23613491013,1.13319953526,23.0,11.9422175307,29.6672378431
0.1,141,1526,1.24935824627,1.2157086378,15.3275862069,10.9352682085,27.4858814178
0.11,182,872,1.47259303247,1.41675665264,30.96,4.89103711177,14.7259303247
0.12,236,1090,1.74251779805,1.6420435894,33.9130434783,4.66204746094,17.4251779805
0.13,254,2616,1.71814188226,1.15610016244,15.9166666667,10.3267161913,36.0809795274
0.14,256,2616,1.26581181478,1.15412620066,27.0352941176,10.2392376366,26.5820481105
0.15,256,5886,1.26581181478,1.15412620066,32.5,23.0382846823,58.2273434801
0.16,256,5886,1.26581181478,1.15412620066,30.2781456954,23.0382846823,58.2273434801
0.17,256,6540,1.26581181478,1.15412620066,31.4444444444,25.5980940915,65.8222143688
0.18,258,4360,1.25498210573,1.15822051874,34.7635135135,16.9421271185,42.6693915949
0.19,265,4796,1.28504371605,1.1710643838,25.5220588235,18.1877408079,47.5466174938
0.2,284,3052,1.31226133158,1.21257782484,31.0072463768,10.8643262592,28.8697492947
0.21,321,4796,1.38784552292,1.32189844225,17.9120879121,15.2124549743,41.6353656876
0.22,361,1526,1.53575371997,1.41320230897,26.7371794872,4.31344150502,13.8217834797
0.23,425,4142,1.68398320457,1.56268431603,9.83076923077,9.90620633833,33.6796640913
0.24,463,5668,1.70589012294,1.62114261247,21.0748663102,12.3704605342,42.6472530734
0.25,491,4142,1.7997476104,1.19715192494,16.5427509294,8.48356392102,30.5957093768
0.26,506,6104,1.75109552348,1.17356917457,10.296735905,12.1011861701,43.777388087
0.27,512,5886,1.29914745604,1.17919258063,14.1622340426,11.5228802894,29.8803914889
0.28,512,7194,1.29914745604,1.17919258063,11.5437665782,14.0835203537,37.6752762251
0.29,512,5668,1.29914745604,1.17919258063,14.353960396,11.0961069454,29.8803914889
0.3,512,4796,1.29914745604,1.17919258063,12.3226600985,9.38901356916,24.6838016647
0.31,512,7194,1.29914745604,1.17919258063,9.74948240166,14.0835203537,37.6752762251
0.32,512,6976,1.29914745604,1.17919258063,18.375,13.6567470097,36.3761287691
0.33,512,6104,1.29914745604,1.17919258063,17.3661538462,11.9496536335,31.1795389449
0.34,512,5014,1.29914745604,1.17919258063,14.5363881402,9.81578691322,25.9829491208
0.35,514,4796,1.30422225079,1.18155377014,13.4981818182,9.35520889023,24.780222765
0.36,516,9592,1.30929704554,1.18040099327,10.167115903,18.6423964968,49.7532877304
0.37,520,5232,1.31944663504,1.17959927949,17.8918918919,10.0971005999,27.7083793358
0.38,533,6322,1.28343775553,1.18039716274,11.2430555556,11.9273040084,30.8025061327
0.39,550,8066,1.29816240524,1.20431068527,13.1179361179,14.7835648234,38.9448721573
0.4,564,7194,1.3312065392,1.22409805375,14.2378947368,12.8823825492,34.6113700191
0.41,593,7412,1.34517386917,1.26119737822,15.6381418093,12.6689682764,33.6293467292
0.42,640,6104,1.39577925551,1.31267378915,14.4406438632,9.70261224861,27.9155851102
0.43,681,6104,1.46806989898,1.36427384402,14.4639423077,9.1365354444,26.4252581817
0.44,727,6540,1.55447168529,1.43212666625,13.2188235294,9.17745824185,27.9804903353
0.45,782,7412,1.60550646301,1.48992010933,11.1187607573,9.6577431258,30.5046227972
0.46,828,6976,1.64141313503,1.53727942491,9.99695585997,8.57104191503,27.9040232955
0.47,867,7412,1.69610771903,1.57259885358,9.93475177305,8.6761567345,30.5299389425
0.48,901,8284,1.73865611353,1.60145246609,9.90769230769,9.31016781478,33.0344661571
0.49,940,7630,1.73364396276,1.59355680262,9.70448877805,8.19509979276,29.4719473669
0.5,974,8066,1.76971131286,1.46988183748,8.36363636364,8.33693502682,30.0850923185
0.51,991,9156,1.79489167747,1.21098465967,8.99014778325,9.28831216931,34.1029418719
0.52,1007,8502,1.70747260585,1.18361340295,9.88888888889,8.47694043716,29.0270342995
0.53,1013,9592,1.69203986947,1.18818308316,9.33580246914,9.50283956246,32.14875752
0.54,1019,9374,1.70206182329,1.18960740605,9.43119266055,9.22873095559,32.3391746425
0.55,1022,10028,1.7070728002,1.18626158983,10.3888111888,9.84171397589,34.1414560039
0.56,1023,10028,1.52920569147,1.18415331372,10.3573141487,9.83128361697,30.5841138293
0.57,1025,10464,1.35004935217,1.18507671643,10.196,10.2382433485,28.3510363955
0.58,1025,10028,1.35004935217,1.18507671643,10.9646772229,9.81164987566,27.0009870433
0.59,1025,11554,1.35004935217,1.18507671643,10.329588015,11.3047270307,31.0511350998
0.6,1025,11336,1.35004935217,1.18507671643,9.90943877551,11.0914302942,31.0511350998
0.61,1025,10900,1.35004935217,1.18507671643,11.3425925926,10.6648368214,29.7010857477
0.62,1025,9374,1.35004935217,1.18507671643,11.4716748768,9.17175966638,25.6509376912
0.63,1025,9592,1.35004935217,1.18507671643,9.51583113456,9.38505640281,25.6509376912
