insertions,bins,balls,alpha,perc,observed,lower bound,upper bound
0.01,16,6540,1.08789571212,1.0527329151,5.00421969575,408.89038711,889.898692512
0.02,32,11772,1.15882644653,1.07461837435,0.0,368.171755563,852.896264645
0.03,64,12426,1.21532900676,1.09733905095,0.0,194.360247397,472.762983629
0.04,64,9374,1.21532900676,1.09733905095,0.0,146.622642773,356.09139898
0.05,66,7630,1.1568956724,1.12392163408,0.0,116.086528342,268.399795998
0.06,122,5668,1.89070438852,1.18673103476,0.0,46.7721442142,175.835508132
0.07,128,3270,1.24840217274,1.12609730309,0.0,25.5808283672,64.9169129827
0.08,128,5014,1.24840217274,1.12609730309,2.05688622754,39.2239368298,98.6237716468
0.09,128,4142,1.24840217274,1.12609730309,78.9130434783,32.4023825985,81.1461412283
0.1,134,218,1.21793763166,1.14212803248,22.0,1.63625485665,4.87175052665
0.11,183,1308,1.52623353552,1.44090826908,34.5945945946,7.31147136786,22.8935030329
0.12,239,872,1.82398522,1.63332731745,32.9130434783,3.67945569525,14.59188176
0.13,253,3488,1.66342776161,1.13828039373,13.0983606557,13.8211118733,46.5759773251
0.14,256,3488,1.30108037697,1.13657600124,29.5660377358,13.6480912223,36.4302505552
0.15,256,5014,1.30108037697,1.13657600124,28.8648648649,19.619131132,52.0432150788
0.16,256,4142,1.30108037697,1.13657600124,26.9625,16.2071083265,42.93565244
0.17,256,1526,1.30108037697,1.13657600124,26.6268656716,5.97103990975,15.6129645237
0.18,257,3270,1.30616272219,1.14066217843,12.5607476636,12.7499461048,33.960230777
0.19,263,5668,1.27197501414,1.1482918381,21.3642384106,21.6395574362,55.9669006223
0.2,272,2398,1.22576474796,1.16940965451,32.9315068493,8.87937844867,22.0637654633
0.21,305,4796,1.34388236089,1.26401195024,17.1764705882,15.9846328529,43.0042355486
0.22,374,872,1.56373013451,1.46509581359,28.5540540541,2.38244096528,7.81865067253
0.23,428,4360,1.69111651895,1.61197922483,6.47404844291,10.3581211361,35.5134468979
0.24,477,4142,1.81206890635,1.61479205772,18.0048780488,8.75437488383,32.6172403143
0.25,495,4796,1.74696978758,1.16502043142,11.1082621083,9.73204461241,34.9393957516
0.26,504,7630,1.77873287463,1.14713483092,11.7255936675,15.1844975695,55.1407191135
0.27,508,5886,1.66351094572,1.14643129645,17.7762430939,11.614024842,39.9242626972
0.28,510,6104,1.67006020141,1.14663347964,14.1323076923,11.9946892526,40.0814448338
0.29,512,6758,1.31269787674,1.14759484658,13.3186046512,13.2247154013,35.442842672
0.3,512,6540,1.31269787674,1.14759484658,14.3289817232,12.7981116787,34.1301447953
0.31,512,6758,1.31269787674,1.14759484658,17.1678321678,13.2247154013,35.442842672
0.32,512,6322,1.31269787674,1.14759484658,12.9184549356,12.3715079561,32.8174469185
0.33,512,6322,1.31269787674,1.14759484658,13.9583333333,12.3715079561,32.8174469185
0.34,512,5232,1.31269787674,1.14759484658,16.9711815562,10.238489343,27.5666554116
