insertions,flushes,max_alpha
0.01,0,1
0.02,1,1.07674
0.03,1,1.07674
0.04,2,1.12496
0.05,12,1.88005
0.06,19,2.4284
0.07,25,2.94965
0.08,40,1.3396
0.09,60,1.62332
0.1,69,1.83468
0.11,87,1.52799
0.12,115,1.2479
0.13,139,1.42304
0.14,158,1.70765
0.15,184,1.84639
0.16,205,1.71271
0.17,237,1.50759
0.18,274,1.48118
0.19,306,1.55516
0.2,331,1.24864
0.21,364,1.24864
0.22,379,1.24864
0.23,390,1.24864
0.24,404,1.28462
0.25,417,1.3754
0.26,418,1.5533
0.27,421,1.69526
0.28,426,1.78043
0.29,455,1.77114
0.3,507,1.69775
0.31,564,1.64486
0.32,618,1.55504
0.33,669,1.56164
0.34,696,1.56695
0.35,703,1.5882
0.36,712,1.54672
0.37,722,1.55106
0.38,725,1.56298
0.39,732,1.43218
0.4,748,1.32183
0.41,766,1.32183
0.42,784,1.32183
0.43,804,1.32183
0.44,820,1.32183
0.45,826,1.32577
0.46,828,1.31359
0.47,827,1.32834
0.48,827,1.41313
0.49,829,1.44675
0.5,836,1.51564
0.51,853,1.61179
0.52,890,1.69745
0.53,943,1.72502
0.54,1008,1.69646
0.55,1082,1.69208
0.56,1150,1.72126
0.57,1207,1.68758
0.58,1258,1.69497
0.59,1300,1.65692
0.6,1335,1.59048
0.61,1364,1.59737
0.62,1382,1.60564
0.63,1392,1.61253
0.64,1403,1.55741
0.65,1407,1.56012
0.66,1412,1.572
0.67,1424,1.57861
0.68,1434,1.56367
0.69,1440,1.58806
0.7,1448,1.57564
0.71,1460,1.57998
0.72,1471,1.54063
0.73,1489,1.55013
0.74,1511,1.55725
0.75,1536,1.56556
0.76,1557,1.57624
0.77,1573,1.44191
0.78,1584,1.44413
0.79,1593,1.42368
0.8,1597,1.42581
0.81,1606,1.41754
0.82,1614,1.4186
0.83,1619,1.41965
0.84,1620,1.42071
0.85,1624,1.42176
0.86,1624,1.38787
0.87,1621,1.38889
0.88,1621,1.31969
0.89,1627,1.32037
0.9,1631,1.32907
0.91,1632,1.34174
0.92,1637,1.34671
0.93,1651,1.37437
0.94,1660,1.41157
0.95,1671,1.45925
0.96,1696,1.50503
0.97,1727,1.5084
0.98,1757,1.55714
0.99,1805,1.54737
1,1864,1.58302
1.01,1920,1.61689
1.02,1985,1.66413
1.03,2051,1.635
1.04,2103,1.64626
1.05,2150,1.66467
1.06,2204,1.69429
1.07,2263,1.71881
1.08,2323,1.7177
1.09,2388,1.71005
1.1,2450,1.70292
1.11,2494,1.70151
1.12,2524,1.7153
1.13,2556,1.72485
1.14,2587,1.72943
1.15,2618,1.65628
1.16,2650,1.65919
1.17,2672,1.66377
1.18,2678,1.66885
1.19,2680,1.67248
1.2,2685,1.66041
