insertions,flushes,max_alpha
0.01,0,1
0.02,1,1.06766
0.03,1,1.06766
0.04,2,1.14979
0.05,12,1.90096
0.06,19,2.41914
0.07,25,2.92497
0.08,40,1.36094
0.09,60,1.6101
0.1,69,1.86936
0.11,86,1.55829
0.12,115,1.23689
0.13,139,1.40074
0.14,157,1.67805
0.15,182,1.88502
0.16,203,1.76549
0.17,237,1.45388
0.18,276,1.46684
0.19,309,1.49448
0.2,335,1.26842
0.21,366,1.26842
0.22,378,1.26842
0.23,384,1.28644
0.24,399,1.3437
0.25,411,1.45059
0.26,415,1.53892
0.27,416,1.76492
0.28,425,1.75712
0.29,451,1.75933
0.3,504,1.68848
0.31,564,1.49369
0.32,624,1.50138
0.33,677,1.5065
0.34,706,1.5065
0.35,717,1.49606
0.36,722,1.48163
0.37,725,1.49826
0.38,723,1.46979
0.39,729,1.48992
0.4,738,1.31004
0.41,754,1.31202
0.42,773,1.31202
0.43,796,1.31202
0.44,810,1.31202
0.45,817,1.31334
0.46,819,1.34287
0.47,818,1.38225
0.48,818,1.38705
0.49,819,1.48187
0.5,827,1.56485
0.51,847,1.62912
0.52,882,1.69879
0.53,934,1.72478
0.54,1004,1.73851
0.55,1080,1.76934
0.56,1152,1.80175
0.57,1221,1.78181
0.58,1277,1.79577
0.59,1322,1.61161
0.6,1358,1.61161
0.61,1383,1.61161
0.62,1398,1.61438
0.63,1406,1.56876
0.64,1411,1.51421
0.65,1412,1.51808
0.66,1414,1.51439
0.67,1418,1.52207
0.68,1425,1.53469
0.69,1428,1.54897
0.7,1433,1.56806
0.71,1444,1.52969
0.72,1453,1.55272
0.73,1463,1.49794
0.74,1485,1.49903
0.75,1510,1.50018
0.76,1532,1.49925
0.77,1552,1.47548
0.78,1571,1.39347
0.79,1582,1.33961
0.8,1587,1.34163
0.81,1593,1.34127
0.82,1602,1.34127
0.83,1604,1.34127
0.84,1605,1.3443
0.85,1607,1.34733
0.86,1608,1.33016
0.87,1608,1.33163
0.88,1614,1.34447
0.89,1618,1.35238
0.9,1626,1.35732
0.91,1636,1.33877
0.92,1648,1.36011
0.93,1657,1.38684
0.94,1669,1.40303
0.95,1682,1.44992
0.96,1702,1.43948
0.97,1730,1.48359
0.98,1770,1.52501
0.99,1823,1.57092
1,1881,1.61734
1.01,1939,1.60588
1.02,2001,1.61749
1.03,2060,1.66627
1.04,2111,1.71661
1.05,2170,1.71604
1.06,2231,1.74495
1.07,2290,1.76309
1.08,2356,1.74108
1.09,2423,1.76122
1.1,2477,1.77171
1.11,2522,1.7446
1.12,2555,1.76248
1.13,2579,1.71967
1.14,2612,1.69221
1.15,2638,1.67118
1.16,2660,1.67698
1.17,2682,1.68061
1.18,2704,1.68423
1.19,2721,1.64468
1.2,2733,1.6468
1.21,2743,1.61063
1.22,2749,1.58491
1.23,2759,1.58627
1.24,2754,1.59034
1.25,2757,1.59169
1.26,2768,1.59576
1.27,2776,1.59265
1.28,2771,1.59671
1.29,2770,1.59874
1.3,2776,1.57802
1.31,2773,1.56089
1.32,2779,1.56941
1.33,2787,1.57335
1.34,2801,1.57925
1.35,2805,1.58778
1.36,2820,1.53065
1.37,2828,1.54263
1.38,2836,1.55146
1.39,2848,1.5584
1.4,2870,1.5666
1.41,2883,1.56885
1.42,2905,1.56221
1.43,2925,1.5678
1.44,2940,1.56277
1.45,2946,1.53913
1.46,2963,1.55177
1.47,2972,1.51788
1.48,2986,1.5214
1.49,2999,1.52491
1.5,3022,1.52842
1.51,3039,1.53018
1.52,3048,1.53311
1.53,3058,1.53487
1.54,3067,1.42314
1.55,3070,1.42584
1.56,3070,1.42801
1.57,3080,1.40167
1.58,3089,1.40326
1.59,3102,1.39487
1.6,3108,1.39698
1.61,3115,1.37356
1.62,3120,1.3746
1.63,3126,1.37076
1.64,3129,1.36894
1.65,3136,1.36946
1.66,3138,1.37203
1.67,3136,1.37203
1.68,3141,1.37305
1.69,3139,1.37665
1.7,3136,1.38024
1.71,3137,1.38332
1.72,3153,1.38692
1.73,3155,1.33362
1.74,3153,1.34198
1.75,3164,1.34934
1.76,3176,1.35868
1.77,3181,1.36604
1.78,3190,1.35843
1.79,3214,1.36523
1.8,3230,1.36953
1.81,3250,1.38115
1.82,3267,1.3976
1.83,3287,1.39931
1.84,3303,1.38555
1.85,3328,1.39335
1.86,3350,1.40789
1.87,3378,1.42338
1.88,3411,1.43561
1.89,3450,1.45938
1.9,3476,1.47943
1.91,3506,1.47335
1.92,3545,1.47112
1.93,3582,1.48775
1.94,3626,1.5097
1.95,3682,1.533
1.96,3743,1.55136
1.97,3798,1.55628
1.98,3853,1.57625
1.99,3905,1.60155
2,3951,1.62153
2.01,4000,1.64328
2.02,4049,1.61883
2.03,4104,1.64382
2.04,4159,1.66062
2.05,4216,1.67915
2.06,4266,1.70199
2.07,4321,1.71965
2.08,4371,1.7468
2.09,4412,1.72685
2.1,4472,1.7382
2.11,4532,1.75292
2.12,4577,1.7668
2.13,4623,1.78236
2.14,4679,1.7954
2.15,4701,1.8118
2.16,4735,1.82316
2.17,4783,1.74594
2.18,4817,1.73787
2.19,4846,1.74697
2.2,4886,1.75687
2.21,4909,1.76359
2.22,4923,1.77191
2.23,4945,1.72959
2.24,4961,1.73497
2.25,4979,1.73997
2.26,4996,1.74729
2.27,5027,1.72721
2.28,5051,1.70057
2.29,5071,1.70429
2.3,5098,1.70653
2.31,5119,1.68616
2.32,5120,1.68946
2.33,5128,1.6935
2.34,5138,1.69717
2.35,5140,1.70194
2.36,5148,1.67945
2.37,5157,1.67551
2.38,5172,1.67372
2.39,5178,1.6766
2.4,5179,1.67911
2.41,5187,1.67911
2.42,5205,1.67911
2.43,5212,1.62733
2.44,5232,1.62837
2.45,5255,1.63116
2.46,5266,1.62701
2.47,5265,1.6284
2.48,5258,1.63083
2.49,5246,1.63257
2.5,5242,1.59854
2.51,5230,1.60058
2.52,5235,1.60092
2.53,5249,1.60329
2.54,5266,1.60499
2.55,5267,1.59035
2.56,5275,1.59337
2.57,5273,1.59505
2.58,5274,1.59706
2.59,5278,1.59841
2.6,5291,1.60076
2.61,5311,1.60344
2.62,5321,1.60512
2.63,5340,1.60882
2.64,5355,1.61284
2.65,5358,1.61587
2.66,5354,1.61855
2.67,5354,1.62258
2.68,5351,1.62493
2.69,5353,1.56479
2.7,5360,1.56801
2.71,5374,1.57189
2.72,5399,1.57152
2.73,5417,1.56073
2.74,5424,1.56295
2.75,5439,1.569
2.76,5447,1.57314
2.77,5452,1.576
2.78,5461,1.57919
2.79,5468,1.58237
2.8,5487,1.58587
2.81,5506,1.59096
2.82,5519,1.53782
2.83,5528,1.54119
2.84,5543,1.54487
2.85,5541,1.55039
2.86,5564,1.55254
2.87,5586,1.55683
2.88,5612,1.56266
2.89,5631,1.5648
2.9,5650,1.56787
2.91,5650,1.5694
2.92,5655,1.57369
2.93,5653,1.52728
2.94,5670,1.48938
2.95,5680,1.49255
2.96,5682,1.49515
2.97,5688,1.49584
2.98,5707,1.49757
2.99,5719,1.49959
3,5734,1.50161
3.01,5756,1.50277
3.02,5777,1.50508
3.03,5778,1.5071
3.04,5763,1.50825
3.05,5754,1.46136
3.06,5751,1.4622
3.07,5755,1.46332
3.08,5764,1.46527
3.09,5779,1.46611
3.1,5803,1.45402
3.11,5819,1.43555
3.12,5828,1.42001
3.13,5842,1.41691
