insertions,flushes,max_alpha
0.01,0,1
0.02,1,1.07674
0.03,1,1.07674
0.04,2,1.11816
0.05,12,1.80797
0.06,20,2.4508
0.07,25,3.04622
0.08,39,1.33741
0.09,58,1.53964
0.1,68,1.76155
0.11,84,1.62993
0.12,109,1.261
0.13,134,1.37859
0.14,153,1.5702
0.15,182,1.63137
0.16,206,1.73029
0.17,235,1.72392
0.18,270,1.522
0.19,290,1.74583
0.2,305,1.28912
0.21,333,1.28912
0.22,351,1.28912
0.23,375,1.28912
0.24,412,1.29282
0.25,425,1.40891
0.26,428,1.52374
0.27,449,1.5534
0.28,447,1.67156
0.29,462,1.81175
0.3,518,1.56606
0.31,551,1.5803
0.32,584,1.55559
0.33,640,1.50565
0.34,684,1.50833
0.35,668,1.6412
0.36,692,1.608
0.37,714,1.608
0.38,719,1.608
0.39,736,1.58907
0.4,792,1.36881
0.41,810,1.36881
0.42,813,1.36881
0.43,860,1.36881
0.44,870,1.36881
0.45,851,1.33406
0.46,856,1.34927
0.47,900,1.35117
0.48,879,1.37017
0.49,859,1.39277
0.5,869,1.4553
0.51,914,1.46932
0.52,910,1.54822
0.53,935,1.6657
0.54,998,1.70285
0.55,1045,1.67859
0.56,1082,1.69841
0.57,1163,1.72334
0.58,1247,1.63435
0.59,1241,1.62774
0.6,1295,1.63513
0.61,1356,1.57041
0.62,1383,1.54539
0.63,1321,1.54518
0.64,1371,1.54414
0.65,1413,1.54414
0.66,1422,1.55087
0.67,1364,1.63299
0.68,1422,1.60743
0.69,1461,1.60743
0.7,1470,1.61263
0.71,1462,1.67501
0.72,1525,1.57263
0.73,1549,1.57263
0.74,1558,1.57263
0.75,1597,1.57487
0.76,1638,1.58733
0.77,1635,1.58733
0.78,1639,1.58733
0.79,1717,1.48916
0.8,1714,1.43762
0.81,1680,1.43762
0.82,1688,1.43762
0.83,1772,1.43762
0.84,1742,1.43762
0.85,1701,1.42861
0.86,1705,1.40052
0.87,1793,1.40152
0.88,1755,1.40152
0.89,1704,1.37712
0.9,1714,1.38059
0.91,1806,1.38156
0.92,1760,1.39227
0.93,1723,1.42927
0.94,1741,1.39292
0.95,1822,1.39663
0.96,1785,1.3894
0.97,1795,1.43416
0.98,1825,1.48993
0.99,1907,1.48827
1,1892,1.50363
1.01,1936,1.56314
1.02,1996,1.62531
1.03,2064,1.64218
1.04,2077,1.68392
1.05,2173,1.64318
1.06,2262,1.69022
1.07,2276,1.69274
1.08,2326,1.65335
1.09,2437,1.65911
1.1,2510,1.65881
1.11,2445,1.66272
1.12,2512,1.66438
1.13,2628,1.6564
1.14,2677,1.66104
1.15,2567,1.66638
1.16,2662,1.5903
1.17,2762,1.58239
1.18,2773,1.56502
1.19,2642,1.57845
1.2,2728,1.58339
