insertions,flushes,max_alpha
0.01,0,1
0.02,1,1.09433
0.03,1,1.09433
0.04,2,1.13642
0.05,12,1.89404
0.06,20,2.48698
0.07,25,2.81255
0.08,38,1.31739
0.09,58,1.61809
0.1,68,1.86215
0.11,83,1.59484
0.12,108,1.26964
0.13,135,1.40251
0.14,152,1.63933
0.15,180,1.73005
0.16,204,1.73853
0.17,231,1.63049
0.18,268,1.53367
0.19,290,1.71924
0.2,306,1.30261
0.21,337,1.30261
0.22,358,1.30261
0.23,375,1.30261
0.24,410,1.31776
0.25,423,1.4465
0.26,424,1.60933
0.27,441,1.55578
0.28,444,1.6644
0.29,459,1.73153
0.3,505,1.67838
0.31,539,1.61876
0.32,571,1.52596
0.33,632,1.52596
0.34,679,1.52596
0.35,685,1.61388
0.36,708,1.61485
0.37,734,1.61485
0.38,731,1.61485
0.39,751,1.64895
0.4,797,1.4624
0.41,816,1.4624
0.42,819,1.4624
0.43,852,1.36325
0.44,862,1.36721
0.45,841,1.37712
0.46,844,1.4009
0.47,879,1.34314
0.48,880,1.3639
0.49,854,1.43882
0.5,870,1.49172
0.51,910,1.51311
0.52,914,1.55402
0.53,950,1.59759
0.54,1005,1.71365
0.55,1043,1.66873
0.56,1083,1.70804
0.57,1159,1.73188
0.58,1215,1.68456
0.59,1228,1.70292
0.6,1282,1.71516
0.61,1342,1.60207
0.62,1380,1.60349
0.63,1342,1.60113
0.64,1380,1.57505
0.65,1428,1.57505
0.66,1449,1.57505
0.67,1404,1.62105
0.68,1440,1.61742
0.69,1479,1.61742
0.7,1485,1.61742
0.71,1486,1.65845
0.72,1528,1.58681
0.73,1559,1.58681
0.74,1570,1.58681
0.75,1613,1.61415
0.76,1646,1.55755
0.77,1644,1.55755
0.78,1650,1.55755
0.79,1720,1.45372
0.8,1722,1.39357
0.81,1674,1.39357
0.82,1687,1.38382
0.83,1763,1.38382
0.84,1741,1.38482
0.85,1685,1.39085
0.86,1694,1.39387
0.87,1770,1.39387
0.88,1748,1.37255
0.89,1690,1.37693
0.9,1701,1.38764
0.91,1774,1.34142
0.92,1746,1.35363
0.93,1714,1.39321
0.94,1736,1.41054
0.95,1817,1.4152
0.96,1814,1.43197
0.97,1825,1.43113
0.98,1842,1.45487
0.99,1911,1.46134
1,1917,1.48611
1.01,1965,1.52123
1.02,1990,1.58882
1.03,2054,1.55632
1.04,2082,1.5792
1.05,2158,1.57949
1.06,2209,1.60163
1.07,2234,1.61229
1.08,2268,1.63772
1.09,2369,1.6738
1.1,2437,1.66756
1.11,2391,1.68194
1.12,2448,1.64343
1.13,2575,1.6604
1.14,2628,1.68278
1.15,2537,1.69049
1.16,2608,1.7013
1.17,2728,1.65923
1.18,2754,1.66823
1.19,2645,1.68023
1.2,2715,1.66032
1.21,2816,1.62365
1.22,2824,1.62652
1.23,2713,1.58096
1.24,2771,1.58032
1.25,2860,1.58169
1.26,2867,1.58307
1.27,2774,1.59452
1.28,2837,1.60674
1.29,2921,1.60742
1.3,2932,1.60742
1.31,2867,1.64002
1.32,2919,1.65971
1.33,2971,1.65971
1.34,2987,1.65971
1.35,2969,1.68824
1.36,3016,1.60925
1.37,3069,1.60925
1.38,3093,1.60925
1.39,3104,1.61601
1.4,3128,1.58422
1.41,3147,1.58422
1.42,3143,1.58422
1.43,3193,1.59122
1.44,3217,1.61116
1.45,3201,1.61116
1.46,3207,1.61116
1.47,3309,1.62325
1.48,3325,1.52596
1.49,3286,1.52596
1.5,3300,1.52596
1.51,3415,1.52338
1.52,3404,1.50074
1.53,3326,1.50074
1.54,3334,1.50074
1.55,3471,1.50404
1.56,3458,1.50678
1.57,3357,1.50678
1.58,3365,1.50678
1.59,3506,1.45208
1.6,3468,1.45419
1.61,3360,1.45525
1.62,3380,1.4563
1.63,3523,1.45789
1.64,3486,1.45842
1.65,3367,1.46212
1.66,3384,1.46317
1.67,3535,1.4637
1.68,3497,1.46423
1.69,3390,1.47163
1.7,3413,1.47374
1.71,3553,1.47427
1.72,3508,1.4111
1.73,3411,1.41615
1.74,3419,1.42171
1.75,3556,1.42272
1.76,3537,1.42474
1.77,3438,1.40076
1.78,3446,1.3788
1.79,3590,1.37118
1.8,3567,1.37741
1.81,3488,1.38432
1.82,3500,1.39477
1.83,3628,1.39762
1.84,3602,1.40332
1.85,3556,1.42517
1.86,3558,1.43942
1.87,3688,1.44607
1.88,3691,1.45272
1.89,3680,1.47363
1.9,3699,1.50165
1.91,3819,1.50783
1.92,3841,1.51638
1.93,3867,1.47395
1.94,3913,1.4935
1.95,3985,1.50033
1.96,4001,1.50988
1.97,4028,1.53307
1.98,4061,1.55717
1.99,4083,1.56809
2,4134,1.50734
2.01,4211,1.52948
2.02,4257,1.54086
2.03,4285,1.54602
2.04,4319,1.56065
2.05,4420,1.56958
2.06,4466,1.59428
2.07,4446,1.60024
2.08,4465,1.61217
2.09,4622,1.63261
2.1,4677,1.64953
2.11,4617,1.65631
2.12,4682,1.66817
2.13,4854,1.68469
2.14,4911,1.70333
2.15,4804,1.70926
2.16,4855,1.63252
2.17,5036,1.6477
2.18,5091,1.63673
2.19,4931,1.64028
2.2,5011,1.64779
2.21,5215,1.65862
2.22,5259,1.66236
2.23,5062,1.66011
2.24,5159,1.66754
2.25,5344,1.67694
2.26,5369,1.6593
2.27,5141,1.65669
2.28,5239,1.66396
2.29,5430,1.66932
2.3,5461,1.67851
2.31,5229,1.6854
2.32,5337,1.69114
2.33,5544,1.69649
2.34,5552,1.67281
2.35,5334,1.64825
2.36,5471,1.65341
2.37,5662,1.65563
2.38,5685,1.66042
2.39,5457,1.65085
2.4,5558,1.65377
2.41,5708,1.65413
2.42,5755,1.62964
2.43,5514,1.64077
2.44,5630,1.63004
2.45,5784,1.61163
2.46,5816,1.61199
2.47,5568,1.62357
2.48,5675,1.60866
2.49,5798,1.60935
2.5,5829,1.6097
2.51,5646,1.62077
2.52,5748,1.59577
2.53,5855,1.59577
2.54,5901,1.59645
2.55,5751,1.59433
2.56,5825,1.60273
2.57,5952,1.6034
2.58,5987,1.6034
2.59,5858,1.62054
2.6,5918,1.62928
2.61,5994,1.62928
2.62,6016,1.62928
2.63,5938,1.58577
2.64,6003,1.5942
2.65,6071,1.5942
2.66,6102,1.5942
2.67,6064,1.59347
2.68,6107,1.60151
2.69,6143,1.60151
2.7,6162,1.60151
2.71,6160,1.59376
2.72,6183,1.59749
2.73,6204,1.59749
2.74,6229,1.59749
2.75,6275,1.61299
2.76,6295,1.62216
2.77,6263,1.62216
2.78,6282,1.62216
2.79,6388,1.59958
2.8,6383,1.58477
2.81,6347,1.58477
2.82,6393,1.58477
2.83,6517,1.5876
2.84,6483,1.59701
2.85,6422,1.59701
2.86,6448,1.59701
2.87,6601,1.60338
2.88,6583,1.57952
2.89,6481,1.57952
2.9,6500,1.57952
2.91,6694,1.58606
2.92,6664,1.59439
2.93,6524,1.59439
2.94,6562,1.59439
2.95,6783,1.59069
2.96,6765,1.59305
2.97,6608,1.59305
2.98,6661,1.59305
2.99,6884,1.59895
3,6837,1.60249
3.01,6639,1.60249
3.02,6659,1.60278
3.03,6919,1.60809
3.04,6853,1.54016
3.05,6667,1.54016
3.06,6693,1.54016
3.07,6991,1.493
3.08,6887,1.4759
3.09,6691,1.47671
3.1,6682,1.47725
3.11,6996,1.47941
3.12,6882,1.47656
3.13,6669,1.47764
3.14,6704,1.47791
3.15,7036,1.45186
3.16,6902,1.44523
3.17,6682,1.44628
3.18,6721,1.44654
3.19,7025,1.44707
3.2,6910,1.43882
3.21,6701,1.43961
3.22,6727,1.43987
3.23,7031,1.42798
3.24,6938,1.42824
3.25,6720,1.42902
3.26,6759,1.43031
3.27,7065,1.43083
3.28,6974,1.43135
3.29,6757,1.43316
3.3,6775,1.43368
3.31,7071,1.43445
3.32,6992,1.43497
3.33,6771,1.43652
