insertions,flushes,max_alpha
0.01,10000,1.09726
0.02,20000,1.12044
0.03,30000,1.14948
0.04,40000,1.14948
0.05,50000,1.47402
0.06,50000,1.1617
0.07,50000,1.1617
0.08,50000,1.1617
0.09,50000,1.1804
0.1,50000,1.53763
0.11,50000,1.80772
0.12,50000,1.73609
0.13,50000,1.23323
0.14,50000,1.23323
0.15,50000,1.23323
0.16,50000,1.23323
0.17,50000,1.23323
0.18,50000,1.25108
0.19,50000,1.32531
0.2,50000,1.49743
0.21,50000,1.70889
0.22,50000,1.76595
0.23,50000,1.79292
0.24,50000,1.69779
0.25,50000,1.68135
0.26,50000,1.3041
0.27,50000,1.3041
0.28,50000,1.3041
0.29,50000,1.3041
0.3,50000,1.3041
0.31,50000,1.3041
0.32,50000,1.3041
0.33,50000,1.28246
0.34,50000,1.28993
0.35,50000,1.31234
0.36,50000,1.33475
0.37,50000,1.31312
0.38,50000,1.35762
0.39,50000,1.46493
0.4,50000,1.51565
0.41,50000,1.59884
0.42,50000,1.68433
0.43,50000,1.69423
0.44,50000,1.76201
0.45,50000,1.78938
0.46,50000,1.82336
0.47,50000,1.68336
0.48,50000,1.70395
0.49,50000,1.67187
0.5,50000,1.68651
0.51,50000,1.53541
0.52,50000,1.34941
0.53,50000,1.34941
0.54,50000,1.34941
0.55,50000,1.34941
0.56,50000,1.34941
0.57,50000,1.34941
0.58,50000,1.34941
0.59,50000,1.34941
0.6,50000,1.34941
0.61,50000,1.34941
0.62,50000,1.33836
0.63,50000,1.33836
0.64,50000,1.33836
0.65,50000,1.34097
0.66,50000,1.3475
0.67,50000,1.35011
0.68,50000,1.35533
0.69,50000,1.29584
0.7,50000,1.26392
0.71,50000,1.25793
0.72,50000,1.28259
0.73,50000,1.31078
0.74,50000,1.35189
0.75,50000,1.3526
0.76,50000,1.41185
0.77,50000,1.46655
0.78,50000,1.51555
0.79,50000,1.51675
0.8,50000,1.57861
0.81,50000,1.56898
0.82,50000,1.62396
0.83,50000,1.66436
0.84,50000,1.64946
0.85,50000,1.65621
0.86,50000,1.69288
0.87,50000,1.72856
0.88,50000,1.75983
0.89,50000,1.78852
0.9,50000,1.82304
0.91,50000,1.76969
0.92,50000,1.78939
0.93,50000,1.81473
0.94,50000,1.76067
0.95,50000,1.77239
0.96,50000,1.77861
0.97,50000,1.75042
0.98,50000,1.7379
0.99,50000,1.71317
1,50000,1.72082
1.01,50000,1.65679
1.02,50000,1.65924
1.03,50000,1.66332
1.04,50000,1.66577
1.05,50000,1.61543
1.06,50000,1.53568
1.07,50000,1.41991
1.08,50000,1.41991
1.09,50000,1.41991
1.1,50000,1.41991
1.11,50000,1.41991
1.12,50000,1.39893
1.13,50000,1.39893
1.14,50000,1.39893
1.15,50000,1.39893
1.16,50000,1.39893
1.17,50000,1.39893
1.18,50000,1.39893
1.19,50000,1.39893
1.2,50000,1.36974
1.21,50000,1.36974
1.22,50000,1.37108
1.23,50000,1.37108
1.24,50000,1.37175
1.25,50000,1.37242
1.26,50000,1.37375
1.27,50000,1.37442
1.28,50000,1.35734
1.29,50000,1.35866
1.3,50000,1.36063
1.31,50000,1.36129
1.32,50000,1.34021
1.33,50000,1.32451
1.34,50000,1.31011
1.35,50000,1.31199
1.36,50000,1.31102
1.37,50000,1.28616
1.38,50000,1.29349
1.39,50000,1.2996
1.4,50000,1.29801
1.41,50000,1.30646
1.42,50000,1.30337
1.43,50000,1.31353
1.44,50000,1.31811
1.45,50000,1.32999
1.46,50000,1.34661
1.47,50000,1.33472
1.48,50000,1.35046
1.49,50000,1.36854
1.5,50000,1.39478
1.51,50000,1.41752
1.52,50000,1.44259
1.53,50000,1.43279
1.54,50000,1.45661
1.55,50000,1.48327
1.56,50000,1.51617
1.57,50000,1.53939
1.58,50000,1.56712
1.59,50000,1.59316
1.6,50000,1.58103
1.61,50000,1.60198
1.62,50000,1.5853
1.63,50000,1.6079
1.64,50000,1.63588
1.65,50000,1.65191
1.66,50000,1.67066
1.67,50000,1.6953
1.68,50000,1.66172
1.69,50000,1.68754
1.7,50000,1.7113
1.71,50000,1.70644
1.72,50000,1.7252
1.73,50000,1.74649
1.74,50000,1.75234
1.75,50000,1.74674
1.76,50000,1.76108
1.77,50000,1.78085
1.78,50000,1.78529
1.79,50000,1.76575
1.8,50000,1.78067
1.81,50000,1.79127
1.82,50000,1.80282
1.83,50000,1.81727
1.84,50000,1.82834
1.85,50000,1.84231
1.86,50000,1.85001
1.87,50000,1.76394
1.88,50000,1.77171
1.89,50000,1.77766
1.9,50000,1.78497
1.91,50000,1.79275
1.92,50000,1.78721
1.93,50000,1.79311
1.94,50000,1.79901
1.95,50000,1.80763
1.96,50000,1.73398
1.97,50000,1.73788
1.98,50000,1.74049
1.99,50000,1.74526
2,50000,1.74786
2.01,50000,1.75003
2.02,50000,1.75264
2.03,50000,1.75307
2.04,50000,1.75828
2.05,50000,1.6557
2.06,50000,1.65652
2.07,50000,1.65978
2.08,50000,1.66142
2.09,50000,1.63627
2.1,50000,1.63707
2.11,50000,1.63747
2.12,50000,1.63948
2.13,50000,1.64028
2.14,50000,1.64028
2.15,50000,1.64069
2.16,50000,1.64149
2.17,50000,1.64269
2.18,50000,1.64269
2.19,50000,1.44767
2.2,50000,1.43762
2.21,50000,1.43762
2.22,50000,1.43762
2.23,50000,1.43762
2.24,50000,1.43762
2.25,50000,1.43762
2.26,50000,1.43762
2.27,50000,1.43762
2.28,50000,1.43762
2.29,50000,1.43762
2.3,50000,1.42338
2.31,50000,1.42373
2.32,50000,1.42373
2.33,50000,1.42373
2.34,50000,1.42373
2.35,50000,1.42373
2.36,50000,1.42373
2.37,50000,1.42408
2.38,50000,1.42408
2.39,50000,1.42408
2.4,50000,1.42442
2.41,50000,1.42442
2.42,50000,1.42442
2.43,50000,1.42477
2.44,50000,1.42512
2.45,50000,1.42512
2.46,50000,1.42547
2.47,50000,1.42616
2.48,50000,1.42616
2.49,50000,1.42651
2.5,50000,1.42755
2.51,50000,1.4279
2.52,50000,1.42999
2.53,50000,1.43103
2.54,50000,1.43172
2.55,50000,1.43311
2.56,50000,1.4345
2.57,50000,1.43555
2.58,50000,1.43659
2.59,50000,1.43833
2.6,50000,1.43937
2.61,50000,1.4418
2.62,50000,1.44354
2.63,50000,1.44424
2.64,50000,1.44597
2.65,50000,1.44737
2.66,50000,1.44806
2.67,50000,1.34849
2.68,50000,1.35204
2.69,50000,1.35366
2.7,50000,1.35592
2.71,50000,1.35947
2.72,50000,1.36173
2.73,50000,1.36432
2.74,50000,1.36819
2.75,50000,1.37272
2.76,50000,1.37562
2.77,50000,1.38209
2.78,50000,1.33633
2.79,50000,1.34007
2.8,50000,1.33934
2.81,50000,1.34585
2.82,50000,1.35206
2.83,50000,1.3564
2.84,50000,1.36477
2.85,50000,1.3719
2.86,50000,1.37965
2.87,50000,1.32912
2.88,50000,1.33596
2.89,50000,1.33117
2.9,50000,1.34035
2.91,50000,1.3492
2.92,50000,1.35337
2.93,50000,1.3616
2.94,50000,1.36836
2.95,50000,1.37512
2.96,50000,1.38511
2.97,50000,1.39334
2.98,50000,1.4051
2.99,50000,1.41626
3,50000,1.42567
3.01,50000,1.4386
3.02,50000,1.45182
3.03,50000,1.46299
3.04,50000,1.47093
3.05,50000,1.48356
3.06,50000,1.49532
3.07,50000,1.50678
3.08,50000,1.49737
3.09,50000,1.50808
3.1,50000,1.51936
3.11,50000,1.53152
3.12,50000,1.54598
