insertions,flushes,max_alpha
0.01,10000,1.13715
0.02,20000,1.17717
0.03,30000,1.55027
0.04,40000,1.23778
0.05,50000,1.44706
0.06,50000,1.61572
0.07,50000,1.30724
0.08,50000,1.30724
0.09,50000,1.23892
0.1,50000,1.53384
0.11,50000,1.70384
0.12,50000,1.62034
0.13,50000,1.50356
0.14,50000,1.34426
0.15,50000,1.34426
0.16,50000,1.27518
0.17,50000,1.28707
0.18,50000,1.2623
0.19,50000,1.41489
0.2,50000,1.52641
0.21,50000,1.63425
0.22,50000,1.79936
0.23,50000,1.72268
0.24,50000,1.75662
0.25,50000,1.69484
0.26,50000,1.55119
0.27,50000,1.55424
0.28,50000,1.42847
0.29,50000,1.42847
0.3,50000,1.43126
0.31,50000,1.33813
0.32,50000,1.28899
0.33,50000,1.29149
0.34,50000,1.31148
0.35,50000,1.30288
0.36,50000,1.3025
0.37,50000,1.35298
0.38,50000,1.4142
0.39,50000,1.53378
0.4,50000,1.49829
0.41,50000,1.59371
0.42,50000,1.61783
0.43,50000,1.67839
0.44,50000,1.76142
0.45,50000,1.75849
0.46,50000,1.7578
0.47,50000,1.76248
0.48,50000,1.7111
0.49,50000,1.69843
0.5,50000,1.63982
0.51,50000,1.59289
0.52,50000,1.59447
0.53,50000,1.59604
0.54,50000,1.58012
0.55,50000,1.46189
0.56,50000,1.46332
0.57,50000,1.46476
0.58,50000,1.42915
0.59,50000,1.42915
0.6,50000,1.32727
0.61,50000,1.30695
0.62,50000,1.30521
0.63,50000,1.30521
0.64,50000,1.30521
0.65,50000,1.31028
0.66,50000,1.31408
0.67,50000,1.32169
0.68,50000,1.33309
0.69,50000,1.34703
0.7,50000,1.34058
0.71,50000,1.35631
0.72,50000,1.37348
0.73,50000,1.40888
0.74,50000,1.38947
0.75,50000,1.42394
0.76,50000,1.43365
0.77,50000,1.4445
0.78,50000,1.47566
0.79,50000,1.49838
0.8,50000,1.52919
0.81,50000,1.58269
0.82,50000,1.57238
0.83,50000,1.60861
0.84,50000,1.64898
0.85,50000,1.70384
0.86,50000,1.70413
0.87,50000,1.7375
0.88,50000,1.72505
0.89,50000,1.74063
0.9,50000,1.7634
0.91,50000,1.79136
0.92,50000,1.79402
0.93,50000,1.74752
0.94,50000,1.75851
0.95,50000,1.77409
0.96,50000,1.78509
0.97,50000,1.76812
0.98,50000,1.73175
0.99,50000,1.74315
1,50000,1.74841
1.01,50000,1.69172
1.02,50000,1.69595
1.03,50000,1.6155
1.04,50000,1.61983
1.05,50000,1.62384
1.06,50000,1.62625
1.07,50000,1.62865
1.08,50000,1.63106
1.09,50000,1.56343
1.1,50000,1.5642
1.11,50000,1.56573
1.12,50000,1.56727
1.13,50000,1.56803
1.14,50000,1.4876
1.15,50000,1.48832
1.16,50000,1.48905
1.17,50000,1.4905
1.18,50000,1.40508
1.19,50000,1.40576
1.2,50000,1.39524
1.21,50000,1.39524
1.22,50000,1.39524
1.23,50000,1.39524
1.24,50000,1.39592
1.25,50000,1.39728
1.26,50000,1.39728
1.27,50000,1.39796
1.28,50000,1.40338
1.29,50000,1.40677
1.3,50000,1.40745
1.31,50000,1.41355
1.32,50000,1.41694
1.33,50000,1.39966
1.34,50000,1.37597
1.35,50000,1.37922
1.36,50000,1.35369
1.37,50000,1.34591
1.38,50000,1.35656
1.39,50000,1.36408
1.4,50000,1.37785
1.41,50000,1.38913
1.42,50000,1.3716
1.43,50000,1.35756
1.44,50000,1.37376
1.45,50000,1.38697
1.46,50000,1.3662
1.47,50000,1.39017
1.48,50000,1.40535
1.49,50000,1.41689
1.5,50000,1.43479
1.51,50000,1.41916
1.52,50000,1.43835
1.53,50000,1.45416
1.54,50000,1.47279
1.55,50000,1.49593
1.56,50000,1.51569
1.57,50000,1.52761
1.58,50000,1.54718
1.59,50000,1.55935
1.6,50000,1.56491
1.61,50000,1.55586
1.62,50000,1.57838
1.63,50000,1.59967
1.64,50000,1.61576
1.65,50000,1.61934
1.66,50000,1.63604
1.67,50000,1.64603
1.68,50000,1.67011
1.69,50000,1.66142
1.7,50000,1.68202
1.71,50000,1.66011
1.72,50000,1.67567
1.73,50000,1.69624
1.74,50000,1.6889
1.75,50000,1.70719
1.76,50000,1.72533
1.77,50000,1.73095
1.78,50000,1.74418
1.79,50000,1.75349
1.8,50000,1.75232
1.81,50000,1.7079
1.82,50000,1.71868
1.83,50000,1.73601
1.84,50000,1.7461
1.85,50000,1.75351
1.86,50000,1.76753
1.87,50000,1.77874
1.88,50000,1.76751
1.89,50000,1.76804
1.9,50000,1.77263
1.91,50000,1.77815
1.92,50000,1.78366
1.93,50000,1.78339
1.94,50000,1.7898
1.95,50000,1.79575
1.96,50000,1.72048
1.97,50000,1.72705
1.98,50000,1.69462
1.99,50000,1.70019
2,50000,1.70233
2.01,50000,1.70704
2.02,50000,1.70961
2.03,50000,1.66376
2.04,50000,1.65089
2.05,50000,1.65378
2.06,50000,1.65625
2.07,50000,1.65505
2.08,50000,1.65711
2.09,50000,1.65999
2.1,50000,1.64886
2.11,50000,1.65131
2.12,50000,1.65213
2.13,50000,1.65457
2.14,50000,1.6558
2.15,50000,1.60997
2.16,50000,1.58867
2.17,50000,1.58984
2.18,50000,1.59023
2.19,50000,1.59336
2.2,50000,1.59492
2.21,50000,1.59571
2.22,50000,1.59688
2.23,50000,1.59766
2.24,50000,1.59805
2.25,50000,1.53842
2.26,50000,1.53917
2.27,50000,1.53955
2.28,50000,1.53955
2.29,50000,1.53992
2.3,50000,1.42794
2.31,50000,1.42794
2.32,50000,1.42863
2.33,50000,1.42798
2.34,50000,1.42868
2.35,50000,1.42902
2.36,50000,1.42937
2.37,50000,1.42937
2.38,50000,1.42972
2.39,50000,1.42972
2.4,50000,1.43007
2.41,50000,1.43042
2.42,50000,1.43076
2.43,50000,1.43111
2.44,50000,1.39936
2.45,50000,1.40004
2.46,50000,1.40072
2.47,50000,1.4014
2.48,50000,1.39287
2.49,50000,1.39355
2.5,50000,1.39423
2.51,50000,1.3949
2.52,50000,1.39524
2.53,50000,1.39727
2.54,50000,1.39794
2.55,50000,1.40031
2.56,50000,1.40335
2.57,50000,1.40402
2.58,50000,1.38352
2.59,50000,1.38427
2.6,50000,1.38659
2.61,50000,1.36915
2.62,50000,1.37177
2.63,50000,1.3734
2.64,50000,1.37765
2.65,50000,1.38059
2.66,50000,1.38386
2.67,50000,1.34605
2.68,50000,1.34953
2.69,50000,1.35334
2.7,50000,1.35714
2.71,50000,1.36126
2.72,50000,1.35363
2.73,50000,1.36116
2.74,50000,1.36304
2.75,50000,1.36168
2.76,50000,1.35457
2.77,50000,1.35953
2.78,50000,1.36386
2.79,50000,1.37092
2.8,50000,1.34398
2.81,50000,1.34911
2.82,50000,1.35575
2.83,50000,1.36238
2.84,50000,1.37083
2.85,50000,1.37777
2.86,50000,1.3829
2.87,50000,1.39105
2.88,50000,1.38003
2.89,50000,1.38896
2.9,50000,1.3952
2.91,50000,1.40502
2.92,50000,1.41425
2.93,50000,1.42139
2.94,50000,1.3895
2.95,50000,1.39819
2.96,50000,1.4071
2.97,50000,1.41665
2.98,50000,1.42039
2.99,50000,1.42849
3,50000,1.43832
3.01,50000,1.4493
3.02,50000,1.4454
3.03,50000,1.45514
3.04,50000,1.46517
3.05,50000,1.47348
3.06,50000,1.48437
3.07,50000,1.49583
3.08,50000,1.50786
3.09,50000,1.51989
3.1,50000,1.5282
3.11,50000,1.51884
3.12,50000,1.5327
3.13,50000,1.54344
3.14,50000,1.55362
3.15,50000,1.56323
3.16,50000,1.57369
3.17,50000,1.58528
3.18,50000,1.59603
3.19,50000,1.55448
3.2,50000,1.5635
3.21,50000,1.5739
3.22,50000,1.55553
3.23,50000,1.5668
3.24,50000,1.57835
3.25,50000,1.58667
3.26,50000,1.59821
3.27,50000,1.60573
3.28,50000,1.61593
3.29,50000,1.62827
3.3,50000,1.63686
3.31,50000,1.64733
3.32,50000,1.60649
3.33,50000,1.6148
3.34,50000,1.62857
3.35,50000,1.62775
3.36,50000,1.63833
3.37,50000,1.64941
3.38,50000,1.66179
3.39,50000,1.67159
3.4,50000,1.65089
3.41,50000,1.66001
3.42,50000,1.66963
3.43,50000,1.67799
3.44,50000,1.68406
3.45,50000,1.68704
3.46,50000,1.69838
3.47,50000,1.70745
3.48,50000,1.71854
3.49,50000,1.71893
3.5,50000,1.71562
3.51,50000,1.72485
3.52,50000,1.73482
3.53,50000,1.7438
3.54,50000,1.75153
3.55,50000,1.76125
3.56,50000,1.76724
3.57,50000,1.77372
3.58,50000,1.75969
3.59,50000,1.74877
3.6,50000,1.75536
3.61,50000,1.76122
3.62,50000,1.76854
3.63,50000,1.7766
3.64,50000,1.74169
3.65,50000,1.74789
3.66,50000,1.75409
3.67,50000,1.7491
3.68,50000,1.75407
3.69,50000,1.73485
3.7,50000,1.74116
