insertions,flushes,max_alpha
0.01,0,1
0.02,1,1.07674
0.03,1,1.07674
0.04,2,1.11816
0.05,12,1.82218
0.06,24,2.48479
0.07,35,3.09529
0.08,46,1.8259
0.09,71,2.17753
0.1,91,1.95384
0.11,112,1.67301
0.12,146,1.69318
0.13,188,1.9123
0.14,220,1.53218
0.15,247,1.65759
0.16,278,1.74208
0.17,312,1.87599
0.18,336,1.97208
0.19,371,1.652
0.2,417,1.70283
0.21,449,1.73332
0.22,470,1.30928
0.23,504,1.30928
0.24,515,1.33577
0.25,519,1.41524
0.26,534,1.47903
0.27,551,1.63524
0.28,571,1.75993
0.29,601,1.73945
0.3,629,1.76129
0.31,697,1.68909
0.32,750,1.6023
0.33,793,1.63615
0.34,833,1.62147
0.35,885,1.67756
0.36,887,1.73633
0.37,904,1.78976
0.38,935,1.6287
0.39,974,1.63585
0.4,1002,1.64062
0.41,1039,1.42296
0.42,1060,1.34896
0.43,1068,1.31315
0.44,1077,1.31504
0.45,1086,1.31571
0.46,1069,1.32893
0.47,1087,1.35484
0.48,1099,1.36385
0.49,1104,1.40842
0.5,1112,1.45756
0.51,1133,1.53436
0.52,1150,1.56732
0.53,1173,1.64972
0.54,1207,1.67644
0.55,1266,1.73771
0.56,1337,1.68615
0.57,1411,1.72775
0.58,1482,1.72507
0.59,1535,1.62845
0.6,1590,1.61858
0.61,1625,1.63603
0.62,1652,1.61259
0.63,1675,1.58355
0.64,1715,1.60707
0.65,1728,1.63473
0.66,1763,1.60974
0.67,1763,1.59909
0.68,1783,1.61755
0.69,1810,1.59548
0.7,1843,1.61626
0.71,1876,1.64363
0.72,1912,1.64342
0.73,1970,1.65694
0.74,2009,1.5509
0.75,2028,1.56578
0.76,2069,1.52335
0.77,2097,1.52778
0.78,2104,1.42691
0.79,2102,1.42691
0.8,2106,1.42004
0.81,2103,1.35441
0.82,2116,1.35539
0.83,2111,1.35539
0.84,2132,1.35636
0.85,2136,1.35716
0.86,2144,1.35716
0.87,2144,1.35565
0.88,2143,1.35676
0.89,2120,1.3623
0.9,2143,1.35067
0.91,2128,1.36596
0.92,2138,1.37934
0.93,2161,1.39942
0.94,2175,1.41853
0.95,2168,1.43888
0.96,2189,1.47027
0.97,2213,1.49499
0.98,2239,1.53684
0.99,2284,1.48018
1,2338,1.52045
1.01,2380,1.56162
1.02,2455,1.52576
1.03,2510,1.56499
1.04,2577,1.5957
1.05,2640,1.63408
1.06,2716,1.66478
1.07,2744,1.62132
1.08,2813,1.64816
1.09,2864,1.6611
1.1,2924,1.68367
1.11,2985,1.70785
1.12,3055,1.65401
1.13,3107,1.66793
1.14,3150,1.67954
1.15,3188,1.65899
1.16,3217,1.67036
1.17,3222,1.62935
1.18,3236,1.6367
