insertions,flushes,max_alpha
0.01,0,1
0.02,1,1.05
0.03,1,1.05
0.04,2,1.09038
0.05,12,1.84514
0.06,24,2.48638
0.07,33,3.15731
0.08,48,1.88014
0.09,77,2.23974
0.1,96,1.97163
0.11,114,2.04024
0.12,153,1.65644
0.13,194,1.86608
0.14,222,2.00265
0.15,247,1.81483
0.16,287,1.93098
0.17,312,1.81628
0.18,348,1.58066
0.19,377,1.67889
0.2,409,1.70268
0.21,444,1.61831
0.22,476,1.62303
0.23,494,1.52635
0.24,513,1.42661
0.25,543,1.3982
0.26,550,1.51158
0.27,559,1.6369
0.28,575,1.78668
0.29,612,1.73308
0.3,645,1.76391
0.31,694,1.65871
0.32,746,1.62082
0.33,792,1.55539
0.34,834,1.59548
0.35,861,1.6102
0.36,905,1.65618
0.37,930,1.64732
0.38,955,1.6895
0.39,982,1.60676
0.4,1016,1.53543
0.41,1036,1.53543
0.42,1065,1.53766
0.43,1084,1.53988
0.44,1085,1.35553
0.45,1090,1.34709
0.46,1093,1.36641
0.47,1091,1.38961
0.48,1088,1.43599
0.49,1101,1.43918
0.5,1107,1.49584
0.51,1123,1.58577
0.52,1155,1.62078
0.53,1190,1.7196
0.54,1245,1.6967
0.55,1319,1.73245
0.56,1370,1.66581
0.57,1415,1.68183
0.58,1494,1.70523
0.59,1557,1.72239
0.6,1585,1.6271
0.61,1618,1.59825
0.62,1688,1.61389
0.63,1712,1.6338
0.64,1719,1.65086
0.65,1741,1.61439
0.66,1771,1.64045
0.67,1775,1.59655
0.68,1774,1.63052
0.69,1794,1.65117
0.7,1838,1.67706
0.71,1875,1.598
0.72,1902,1.6073
0.73,1962,1.62654
0.74,2003,1.56373
0.75,2053,1.57176
0.76,2065,1.5775
0.77,2084,1.53773
0.78,2097,1.51084
0.79,2109,1.51084
0.8,2085,1.51084
0.81,2096,1.51303
0.82,2094,1.51412
0.83,2108,1.51522
0.84,2115,1.5185
0.85,2110,1.37199
0.86,2123,1.37495
0.87,2140,1.36219
0.88,2129,1.36706
0.89,2125,1.37193
0.9,2147,1.38167
0.91,2152,1.39434
0.92,2151,1.40993
0.93,2145,1.40419
0.94,2148,1.36787
0.95,2169,1.39454
0.96,2180,1.42011
0.97,2206,1.43916
0.98,2262,1.48093
0.99,2306,1.50223
1,2368,1.49984
1.01,2412,1.5364
