insertions,flushes,max_alpha
0.01,0,1
0.02,1,1.06766
0.03,1,1.06766
0.04,2,1.10873
0.05,12,1.93001
0.06,24,2.5049
0.07,33,3.16049
0.08,47,1.74902
0.09,71,1.66124
0.1,93,1.82927
0.11,113,1.89393
0.12,148,2.04248
0.13,179,1.84974
0.14,209,1.99606
0.15,232,1.86695
0.16,269,1.98455
0.17,293,1.80459
0.18,335,1.88786
0.19,366,1.77885
0.2,405,1.64485
0.21,441,1.61613
0.22,470,1.29171
0.23,498,1.2993
0.24,517,1.3259
0.25,526,1.40693
0.26,519,1.49478
0.27,537,1.60593
0.28,548,1.73162
0.29,584,1.82165
0.3,624,1.88363
0.31,690,1.95595
0.32,746,2.00071
0.33,797,1.65151
0.34,833,1.60379
0.35,889,1.64565
0.36,915,1.60631
0.37,941,1.63623
0.38,974,1.65952
0.39,994,1.54791
0.4,1018,1.53755
0.41,1038,1.30079
0.42,1058,1.30079
0.43,1065,1.30265
0.44,1092,1.30838
0.45,1067,1.30877
0.46,1075,1.31919
0.47,1077,1.33612
0.48,1085,1.37376
0.49,1075,1.44151
0.5,1099,1.50549
0.51,1109,1.58077
0.52,1134,1.69368
0.53,1156,1.6495
0.54,1215,1.73214
0.55,1298,1.72426
0.56,1385,1.7158
0.57,1448,1.71103
0.58,1532,1.6527
0.59,1600,1.66902
0.6,1637,1.6794
0.61,1671,1.66557
0.62,1713,1.68884
0.63,1729,1.67146
0.64,1762,1.68855
0.65,1779,1.65079
0.66,1799,1.67555
0.67,1818,1.69618
0.68,1856,1.61109
0.69,1851,1.63691
0.7,1876,1.65627
0.71,1893,1.67435
0.72,1927,1.62993
0.73,1954,1.64475
0.74,1994,1.55081
0.75,2018,1.56007
0.76,2043,1.56701
0.77,2058,1.52256
0.78,2057,1.35386
0.79,2069,1.35486
0.8,2066,1.35486
0.81,2068,1.35486
0.82,2073,1.35486
0.83,2087,1.35486
0.84,2087,1.35486
0.85,2084,1.35685
0.86,2104,1.35984
0.87,2082,1.36881
0.88,2091,1.3718
0.89,2119,1.32961
0.9,2135,1.33919
0.91,2130,1.3503
0.92,2138,1.36636
0.93,2147,1.38827
0.94,2118,1.35344
0.95,2154,1.37808
0.96,2163,1.40013
0.97,2206,1.41073
0.98,2221,1.44577
0.99,2269,1.47722
1,2320,1.508
1.01,2380,1.54915
1.02,2421,1.5516
1.03,2488,1.56068
1.04,2551,1.60787
1.05,2596,1.64734
1.06,2653,1.68279
1.07,2720,1.6459
1.08,2768,1.6728
1.09,2853,1.6912
1.1,2927,1.70182
1.11,3002,1.72341
1.12,3079,1.73861
1.13,3156,1.71219
1.14,3201,1.69678
1.15,3236,1.69563
1.16,3259,1.66424
1.17,3300,1.6573
1.18,3315,1.66391
1.19,3339,1.65655
1.2,3366,1.66383
1.21,3393,1.67474
1.22,3401,1.68711
1.23,3434,1.6519
1.24,3438,1.62064
1.25,3440,1.62961
1.26,3473,1.614
1.27,3486,1.62283
1.28,3529,1.62894
1.29,3563,1.63913
1.3,3613,1.65475
1.31,3642,1.65099
1.32,3680,1.6611
1.33,3671,1.66986
1.34,3679,1.65068
1.35,3687,1.66191
1.36,3692,1.66131
1.37,3711,1.64924
1.38,3743,1.59166
1.39,3765,1.59372
1.4,3812,1.60051
1.41,3842,1.61039
1.42,3859,1.60894
1.43,3878,1.61937
1.44,3912,1.62674
1.45,3909,1.58071
1.46,3923,1.58904
1.47,3927,1.59202
1.48,3965,1.59856
1.49,3976,1.60213
1.5,3986,1.53557
1.51,4003,1.53299
1.52,4031,1.52113
1.53,4021,1.52282
1.54,4015,1.50794
1.55,4047,1.4701
1.56,4028,1.47064
1.57,4025,1.47118
1.58,4028,1.47118
1.59,4048,1.47172
1.6,4025,1.47226
1.61,4054,1.47226
1.62,4064,1.41997
1.63,4077,1.42101
1.64,4083,1.42101
1.65,4079,1.42206
1.66,4095,1.4231
1.67,4105,1.42414
1.68,4090,1.42519
1.69,4104,1.42728
1.7,4096,1.36141
1.71,4082,1.36538
1.72,4070,1.36985
1.73,4084,1.37284
1.74,4068,1.37731
1.75,4078,1.38178
1.76,4101,1.36671
1.77,4109,1.35448
1.78,4104,1.36074
1.79,4136,1.3699
1.8,4155,1.37424
1.81,4169,1.38195
1.82,4205,1.38966
1.83,4223,1.39979
1.84,4228,1.37495
1.85,4260,1.36768
1.86,4287,1.37741
1.87,4295,1.38482
1.88,4341,1.39152
1.89,4354,1.40533
1.9,4387,1.41822
1.91,4411,1.40612
1.92,4460,1.41833
1.93,4469,1.43642
1.94,4521,1.45004
1.95,4550,1.44621
1.96,4589,1.45955
1.97,4677,1.47822
1.98,4715,1.49334
1.99,4743,1.51245
2,4847,1.53424
2.01,4880,1.5127
2.02,4885,1.52541
2.03,4977,1.54133
2.04,5075,1.5637
2.05,5092,1.56742
2.06,5133,1.57752
2.07,5210,1.59194
2.08,5222,1.61187
2.09,5259,1.62045
2.1,5327,1.64109
2.11,5433,1.66383
2.12,5495,1.68109
2.13,5598,1.62353
2.14,5669,1.63682
2.15,5724,1.65092
2.16,5762,1.66381
2.17,5816,1.6775
2.18,5854,1.68677
2.19,5901,1.65051
2.2,5929,1.65541
2.21,5970,1.66175
2.22,6020,1.67188
2.23,6074,1.67892
2.24,6084,1.67494
2.25,6123,1.68189
2.26,6160,1.68395
2.27,6167,1.69163
2.28,6203,1.68946
2.29,6220,1.69634
2.3,6262,1.70036
2.31,6287,1.70531
2.32,6351,1.67358
2.33,6337,1.68141
2.34,6407,1.68812
2.35,6408,1.66831
2.36,6439,1.67125
2.37,6446,1.67042
2.38,6507,1.6781
2.39,6508,1.68016
2.4,6572,1.67012
2.41,6554,1.67374
2.42,6587,1.67773
2.43,6589,1.68496
2.44,6627,1.65841
2.45,6596,1.66303
2.46,6635,1.66943
2.47,6607,1.67548
2.48,6667,1.64932
2.49,6680,1.65491
2.5,6720,1.66259
2.51,6712,1.66992
2.52,6741,1.67515
2.53,6738,1.6732
2.54,6748,1.64507
2.55,6766,1.6336
2.56,6808,1.63765
2.57,6831,1.64203
2.58,6846,1.62451
2.59,6860,1.62816
2.6,6919,1.63448
2.61,6960,1.63947
2.62,7000,1.64379
2.63,6989,1.64978
2.64,7014,1.65211
2.65,7029,1.6561
2.66,7058,1.66009
2.67,7055,1.66541
2.68,7090,1.67206
2.69,7106,1.67638
2.7,7098,1.68004
2.71,7135,1.65214
2.72,7138,1.65703
2.73,7178,1.6629
2.74,7223,1.66779
2.75,7246,1.6459
2.76,7220,1.65072
2.77,7273,1.6549
2.78,7277,1.65779
2.79,7296,1.66132
2.8,7301,1.66549
2.81,7301,1.66999
2.82,7331,1.64415
2.83,7332,1.64762
2.84,7320,1.65046
2.85,7372,1.65487
2.86,7419,1.65991
2.87,7373,1.66306
2.88,7437,1.66653
2.89,7473,1.67157
2.9,7431,1.6741
2.91,7465,1.67725
2.92,7479,1.55347
2.93,7462,1.55639
2.94,7478,1.5593
2.95,7517,1.55667
2.96,7473,1.559
2.97,7519,1.54958
2.98,7551,1.55131
2.99,7567,1.5516
3,7610,1.55391
3.01,7654,1.53784
3.02,7681,1.49579
3.03,7650,1.47837
3.04,7632,1.47174
3.05,7580,1.47256
3.06,7552,1.47338
3.07,7554,1.47392
3.08,7578,1.47446
3.09,7571,1.46087
3.1,7647,1.46114
3.11,7703,1.46141
3.12,7682,1.46168
