Packet	ns
1	3462
2	2692
3	1920
4	1700
5	1915
6	1570
7	1622
8	1654
9	768938114
10	2118
11	1846
12	1678
13	1424
14	1687
15	1700
16	1306
17	1431019712
18	2167
19	1371
20	1093
21	993
22	1020
23	7804
24	1189873618
25	2423
26	908
27	826
28	6240
29	772
30	4753
31	1225693692
32	1980
33	1570
34	522059152
35	8993
36	1801
37	7208
38	1266
39	1329514932
40	2139
41	523157790
42	616779975
43	1191
44	774
45	686
46	761
47	694
48	652
49	768
50	764
51	1208495538
52	1905
53	1131
54	970
55	896
56	7673
57	792
58	757
59	1558003033
60	4238
61	1629
62	871
63	22315
64	904
65	760
66	1664450679
67	1877
68	1320
69	864
70	1015178089
71	1835
72	1368
73	552839564
74	1916
75	890
76	769325502
77	2033
78	8144
79	742
80	1573204524
81	2272
82	1970
83	7886
84	944
85	1058
86	9743
87	1253
88	1256903885
89	1534
90	1466
91	12534
92	813
93	652639556
94	2190
95	1292
96	1841891521
97	2178
98	980797237
99	1957
100	940
101	7972
102	8432
103	762
104	1266931129
105	2172
106	16999
107	1545
108	14627
109	1347
110	8166
111	569218265
112	1964
113	1773
114	10169
115	902
116	6864
117	684280401
118	1721
119	2376603454
120	2019
121	903218827
122	2077
123	11753
124	1350
125	10144
126	1139862621
127	1865
128	1380
129	12881
130	902
131	8558
132	8226
133	716
134	623649153
135	1932
136	1267725489
137	1040030427
138	2111
139	11233
140	8152
141	1578180220
142	1849
143	10622
144	1466
145	12316
146	7222
147	7231
148	722
149	2045130086
150	1448
151	681983707
152	10144
153	1832
154	644345644
155	9293
156	1120374960
157	1361
158	11907
159	1275
160	8576
161	6729
162	10054
163	448946124
164	1497
165	12562
166	632859047
167	13250
168	1892
169	8780
170	6720
171	1800373609
172	512816911
173	1748
174	12949
175	7973
176	722
177	5975
178	6571
179	1266401411
180	13230
181	1507
182	1135761935
183	1069347532
184	11705
185	10926
186	521123285
187	1181
188	11985
189	552541351
190	2308
191	9120
192	8022
193	6049
194	1207027913
195	13517
196	1112
197	547866160
198	14022
199	549356925
200	14275
201	1184682289
202	1608
203	589958362
204	1634
205	1105
206	744
207	723
208	892
209	731
210	909
211	829
212	1279621614
213	1801
214	1506
215	1171
216	17369
217	826
218	755
219	798
220	1922816971
221	2078
222	1580
223	1132
224	18237
225	881
226	881
227	2358249312
228	4505
229	1486
230	1441
231	2931063865
232	2191
233	1658
234	1319472125
235	1639
236	1292
237	1296
238	42386
239	1158
240	780
241	1498655604
242	1834
243	1816
244	9039
245	1413
246	16160
247	1124
248	573671280
249	1460
250	1243
251	1128
252	18072
253	715
254	4197
255	688
256	1674663760
257	1309
258	1043
259	729730986
260	1342
261	661924896
262	1990
263	1304
264	595258953
265	1817
266	1596
267	463453993
268	1697
269	1553038707
270	2201
271	1987392918
272	1630
273	1675
274	30029
275	1101
276	1099
277	5597
278	782
279	584683445
280	1995
281	1402
282	10706
283	1355
284	1197118671
285	1814
286	913913578
287	1789
288	842
289	946
290	1154551087
291	1865
292	1458786423
293	1924
294	555449385
295	1646
296	1198
297	15612
298	1111
299	6593
300	1211
301	2674687084
302	1772
303	1098
304	925
305	15229
306	740
307	8865
308	750
309	1719270436
310	1739
311	1185
312	463833220
313	1770
314	1160182741
315	1650
316	836
317	1717275242
318	1987
319	1037
320	1196431122
321	1760
322	790349026
323	1575
324	1270725504
325	1433
326	1129
327	1185
328	13347
329	877
330	8298
331	736
332	2036752202
333	2175
334	1046888089
335	2230
336	26928
337	1219
338	6540
339	862
340	566425444
341	1423
342	677509010
343	1953
344	7851
345	945
346	6408
347	947
348	1650296687
349	2314
350	13458
351	1307
352	617722202
353	2591
354	12444
355	1613062638
356	1737
357	1028110436
358	1902
359	406024438
360	1708
361	6632
362	944
363	535923208
364	2346
365	12128
366	733
367	11932
368	744
369	11742
370	450357550
371	1552
372	16329
373	888
374	487441689
375	1374
376	529715376
377	1686
378	1765039571
379	1607
380	1585303532
381	2120
382	10977
383	889
384	5452
385	1479190963
386	2487
387	1273152961
388	1951
389	999601860
390	1597
391	8982
392	896
393	604308656
394	1585
395	22261
396	994
397	941628293
398	2299
399	7850
400	1101
401	990574241
402	1517
403	386777413
404	1761
405	14671
406	1265
407	14119
408	1533763556
409	1863
410	722865668
411	2322
412	7127
413	1578
414	1163505573
415	490496371
416	1483
417	14894
418	945
419	603090179
420	2143
421	6852
422	928037692
423	1615
424	26289
425	1101
426	14045
427	1136
428	10760
429	1662127899
430	2395
431	606687729
432	1504
433	7185
434	717
435	5227
436	558211236
437	1842
438	13469
439	777
440	11515
441	718
442	1152564739
443	2214
444	2579081544
445	2554
446	12813
447	820
448	563383262
449	1625
450	5319
451	684
452	602539139
453	1549
454	418330694
455	1469
456	14633
457	819
458	1755379730
459	1907
460	595955643
461	1469
462	15626
463	748
464	1116805688
465	2546
466	8852
467	1339
468	1756483659
469	2018
470	1137209973
471	1900
472	1651384604
473	1972
474	13012
475	529666752
476	1661
477	1618570803
478	2032
479	12343
480	1643
481	15904
482	977
483	607876101
484	2018
485	1224336793
486	2199
487	1208558778
488	2037
489	5799
490	1624233056
491	1885
492	31080
493	1335
494	14448
495	995
496	1213125201
497	615528301
498	1438
499	1071156694
500	1571
501	949
502	1934901461
503	11054
504	1738
505	592724301
506	1783
507	665119207
508	2202
509	1287236225
510	2155
511	1397672108
512	932645306
513	1518
514	1370092804
515	2433
516	39500
517	987
518	8140
519	513715348
520	1550
521	1109438356
522	1358
523	5683
524	1180
525	17154
526	1147
527	590769829
528	1693
529	633276710
530	1333
531	1212534815
532	1683
533	2040649106
534	1950
535	2801477654
536	1910
537	31019
538	952
539	723201553
540	1835
541	7058
542	1073334873
543	2125
544	378662623
545	2138
546	1022101106
547	2123
548	572043161
549	505026188
550	1618
551	17107
552	673
553	5344
554	743
555	4824
556	983392578
557	1407
558	16834
559	844
560	564879053
561	1320
562	487899301
563	515960349
564	1623
565	30424
566	1161
567	11753
568	710
569	1177050285
570	492324926
571	1468
572	1061869633
573	1631
574	26693
575	1390
576	5597
577	1090
578	1039240181
579	1701
580	609775005
581	2045
582	11912
583	1303
584	11320
585	1648336515
586	2198
587	18525
588	873
589	558901255
590	1719
591	5964
592	527666455
593	1307
594	453023561
595	1351
596	11124
597	1095
598	11279
599	2158950151
600	1883
601	31929
602	1391
603	788
604	15005
605	792
606	1627057607
607	563561544
608	1461
609	27397
610	756
611	8880
612	928
613	9426
614	445975703
615	1390
616	14159
617	953
618	1755639264
619	2301
620	17312
621	958578540
622	1255
623	1823235385
624	1549
625	13230
626	1306
627	5566
628	1035037083
629	1886
630	14394
631	1379
632	590634541
633	2545
634	11683
635	1203882697
636	2082
637	24851
638	1024
639	1344668803
640	1694
641	10925
642	527963769
643	1638
644	1229086861
645	1788
646	1200166430
647	8134
648	921
649	5680
650	1149177703
651	1301
652	530819204
653	1723
654	1097085254
655	9135
656	1206
657	6317
658	576433092
659	1176
660	14561
661	778
662	5803
663	16518
664	5356
665	565600340
666	1484
667	9955
668	991
669	610095146
670	9094
671	1000
672	13461
673	2310992323
674	1661
675	1265607302
676	1580
677	12475
678	7529
679	517599974
680	2165
681	1081178252
682	2148
683	18170
684	1274
685	519909795
686	12518
687	4880
688	514601205
689	29921
690	29460
691	905
692	6346
693	8126
694	13067
695	2022899503
696	2296
697	1462
698	23184
699	618213741
700	1551
701	598913346
702	2461366076
703	1135308112
704	1546
705	2365824826
706	1836
707	27271
708	8414
709	7833
710	559089993
711	1707
712	16091
713	1089
714	14281
715	931
716	5325
717	4200
718	1620854041
719	1837
720	41215
721	1216
722	1594853059
723	509840879
724	14192
725	1058610542
726	1523
727	36108
728	1085
729	12637
730	819
731	10058
732	8295
733	628960092
734	1162
735	1077217223
736	2036
737	39289
738	1313507629
739	1265120230
740	1620
741	996361780
742	1470
743	1187084325
744	1863
745	39180
746	5294
747	3869
748	527910181
749	1243
750	2516524479
751	1768
752	34362
753	2422223924
754	1084001210
755	1804214894
756	2003
757	12871
758	928
759	1275036964
760	7385
761	5645
762	2175679478
763	2015
764	1311388382
765	1813
766	8277
767	6345
768	5492
769	544092922
770	1299
771	11342
772	847
773	1075129366
774	2229
775	18869
776	1132458015
777	567365738
778	1522
779	12695
780	771
781	15757
782	4825
783	783
784	4359
785	1022103679
786	1320
787	13423
788	910
789	13285
790	8655
791	587498916
792	500361854
793	1571
794	1623944820
795	2044
796	1151643065
797	1675
798	8021
799	762
800	613774482
801	1416
802	27416
803	880
804	7808
805	1232700695
806	1568670001
807	1636
808	1671013579
809	1903
810	670436218
811	2080
812	1208051883
813	9985
814	6559
815	531868337
816	1122
817	9675
818	927
819	14776
820	752
821	5233
822	4196
823	1891468743
824	2559
825	1268827242
826	2050
827	14997
828	1543491062
829	31634
830	2830345324
831	1570
832	29433
833	1088
834	519221415
835	1016
836	5813
837	4815
838	1295268093
839	1898
840	658983622
841	1498
842	1127905574
843	20348
844	1013
845	758577606
846	553756478
847	9811
848	1233
849	9009
850	4684
851	4165
852	6218
853	4908
854	509398084
855	17143
856	1153
857	8588
858	1919638676
859	576171895
860	25738
861	6028
862	576315859
863	15616
864	9732
865	7013
866	8863
867	997
868	665174831
869	1599
870	1179
871	1032
872	890
873	680
874	730
875	691
876	444928308
877	2054
878	1134
879	955
880	1009
881	6623
882	1002
883	789
884	730617839
885	1470
886	1043
887	860
888	556779346
889	1521
890	947
891	794
892	1462251510
893	2419
894	1073
895	973
896	1881542431
897	1749
898	1312
899	1916396293
900	1674
901	919
902	797
903	15744
904	1012
905	1301
906	985
907	1680596091
908	1901
909	1333
910	1307
911	1152938192
912	1801
913	1435
914	544991644
915	1493
916	832
917	827
918	6582
919	774
920	1424910735
921	3050865318
922	1405
923	870
924	766
925	1563443149
926	6440
927	1022
928	556616247
929	1749
930	970
931	749
932	1739782789
933	1786
934	25950
935	1350
936	3829486975
937	1789
938	1506
939	1000239469
940	1576
941	1256
942	5872
943	945
944	562088110
945	1610
946	1330
947	5930
948	850
949	1354947970
950	1590
951	967506949
952	2005
953	1212
954	746664884
955	1869
956	5983
957	1201
958	1065374860
959	2118
960	1266
961	779781426
962	1816
963	1324
964	959553022
965	960554176
966	1798
967	964
968	782
969	6044
970	848
971	4402
972	1031943650
973	1689
974	867
975	819
976	969023541
977	1811
978	1801425981
979	2620608844
980	2001
981	1263
982	844
983	6042
984	22696
985	809
986	540123912
987	1274
988	892
989	853
990	1431475092
991	1565
992	6648
993	793
994	978964779
995	1507
996	1232
997	660227937
998	1804
999	8883
1000	1021
1001	1069
1002	1791639406
1003	2071
1004	941
1005	6524
1006	971
1007	2095729394
1008	2084
1009	948
1010	1799420432
1011	1546
1012	1292
1013	1631064926
1014	1526
1015	18444
1016	1038
1017	1998242217
1018	2044
1019	1692
1020	8961
1021	1268
1022	22241
1023	852
1024	1084
1025	1645523383
1026	1635
1027	1286
1028	509167319
1029	1868
1030	998549719
1031	1723
1032	1843
1033	589784719
1034	1585
1035	1061
1036	472507587
1037	1712
1038	6151
1039	963
1040	1159
1041	1620090248
1042	1716
1043	1845
1044	25322
1045	1164
1046	32734
1047	664
1048	696
1049	2372059048
1050	1630
1051	1487
1052	16666
1053	859
1054	1525948206
1055	1668
1056	1317
1057	1849280026
1058	1860
1059	1120
1060	1634726520
1061	1465
1062	11354
1063	882
1064	541627217
1065	1349
1066	1065
1067	1123
1068	51742
1069	638
1070	1195257422
1071	1360
1072	1019654014
1073	1494
1074	1301
1075	14582
1076	999
1077	488671652
1078	1474
1079	1242
1080	1336252924
1081	1523
1082	1435
1083	892055864
1084	1494
1085	683165918
1086	1528
1087	2851015743
1088	1450
1089	1282
1090	1010
1091	27652
1092	752
1093	1246885025
1094	2026
1095	606894355
1096	1301
1097	1189
1098	9193
1099	723
1100	1435389367
1101	1772
1102	1198
1103	2713677596
1104	1779
1105	1836
1106	470651089
1107	1540
1108	609306408
1109	1671
1110	1391
1111	2636098142
1112	1803
1113	1553
1114	26853
1115	1117
1116	1302685142
1117	2299
1118	2073104130
1119	2027
1120	1606
1121	37006
1122	1018
1123	1116
1124	468598098
1125	510062445
1126	1297
1127	1182
1128	1128
1129	998697415
1130	1488
1131	6966
1132	2147103199
1133	1932
1134	1048
1135	1145
1136	504321688
1137	428351643
1138	1934
1139	1528795823
1140	2067
1141	1179
1142	1140
1143	43108
1144	836
1145	8347
1146	856
1147	959899954
1148	1539
1149	1206
1150	2013102062
1151	1804
1152	2143667367
1153	2252
1154	1425
1155	2910185861
1156	1750
1157	1374
1158	41758
1159	817
1160	12632
1161	812
1162	2542544846
1163	1783
1164	1609
1165	1044
1166	35317
1167	789
1168	32290
1169	560777255
1170	1478
1171	1102
1172	1648043909
1173	2645
1174	498299490
1175	1616
1176	935275186
1177	1528
1178	1004
1179	842
1180	10020
1181	805
1182	4868
1183	916
1184	513526686
1185	1721
1186	1049
1187	1546921256
1188	1749
1189	19710
1190	946
1191	2674327112
1192	1879
1193	1549
1194	481180704
1195	2041
1196	935
1197	2753934771
1198	1670772078
1199	1649
1200	1133
1201	1860392546
1202	2299
1203	1536548824
1204	2529
1205	941638862
1206	1572
1207	874
1208	1228626894
1209	1570
1210	10596
1211	985
1212	1091393824
1213	1949
1214	923
1215	758
1216	8962
1217	1112
1218	1617262753
1219	1814
1220	952393587
1221	1527
1222	1112
1223	1755917961
1224	1950
1225	1272822720
1226	1781
1227	1576
1228	1073151710
1229	1538
1230	840
1231	1716911930
1232	1694
1233	28663
1234	896
1235	780
1236	1596338137
1237	1584
1238	779
1239	12748
1240	847
1241	20781
1242	790
1243	802
1244	633221666
1245	1948
1246	1022
1247	1553434120
1248	1962
1249	2716864689
1250	1693
1251	1302
1252	1055460420
1253	1712
1254	876
1255	9986
1256	725
1257	5959
1258	778
1259	2371305690
1260	1936
1261	1874
1262	1030804281
1263	1956
1264	1143066272
1265	2168
1266	956954435
1267	1876
1268	1384
1269	1090833472
1270	2767
1271	477360849
1272	1444
1273	514827886
1274	1626
1275	1204
1276	990
1277	35744
1278	873
1279	1178798055
1280	1935
1281	2571102344
1282	1391
1283	1410
1284	47152
1285	1069
1286	7863
1287	811
1288	2451757452
1289	2234
1290	880
1291	1627326629
1292	1599
1293	1366966172
1294	2094
1295	1426
1296	2294325330
1297	2114
1298	1393
1299	1192779809
1300	1893
1301	10663
1302	826
1303	836
1304	2947039423
1305	1364
1306	958
1307	9467
1308	1020
1309	809894121
1310	2280
1311	1536
1312	3404118624
1313	1972
1314	1747
1315	467207997
1316	1577
1317	438758965
1318	1766
1319	522436103
1320	1437
1321	851
1322	1464565375
1323	2013
1324	565627313
1325	3601
1326	1751769956
1327	1950
1328	1085
1329	1676299817
1330	1469
1331	1280
1332	14512
1333	823
1334	1699947072
1335	1798
1336	1384
1337	461086707
1338	1696
1339	1327574729
1340	1323
1341	1087
1342	2841830027
1343	1813
1344	1410
1345	50749
1346	934
1347	598579397
1348	2118
1349	1680409157
1350	2202
1351	1434
1352	1420
1353	11357
1354	617117068
1355	1952
1356	969948853
1357	1718
1358	1145
1359	1317
1360	926644714
1361	1198446057
1362	1610
1363	476375140
1364	1404
1365	711
1366	747
1367	10158
1368	710
1369	1538517659
1370	2097
1371	2795685776
1372	2259
1373	1182
1374	48716
1375	1182
1376	9108
1377	845
1378	3090331555
1379	4995
1380	1296
1381	446204679
1382	1673
1383	36322
1384	1192
1385	2078406239
1386	2351
1387	1466
1388	31572
1389	988
1390	803
1391	629268292
1392	1974
1393	1158462496
1394	1601
1395	1320
1396	12419
1397	798
1398	9726
1399	699
1400	749
1401	1104298484
1402	1745
1403	1748
1404	443677399
1405	1484
1406	17816
1407	1043
1408	877
1409	612725294
1410	1322
1411	872
1412	1683524627
1413	1613
1414	1126895740
1415	1502
1416	1707238116
1417	1976
1418	1283
1419	897830464
1420	1892
1421	27349
1422	1228
1423	537332506
1424	1355
1425	1121
1426	2125835741
1427	2553
1428	12111
1429	1303
1430	1632513523
1431	1914
1432	1703
1433	12198
1434	1480
1435	913252258
1436	1598
1437	544587954
1438	1532
1439	1595
1440	935
1441	1364235895
1442	1891
1443	552902976
1444	2406
1445	1018996097
1446	1534
1447	1353
1448	455313172
1449	1498
1450	1604048291
1451	2350
1452	1367
1453	608890824
1454	1697
1455	1602
1456	1009135614
1457	1809
1458	440383307
1459	1368
1460	913
1461	2869049459
1462	1881
1463	1318
1464	571638779
1465	1712
1466	1068587320
1467	1526
1468	3325424069
1469	3500
1470	1359
1471	514492463
1472	1796
1473	542275055
1474	1939
1475	2594275663
1476	1560
1477	1573
1478	956
1479	32502
1480	1005
1481	426892507
1482	1453
1483	598252965
1484	1689
1485	1155
1486	1108957398
1487	1691
1488	1259875141
1489	1391
1490	947
1491	1661641037
1492	1550
1493	1523
1494	842949390
1495	1319
1496	33679
1497	1016
1498	526090994
1499	1264
1500	827
1501	828
1502	35110
1503	750
1504	487119975
1505	1360
1506	2064979551
1507	1685
1508	1185
1509	13306
1510	882
1511	38908
1512	882
1513	1809171195
1514	2114
1515	923
1516	421000062
1517	1747
1518	36001
1519	891
1520	964571887
1521	1508
1522	1040
1523	1309
1524	1416415585
1525	1946
1526	2655353539
1527	1500
1528	595410731
1529	1729
1530	1460
1531	819342674
1532	2154
1533	1314
1534	35712
1535	761
1536	2649645856
1537	2042
1538	1842
1539	488519938
1540	1605
1541	37373
1542	786
1543	739
1544	642914223
1545	1792
1546	895
1547	1094385117
1548	2002
1549	412530590
1550	1435
1551	1016585927
1552	1605
1553	1319
1554	1097
1555	10105
1556	816
1557	19964
1558	801
1559	4437968428
1560	2186
1561	1392
1562	1592010968
1563	1432
1564	1168227044
1565	1892
1566	1414
1567	1003068060
1568	1287
1569	1210
1570	32400
1571	762
1572	482415412
1573	2048
1574	1975059947
1575	1416
1576	1092
1577	20439
1578	1232
1579	897
1580	526444906
1581	1293
1582	1032820090
1583	1495
1584	1246
1585	489104054
1586	1491
1587	1265431946
1588	1676
1589	575147956
1590	1477
1591	1383
1592	47642
1593	1145
1594	492285761
1595	1532
1596	2021580158
1597	2331
1598	1960
1599	1517424986
1600	4711
1601	22760
1602	1182
1603	531772976
1604	1497
1605	1031
1606	1212693857
1607	1827
1608	1308742494
1609	1992
1610	2022910275
1611	1397
1612	1146
1613	571352492
1614	2017
1615	1036879232
1616	4934
1617	535090772
1618	1312
1619	794
1620	52933
1621	792
1622	1788977071
1623	3793
1624	1655218112
1625	2214
1626	1693
1627	811
1628	10500
1629	768
1630	725217857
1631	1929
1632	1716612359
1633	2117
1634	1664
1635	1853809594
1636	1981
1637	1593
1638	1204646243
1639	1556
1640	2962900500
1641	2406
1642	1494
1643	527268764
1644	1710
1645	935718924
1646	1784
1647	907
1648	2886088487
1649	2428
1650	1617
1651	20265
1652	1187
1653	34822
1654	949
1655	2130501531
1656	1509
1657	1147
1658	1116392744
1659	1370
1660	1365
1661	8950
1662	947
1663	1856263483
1664	1854
1665	1120
1666	12337
1667	1059
1668	476952019
1669	1819
1670	914596274
1671	1715
1672	1081
1673	823
1674	30028
1675	1875481636
1676	2071
1677	540693818
1678	1827
1679	738
1680	472473942
1681	1257
1682	2129094484
1683	2003
1684	2095230637
1685	1746
1686	1610
1687	1344
1688	57435
1689	1123
1690	914942873
1691	1459
1692	1775550548
1693	2062
1694	1273
1695	42542
1696	1111
1697	1172367234
1698	2223
1699	4173338592
1700	1713
1701	1580
1702	1319
1703	429363315
1704	1356
1705	36582
1706	509518518
1707	55715
1708	1331
1709	1219
1710	2763191817
1711	2489
1712	9781
1713	1338
1714	1582075716
1715	1950
1716	1825
1717	12258
1718	1204
1719	602405768
1720	1456
1721	530739092
1722	1893
1723	1015
1724	1052
1725	942333996
1726	1315
1727	594404249
1728	1942
1729	1631617930
1730	2187
1731	956
1732	22988
1733	730
1734	700628313
1735	2081
1736	2335330160
1737	1875
1738	1758
1739	37867
1740	958
1741	463055429
1742	1759
1743	849
1744	1113744500
1745	1444
1746	798
1747	1044923494
1748	2426
1749	49248
1750	1429
1751	1105
1752	602893315
1753	1362
1754	1336
1755	50582
1756	1171
1757	640100893
1758	2071
1759	1558
1760	3333616468
1761	1956
1762	1285
1763	38858
1764	946
1765	911
1766	2664010075
1767	1979
1768	1117847430
1769	1695
1770	941
1771	1637463371
1772	1613
1773	1231
1774	1174927467
1775	1995
1776	2810651090
1777	2086
1778	1107
1779	36062
1780	1049
1781	9321
1782	1011
1783	937
1784	1255425972
1785	1925
1786	1732
1787	1891146567
1788	1930
1789	494741184
1790	1437
1791	1487388744
1792	1807
1793	1290
1794	490540221
1795	1429
1796	41779
1797	1385
1798	561574384
1799	1490
1800	871
1801	571087413
1802	2187
1803	1329193592
1804	1965
1805	927138155
1806	1363
1807	998
1808	905
1809	10462
1810	965
1811	451781329
1812	2191722825
1813	1645
1814	1930
1815	1465
1816	47738
1817	1213
1818	663947891
1819	2172
1820	1620457579
1821	1695
1822	1399
1823	1068748082
1824	2335
1825	11655
1826	1073
1827	1155
1828	2387607416
1829	1621
1830	1271
1831	19773
1832	1184
1833	455209181
1834	1838
1835	2163195254
1836	2008
1837	1090
1838	1032561114
1839	2117
1840	31762
1841	1031
1842	1140026687
1843	2461
1844	1070
1845	433151039
1846	1298
1847	574485848
1848	2428
1849	2864398704
1850	1898
1851	1019
1852	2234500522
1853	2149
1854	2020
1855	1743955846
1856	1365
1857	590744175
1858	1881
