insertions			 btree-reads wobtree-reads
1000000 69247   12183
2000000 622537  57615
3000000 1383088 142145
4000000 2237193 235292
5000000 3150804 346000
6000000 4108766 462116
7000000 5099928 584092
8000000 6119161 693465
9000000 7169023 812585
10000000        8259080 932802
11000000        9383609 1059482
12000000        10530120        1186502
13000000        11696575        1312952
14000000        12881677        1442652
15000000        14086811        1576516
16000000        15315308        1718227
17000000        16583277        1873595
18000000        17905599        2033151
19000000        19294325        2196196
20000000        20748558        2362343
21000000        22248776        2527874
22000000        23777328        2701212
23000000        25326937        2877952
24000000        26893891        3056689
25000000        28477168        3238355
26000000        30077752        3422669
27000000        31694307        3607291
28000000        33327611        3788907
29000000        34977825        3971030
30000000        36646964        4155141

