insertions			 btree-writes wobtree-writes
1000000 105447  27398
2000000 711915  93667
3000000 1492225 199969
4000000 2343015 311524
5000000 3233474 438586
6000000 4150594 573832
7000000 5083466 713147
8000000 6027473 839142
9000000 6986107 972945
10000000        7968341 1107840
11000000        8968787 1251779
12000000        9975603 1396915
13000000        10986452        1540748
14000000        12000259        1687190
15000000        13018017        1837814
16000000        14043385        1994611
17000000        15092441        2164082
18000000        16180439        2337917
19000000        17319626        2514085
20000000        18508151        2693488
21000000        19726854        2873154
22000000        20958960        3060923
23000000        22196200        3252974
24000000        23435382        3447038
25000000        24675406        3642842
26000000        25916984        3841255
27000000        27159024        4039220
28000000        28402039        4233640
29000000        29646727        4428689
30000000        30895074        4624485
