Threads  Mean  Alignment  YShift  Opacity
1        14    168        0       0
2        22    180        0       0
4        54    150        0       100
6        77    150        0       0
8        97    270        0       100
10       64    150        0       0
12       127   270        0       100
14       135   150        0       0
16       142   270        0       100
20       260   270        0       100
22       265   150        0       0
24       295   270        0       100
28       272   300        0       100
30       267   150        0       0
32       305   320        0       100

