Threads  Mean  Alignment  YShift  Opacity
1        32    168        0       0
2        47    180        0       0
4        118   180        0       100
6        178   150        0       0
8        232   90         0       100
10       171   130        0       0
12       325   130        0       100
14       364   130        0       0
16       449   130        0       100
18       475   130        0       0
20       496   130        0       100
22       537   130        0       0
24       557   130        0       100
26       585   130        0       0
28       597   130        0       100
30       605   130        0       0
32       614   320        0       100
