Threads   Mean  Alignment  YShift Opacity
1         42    270        0      100
2         86    315        0      0
4        173    315        0      100
6        243    315        0      0
8        309    315        0      100
10       369    315        0      0
12       449    315        0      100
14       495    315        0      0
16       554    315        0      100
18       608    315        0      0
20       670    315        0      100
22       726    315        0      0
24       777    315        0      100
26       809    315        0      0
28       830    315        0      100
30       839    315        0      0
32       842    315        0      100
