zfs, write, seq, 10737.418240, 137.849071, 77.892569
zfs, write, random, 134.217728, 0.000128, 3660.182979, 0.036670
zfs, write, random, 134.217728, 0.000256, 1980.895461, 0.067756
zfs, write, random, 134.217728, 0.001024, 606.888343, 0.221157
zfs, write, random, 134.217728, 0.004096, 260.510729, 0.515210
zfs, write, random, 134.217728, 0.016384, 108.795021, 1.233675
zfs, write, random, 134.217728, 0.065536, 42.540482, 3.155059
zfs, write, random, 134.217728, 0.262144, 25.148332, 5.337043
zfs, write, random, 134.217728, 1.048576, 11.438464, 11.733894
zfs, write, random, 134.217728, 4.194304, 7.341255, 18.282669
zfs, write, random, 134.217728, 16.777216, 3.429218, 39.139461
zfs, write, random, 134.217728, 67.108864, 3.357270, 39.978230

ext4, write, seq, 10737.418240, 103.610572, 103.632457
ext4, write, random, 134.217728, 0.000128, 6204.653106, 0.021632
ext4, write, random, 134.217728, 0.000256, 4187.955004, 0.032049
ext4, write, random, 134.217728, 0.001024, 1479.651243, 0.090709
ext4, write, random, 134.217728, 0.004096, 590.609310, 0.227253
ext4, write, random, 134.217728, 0.016384, 159.736943, 0.840242
ext4, write, random, 134.217728, 0.065536, 44.500845, 3.016071
ext4, write, random, 134.217728, 0.262144, 11.130038, 12.059053
ext4, write, random, 134.217728, 1.048576, 4.813557, 27.883273
ext4, write, random, 134.217728, 4.194304, 2.974018, 45.130105
ext4, write, random, 134.217728, 16.777216, 1.674113, 80.172435
ext4, write, random, 134.217728, 67.108864, 1.651494, 81.270483

xfs, write, seq, 10737.418240, 102.693594, 104.557819
xfs, write, random, 134.217728, 0.000128, 6591.466304, 0.020362
xfs, write, random, 134.217728, 0.000256, 4351.051744, 0.030847
xfs, write, random, 134.217728, 0.001024, 1536.208380, 0.087369
xfs, write, random, 134.217728, 0.004096, 598.697408, 0.224183
xfs, write, random, 134.217728, 0.016384, 159.249878, 0.842812
xfs, write, random, 134.217728, 0.065536, 39.431575, 3.403814
xfs, write, random, 134.217728, 0.262144, 9.410077, 14.263192
xfs, write, random, 134.217728, 1.048576, 4.306087, 31.169302
xfs, write, random, 134.217728, 4.194304, 2.435526, 55.108304
xfs, write, random, 134.217728, 16.777216, 2.130373, 63.001984
xfs, write, random, 134.217728, 67.108864, 1.592549, 84.278534

btrfs, write, seq, 10737.418240, 102.996334, 104.250489
btrfs, write, random, 134.217728, 0.000128, 5067.146913, 0.026488
btrfs, write, random, 134.217728, 0.000256, 4481.400389, 0.029950

BetrFS_seqio_rename_1m, write, random, 134.217728, 0.000128, 18.287177, 7.339445
BetrFS_seqio_rename_1m, write, random, 134.217728, 0.000256, 40.636292, 3.302903
BetrFS_seqio_rename_1m, write, random, 134.217728, 0.001024, 30.157877, 4.450503
BetrFS_seqio_rename_1m, write, random, 134.217728, 0.004096, 21.796443, 6.157781
BetrFS_seqio_rename_1m, write, random, 134.217728, 0.016384, 21.022932, 6.384349
BetrFS_seqio_rename_1m, write, random, 134.217728, 0.065536, 9.691730, 13.848686
BetrFS_seqio_rename_1m, write, random, 134.217728, 0.262144, 10.514679, 12.764796
BetrFS_seqio_rename_1m, write, random, 134.217728, 1.048576, 9.500035, 14.128130
BetrFS_seqio_rename_1m, write, random, 134.217728, 4.194304, 6.330052, 21.203258
BetrFS_seqio_rename_1m, write, random, 134.217728, 16.777216, 2.726414, 49.228660
