fs_size aged_time clean_time aged_layout_score clean_layout_score blocks_written logical_bytes_written
321788 11.173391103744507 0 0.942967373983 0 111144 172211639
327592 14.064878940582275 0 0.929730474943 0 141016 430655347
336804 20.121901988983154 0 0.915578822706 0 126936 318597644
342720 23.1456298828125 0 0.906127201281 0 124688 352443020
348848 28.096246004104614 0 0.896098980697 0 120144 373282463
354584 31.468291997909546 0 0.887914631011 0 129728 323380106
361140 37.36862111091614 0 0.879435862314 0 187392 355965970
370144 42.74625205993652 0 0.861977389211 0 179128 391241112
378216 47.56753706932068 0 0.852800391749 0 186296 384407793
386176 54.85442614555359 0 0.844505019453 0 207536 331450737
391616 65.67602205276489 0 0.83492435265 0 184400 378160638
399748 68.12424492835999 0 0.82764501133 0 207440 511865550
412384 74.03995203971863 0 0.820226253613 0 201168 481191801
416524 75.21356201171875 0 0.815522704464 0 224488 450897304
421420 81.76538300514221 0 0.808574643744 0 254016 487980471
430276 87.19537591934204 0 0.802905383182 0 207880 498289623
435548 88.69485092163086 0 0.798006204847 0 230696 346591105
441248 92.95473790168762 0 0.794017907765 0 225096 462650886
449416 96.1855480670929 0 0.787929136858 0 232440 507281465
454924 99.59240698814392 0 0.783243706974 0 236168 474433826
460240 102.77258586883545 0 0.780275172499 0 252496 432646192
466360 109.31172204017639 0 0.77590462632 0 239864 356619505
471536 106.14815497398376 0 0.773169098399 0 240440 405784098
477056 114.12838387489319 0 0.767337403876 0 310440 443277676
488280 120.97818398475647 0 0.764070539256 0 290168 458357013
496512 124.54695701599121 0 0.758752867611 0 297560 488106214
502812 132.71177005767822 0 0.75242390508 0 310424 485059457
516260 138.61611700057983 0 0.747533540117 0 296336 507209015
524816 144.3291540145874 0 0.740362268049 0 284304 497973554
530548 150.8438777923584 0 0.734866430992 0 292384 495929593
541232 158.61602807044983 0 0.730656632781 0 337032 464483019
549264 161.67025709152222 0 0.725117433307 0 329256 506013435
557212 173.41890907287598 0 0.719763857231 0 320768 488970478
568684 177.17820715904236 0 0.715076986492 0 332832 495593637
578708 181.36783289909363 0 0.711270406825 0 363016 512526104
587856 188.0590329170227 0 0.707346437141 0 352688 516328717
595708 191.83808493614197 0 0.703888392709 0 378384 477032047
606644 197.3183400630951 0 0.701070013639 0 338080 515791664
615992 202.42325711250305 0 0.69804835841 0 337536 487434823
624812 210.32173418998718 0 0.696752161132 0 313792 500483918
629116 210.88191080093384 0 0.693609111017 0 388024 474136908
638740 223.91582489013672 0 0.690895001937 0 364680 479355741
646420 223.94818305969238 0 0.687588687842 0 348952 464486222
652176 228.14694118499756 0 0.683899174999 0 359552 476106788
658956 231.85214114189148 0 0.681948467294 0 353408 484587170
665140 235.73140907287598 0 0.67885850889 0 351720 515618709
671676 252.90048003196716 0 0.675162448447 0 397160 487941017
681964 250.96556210517883 0 0.672799929738 0 443168 498770105
689896 256.35798501968384 0 0.669453129523 0 421560 464316482
698652 260.1728570461273 0 0.6664514787 0 416432 493933299
707876 265.8962860107422 0 0.665284226022 0 375608 435001340
714148 266.34404397010803 0 0.6637268268 0 372064 463214959
720860 272.3946418762207 0 0.661762245951 0 395824 519923469
729960 277.02233505249023 0 0.660407544047 0 411128 492742573
737756 282.5349671840668 0 0.657215615058 0 391000 515459505
742748 286.6940429210663 0 0.655397016019 0 377304 477149071
747972 292.2583930492401 0 0.654731268274 0 418504 460282078
756712 295.3202850818634 0 0.653353770284 0 406432 491503735
764416 300.2035791873932 0 0.651622151903 0 415984 470664024
771952 301.44730615615845 0 0.65082056284 0 402408 452052123
778740 309.99621987342834 0 0.649374091004 0 394224 469496163
787560 312.12710213661194 0 0.649561124702 0 416680 439448698
794136 316.45115900039673 0 0.647557493244 0 451176 472183207
801036 320.5016939640045 0 0.647173243066 0 461960 473322466
810332 326.95610094070435 0 0.64480761662 0 449528 510221329
817356 333.17035603523254 0 0.643443054274 0 486832 472649269
827784 336.59752202033997 0 0.641223572081 0 590232 449055581
844380 350.04539799690247 0 0.638867695561 0 534920 533773020
854828 355.6103501319885 0 0.637060414788 0 443080 496883432
862528 349.08008217811584 0 0.637716726348 0 420952 485393143
868124 347.91318798065186 0 0.63694551252 0 434744 478835951
877700 363.50274109840393 0 0.633893446903 0 480472 445452220
884832 378.4208571910858 0 0.63156895242 0 490216 389783288
892232 384.640958070755 0 0.629066662092 0 550456 398405991
901952 394.2604479789734 0 0.62581091111 0 552664 354886585
911892 398.6454269886017 0 0.623947782022 0 477632 492781559
920020 401.5645110607147 0 0.622455500786 0 496464 373129837
928492 412.86556005477905 0 0.62121070385 0 546192 380247664
940396 416.44571709632874 0 0.618146953717 0 526296 375835208
949528 427.45394706726074 0 0.6159170485 0 500312 363205732
959312 430.12073588371277 0 0.616069280731 0 505872 460873049
967288 437.8095061779022 0 0.614260694194 0 526552 469447840
975464 442.92964911460876 0 0.612128965684 0 520352 531444290
983000 446.46749997138977 0 0.61069121819 0 549600 530066270
994524 461.74625611305237 0 0.609597091979 0 516136 400767939
1001044 458.1926259994507 0 0.608480841503 0 523648 358382302
1008384 468.92291808128357 0 0.607431877014 0 580832 389461948
1019428 474.5621078014374 0 0.6059917857 0 523000 345617971
1024428 477.89179015159607 0 0.604297707117 0 516440 369310162
1031320 477.8175628185272 0 0.603923395601 0 544832 319506651
1038200 486.72462010383606 0 0.602747965621 0 541776 420263882
1045656 488.9418349266052 0 0.601974041893 0 579360 436588967
