pulls_performed fs_size aged_time blocks_written
0 286532 3.23585891724 0
100 290600 5.11737203598 23321
200 295648 7.60281801224 15130
300 304272 10.726336956 19592
400 310796 12.8807110786 18473
500 316708 14.8030230999 19159
600 322436 16.1949760914 20143
700 328476 18.571600914 22365
800 337184 20.925080061 40153
900 343656 23.3217868805 36572
1000 351076 25.0715551376 38099
1100 357480 26.725317955 37543
1200 363488 28.5047929287 38559
1300 373792 31.5802598 38418
1400 378736 33.5368759632 38523
1500 384724 35.0710167885 35799
1600 392216 36.8903110027 36693
1700 397628 37.9979491234 32789
1800 404120 40.0188269615 36373
1900 410148 41.5284249783 37420
2000 416568 43.0770411491 37568
2100 423296 44.5359899998 48801
2200 428408 45.661481142 50264
2300 433448 47.0267109871 52062
2400 439376 48.1572449207 53678
2500 449492 50.6692028046 59117
2600 457144 52.7645280361 57109
2700 465848 54.7992010117 62396
2800 475032 57.6455860138 60700
2900 482496 59.4004609585 63031
3000 489680 61.2033798695 50637
3100 497548 63.6285119057 66517
3200 505420 65.8230440617 68464
3300 513580 67.5379059315 71610
3400 523284 70.1153430939 68085
3500 531600 72.0492458344 67662
3600 539332 74.2713251114 74510
3700 546676 76.7563049793 73163
3800 557116 78.3807480335 79908
3900 565476 81.032173872 70908
4000 572932 83.075851202 86998
4100 579096 84.5783748627 86224
4200 587508 86.7497699261 116239
4300 594036 88.2926530838 101383
4400 599788 89.7889499664 77235
4500 606176 90.9816029072 79973
4600 612464 92.336853981 91964
4700 618640 93.9662249088 76018
4800 626880 96.3278770447 91449
4900 635104 97.7802820206 109414
5000 641720 99.7063260078 79976
5100 650712 102.524111986 97166
5200 656428 103.470180988 95257
5300 662676 104.748238087 95541
5400 671184 106.768367052 109816
5500 678612 108.425314903 134083
5600 684048 109.94776988 116856
5700 689836 111.164971828 116317
5800 698352 113.21559906 115725
5900 704744 114.81646204 161393
6000 712144 116.239875793 145878
6100 718548 117.634317875 118148
6200 727284 120.223842144 151529
6300 733760 121.772660017 148945
6400 741032 122.664203882 145131
6500 748776 124.844829082 149937
6600 756712 126.968926191 175788
6700 765020 129.182088852 200472
6800 779544 132.114022017 250951
6900 789792 134.879337072 202263
7000 797244 136.421340942 184478
7100 803928 138.041857958 135801
7200 810624 139.728116989 142033
7300 817056 141.2235291 153479
7400 823368 143.155678988 157969
7500 832148 145.479285955 276698
7600 842516 148.946661949 278582
7700 848984 149.568763971 219562
7800 857716 152.118720055 233265
7900 866712 154.524559975 271044
8000 874532 156.431966066 204821
8100 883852 158.111346006 193711
8200 891256 159.561101913 228571
8300 899244 161.579124928 241345
8400 905648 162.732869864 218343
8500 915276 165.576828957 237175
8600 922532 167.281609058 177892
8700 929492 169.121733904 173427
8800 938400 171.562164068 246703
8900 943908 172.541289091 218762
9000 950112 173.848790169 183432
9100 957092 175.766943932 221088
9200 963528 177.297616005 205232
9300 970572 178.909672976 260307
9400 977580 180.173089027 198822
9500 984016 181.689422131 284627
9600 990716 183.347605944 227052
9700 999204 185.845229864 277277
9800 1006264 186.795008183 278333
9900 1013352 188.873368025 290388
10000 1020624 190.833127975 222065
