pulls_performed filesystem_size aged_time aged_layout_score clean_time clean_layout_score
0 0 3.02197813988 0.991414955498  3.28532385826 0.987919322081
100 35195 3.43666505814 0.990807790232  3.31105089188 0.988384955752
200 35457 3.44165182114 0.99074341915  3.37071990967 0.989470131623
300 35614 3.66443896294 0.991578947368  3.38241100311 0.989476386037
400 37412 3.63384103775 0.99175930043  3.44630098343 0.989691040802
500 38093 3.74349403381 0.99195352215  3.5396630764 0.989991456121
600 38943 3.78361988068 0.992294617564  3.53921985626 0.990514703696
700 39612 3.80502891541 0.9919403809  3.45269298553 0.990127185086
800 40030 3.86305689812 0.992346938776  3.60221600533 0.990475385352
900 41344 4.09385299683 0.992104781574  3.75756382942 0.991189915501
1000 42129 3.85793089867 0.992028948833  3.79384589195 0.991261357563
1100 42956 4.11604595184 0.992654774397  3.74428510666 0.991030334728
1200 43880 4.11439299583 0.99228211538  3.81461405754 0.991190104233
1300 44563 4.3077878952 0.992624819692  3.99630618095 0.99146121764
1400 46157 4.24565792084 0.993034252105  4.16687917709 0.991519021276
1500 46540 4.35050916672 0.992966562721  4.19121313095 0.991517526463
1600 47309 4.52188801765 0.992481868035  4.16218113899 0.990825900079
1700 48649 4.52223801613 0.992385953397  4.57391500473 0.990314880073
1800 49034 4.62927007675 0.992061307873  4.65168094635 0.990065558365
1900 49988 4.74766111374 0.991852896057  5.09196519852 0.989575085775
2000 50516 5.33084917068 0.991218663375  5.09492897987 0.989413540319
2100 51536 5.54884696007 0.990500316656  5.27615690231 0.989257998351
2200 52309 5.62887907028 0.990204321048  5.71572208405 0.988548901821
2300 53091 5.98448300362 0.989676466131  6.05251598358 0.987948109347
2400 53500 6.56008315086 0.98939802675  5.91884088516 0.987973967176
2500 53695 6.55987596512 0.989358637329  6.3957529068 0.98825083021
2600 55487 6.95428109169 0.988864340947  6.58427810669 0.988611909886
2700 55831 6.98873090744 0.988937858861  6.64247918129 0.988775907096
2800 57302 7.55846977234 0.988799367817  6.66537714005 0.988984951527
2900 58773 7.49272704124 0.98919794761  6.80670380592 0.989670674707
3000 59560 7.51602911949 0.9891470524  6.82896614075 0.989227817577
3100 60655 7.67809104919 0.988943284377  6.8184158802 0.98899753393
3200 61398 7.5844180584 0.989231792161  6.95214509964 0.989515558103
3300 62267 7.76691889763 0.989145290995  7.17146205902 0.989562384696
3400 63519 7.96711111069 0.989154690011  7.0864200592 0.989459772553
3500 64632 8.08077692986 0.989358616162  7.18820095062 0.989458216202
3600 65616 8.29240298271 0.989674583823  7.3111641407 0.989642997254
3700 66592 8.08079099655 0.989893743322  7.4979391098 0.990170900975
3800 66624 8.18535399437 0.989776763797  7.46332597733 0.989290895766
3900 68744 8.36969709396 0.989756758282  7.55125904083 0.990220264317
4000 70032 8.58591198921 0.989899974924  7.91391897202 0.990182631921
4100 71079 8.80234384537 0.990025384913  7.82042384148 0.990503798481
4200 71349 8.66706800461 0.990037343112  7.84193897247 0.990780430902
4300 72791 8.77202486992 0.990049018295  7.86086702347 0.990125536881
4400 73548 8.94839000702 0.990086625594  7.80165815353 0.99014304934
4500 74327 8.6887550354 0.990359644291  8.01708507538 0.990604426059
4600 75065 8.96946692467 0.990438724469  8.0043990612 0.990654330561
4700 75926 8.95526814461 0.990414511114  8.19258189201 0.990355020166
4800 76209 8.9510178566 0.990366624526  8.15693998337 0.9910767866
4900 77073 9.03917193413 0.990721277628  8.0689740181 0.990904510278
5000 78501 9.0869140625 0.990504260751  8.34485387802 0.990940064058
5100 79237 9.11295700073 0.991235165578  8.27334189415 0.991622762116
5200 80659 9.17378687859 0.990610832737  8.59789204597 0.991784923355
5300 81496 9.16628193855 0.990960639636  8.36957192421 0.991028972008
5400 82087 9.55213093758 0.99087742191  8.73310208321 0.991460248914
5500 82975 9.60522985458 0.990992245902  8.57194495201 0.992007968032
5600 84103 9.54958295822 0.991009140515  8.64855289459 0.992003807711
5700 84907 9.65253090858 0.99097431679  8.80111002922 0.991910318759
5800 85506 9.6231470108 0.991009952867  8.96378588676 0.991812594225
5900 86550 9.81585097313 0.991338039146  9.13631892204 0.992061215827
6000 86920 9.57962083817 0.991258894843  9.09496879578 0.991921197829
6100 88270 10.0876801014 0.990963364108  9.29035210609 0.99190102244
6200 89166 10.0086290836 0.991294087633  9.42633795738 0.991712798389
6300 90128 9.94597816467 0.991549564241  9.40382003784 0.99171282767
6400 90918 10.1614768505 0.991525159033  9.69994688034 0.992136177861
6500 91900 10.0667951107 0.991530569191  9.59257483482 0.991971350398
6600 92808 10.4336059093 0.991311858551  9.95710396767 0.992141000922
6700 93881 10.3993661404 0.991510133713  9.8064699173 0.992231404959
6800 94646 10.7803850174 0.991610771066  10.1206290722 0.992499470729
6900 96478 10.9504268169 0.99131053994  10.2442660332 0.992241216799
7000 97844 11.5878469944 0.991545524101  9.79317307472 0.992759153799
7100 98857 11.1254961491 0.99150524426  10.4362490177 0.992573011078
7200 99694 10.7609291077 0.991610269031  10.5071229935 0.992429969953
7300 100577 11.0276470184 0.991973590524  10.1725480556 0.9927680798
7400 101594 11.2256929874 0.991670650535  10.326267004 0.992811418275
7500 101781 11.3814179897 0.991606145761  10.6962740421 0.992647884162
