pulls_performed filesystem_size aged_time aged_layout_score clean_time clean_layout_score
0 0 2.88569307327 0.991596638655  3.44205594063 0.98823323411
100 35195 3.40936589241 0.991374716931  3.29257392883 0.988576147547
200 35457 3.43748307228 0.991349039137  3.41373896599 0.989383860781
300 35614 3.54715490341 0.991614772797  3.45671701431 0.990105092967
400 37412 3.78037500381 0.991844509926  3.47108983994 0.990116042664
500 38093 3.68535208702 0.992147886304  3.54336500168 0.990668125722
600 38943 3.68490219116 0.991881688382  3.61952900887 0.990642545228
700 35242 3.67483615875 0.991468302162  3.58987998962 0.989432095593
800 36432 3.7536509037 0.991736021568  3.58833122253 0.989679825925
900 37746 4.12386202812 0.991440798859  3.64864897728 0.989855555219
1000 38531 4.02536582947 0.991743605478  3.65104699135 0.990745336175
1100 39358 3.89726495743 0.992145178765  3.85815000534 0.990167661267
1200 40283 3.99649405479 0.992128272182  3.87909317017 0.990776134286
1300 36042 3.90010690689 0.991396011396  3.68855905533 0.989639503181
1400 38052 3.86112093925 0.99173180574  3.69475483894 0.990227428947
1500 38434 3.82781791687 0.991759373712  3.75394415855 0.990079654539
1600 39204 4.0900759697 0.992076069731  3.86284708977 0.990634902671
1700 40543 3.97695016861 0.992273643959  3.803992033 0.990861510343
1800 40928 4.11743116379 0.992240567838  3.92785596848 0.990910324244
1900 41883 3.96145009995 0.992413358538  3.86382484436 0.991204366026
2000 42410 4.079859972 0.992376924212  3.93753600121 0.991169805423
2100 43430 4.12647795677 0.992585257463  4.06299901009 0.991102750521
2200 44203 4.06369996071 0.992414514672  4.205919981 0.990867465659
2300 37999 3.77966308594 0.99193828248  3.78952288628 0.990408545622
2400 39508 4.05006814003 0.992054187834  3.92410802841 0.990484547673
2500 39703 4.24732613564 0.9919942675  4.0489590168 0.991097378964
2600 41495 4.17499089241 0.992242272388  4.0024600029 0.991353220925
2700 41839 4.34225201607 0.992613860011  4.11295604706 0.991333891378
2800 43310 4.32847809792 0.99273492667  4.22590589523 0.991819457326
2900 44781 4.57117295265 0.992631486057  4.19489693642 0.991484411354
3000 45568 4.51788210869 0.993155893536  3.97249102592 0.990749354005
3100 39297 4.05909895897 0.992494170229  4.17983198166 0.991108312343
3200 41334 4.15980291367 0.992715013203  4.10798597336 0.991205875851
3300 42203 4.43878412247 0.992712849368  4.2203400135 0.991705288176
3400 43455 4.5162050724 0.992821153074  4.25790691376 0.991438554273
3500 44568 4.60961389542 0.992809936925  4.4601931572 0.991300829456
3600 45552 4.6085691452 0.993244384395  4.39300704002 0.991933888657
3700 40559 4.35142803192 0.992499076809  4.19381594658 0.991605893006
3800 41528 4.60212993622 0.992875463095  4.23048520088 0.991304347826
3900 43648 4.52607679367 0.993132582322  4.35553002357 0.991727878856
4000 44937 4.43539404869 0.993073794798  4.3857858181 0.991918210524
4100 45984 4.55336499214 0.993164488583  4.4708108902 0.992004680187
4200 41580 4.5624499321 0.993305439331  4.32935380936 0.991576524741
4300 43790 4.78416013718 0.992850415275  4.44213199615 0.991659340412
4400 44548 4.65723586082 0.992939137053  4.36164903641 0.992180924113
4500 45327 4.58851194382 0.992999270757  4.4676258564 0.992263560501
4600 46065 4.6860229969 0.993135432202  4.48674106598 0.992304412705
4700 46926 4.73294091225 0.993435581579  4.5894780159 0.992181078632
4800 42519 4.93913006783 0.993094036887  4.62417411804 0.992327628764
4900 43780 5.00789284706 0.992957310147  4.56709289551 0.992060376042
5000 45207 4.96492099762 0.993197278912  4.5422770977 0.991841790535
5100 45944 4.89392113686 0.993226262468  4.56116604805 0.991961949072
5200 47366 5.20053076744 0.993281814298  4.6486530304 0.991926276301
5300 48203 5.12631607056 0.993277310924  4.72355413437 0.99221461966
5400 48794 5.08462190628 0.993430191088  4.9158039093 0.991978662452
5500 49681 5.1849501133 0.993509135291  4.85509300232 0.992268241511
5600 44648 5.27585101128 0.993266962076  4.94948005676 0.992195569838
5700 46404 4.98075890541 0.993071142773  5.02838492393 0.99254098671
5800 47003 4.9624068737 0.993355986256  4.87106204033 0.992037451985
5900 48048 5.12854814529 0.993445779563  4.78202390671 0.991783830421
6000 48417 5.01257681847 0.993534951105  4.914686203 0.992649739958
6100 49767 5.12691092491 0.993346281111  5.03539299965 0.992499527678
6200 50663 5.23035883904 0.993755138454  4.85576415062 0.992898431049
6300 51625 5.42777299881 0.993628932546  5.19698691368 0.992269484331
6400 52415 5.46243691444 0.993659922977  5.19661283493 0.992383718871
6500 46851 5.34298706055 0.99282516049  5.24463701248 0.992449620745
6600 48729 5.25152993202 0.993130433243  5.12830591202 0.992346226187
6700 49802 5.56147289276 0.993098915544  5.08211493492 0.992324101592
6800 50567 5.4357688427 0.993628353825  5.40043210983 0.992847672877
6900 52398 5.57072210312 0.993693955229  5.28931498528 0.992787319259
7000 53765 5.69174194336 0.9938615184  5.56581807137 0.992658346126
7100 30120 4.36515879631 0.991276823767  5.42710709572 0.992750883537
7200 39406 4.10565805435 0.991669154161  5.51320409775 0.992728744939
7300 40289 4.43760585785 0.991556155536  3.90209388733 0.990277777778
7400 41306 4.44831800461 0.991872240976  3.93478107452 0.989903251209
7500 41492 4.34793710709 0.992329149233  3.92457580566 0.990120626603
7600 43051 4.46167492867 0.99224972576  4.02970314026 0.990895097962
7700 44428 4.48634314537 0.992129834447  4.19300699234 0.990507298152
7800 38853 4.54070210457 0.991713055087  3.95674490929 0.99016691456
7900 41073 4.51133203506 0.991817016662  4.04770994186 0.990057310409
8000 42366 4.710324049 0.992496344065  4.09971308708 0.990371424874
8100 40147 4.55263590813 0.992577217246  4.23546600342 0.990499517554
8200 41500 4.37852478027 0.991940112886  4.3099770546 0.99048195689
8300 42280 4.70654892921 0.992190231962  4.16823887825 0.989897704718
8400 43567 4.68253087997 0.992269771102  4.2985470295 0.990184264698
8500 43893 4.82160401344 0.992358566449  4.30452203751 0.990429578659
8600 45542 4.73254704475 0.99250010838  4.38682818413 0.991440329218
8700 46023 4.77275204659 0.99278422717  4.51245903969 0.991309945285
8800 40653 5.02600002289 0.992586185592  4.47627806664 0.991052702039
8900 43447 4.58581495285 0.992340637676  4.22103095055 0.990393034342
9000 43883 4.66691398621 0.992571567954  4.37009191513 0.990627304517
