pulls_performed filesystem_size aged_time aged_layout_score clean_time clean_layout_score
0 0 1.81268310547 0.991792207792  1.85390996933 1.0
100 35195 1.94807291031 0.991204690832  1.86395406723 1.0
200 35457 2.01333212852 0.99137792878  1.91787195206 1.0
300 35614 2.00333595276 0.991393205803  1.95938587189 1.0
400 37412 2.07489299774 0.99159589264  1.99669694901 0.980793060719
500 38093 2.13963294029 0.991757765053  2.09939789772 1.0
600 38943 2.13806986809 0.992186386061  2.06808495522 1.0
700 39612 2.18705606461 0.991973337037  2.15870094299 1.0
800 40030 2.28739309311 0.992281985996  2.16527104378 1.0
900 41344 2.32681298256 0.992620309739  2.21447610855 1.0
1000 42129 2.34389686584 0.992554077589  2.27202105522 1.0
1100 42956 2.53965091705 0.992846103993  2.26861906052 0.990669785701
1200 43880 2.41457104683 0.99265029057  2.31555485725 0.99127115477
1300 44563 2.5003490448 0.992687513058  2.46391987801 0.991737045146
1400 46157 2.57914090157 0.992575870415  2.4868311882 0.992105597157
1500 46540 2.61730909348 0.992945085455  2.51663398743 0.992124806858
1600 47309 2.67031908035 0.992951522383  2.58600306511 0.991100634982
1700 48649 2.70124220848 0.992489200512  2.56201720238 0.991528871234
1800 49034 2.73343086243 0.992448644382  2.62649703026 0.990443513103
1900 49988 2.81731295586 0.991927409262  2.75347495079 0.989214282415
2000 50516 2.86781978607 0.991724872493  2.85577893257 0.988949295462
2100 51536 2.89342403412 0.990943887617  2.81251692772 0.988611275056
2200 52309 2.92814493179 0.990473576917  2.88659787178 0.988632989778
2300 53091 3.01157999039 0.990086038326  2.82197284698 0.988238012224
2400 53500 3.13413000107 0.989884172826  2.97500300407 0.988513697625
2500 53695 3.1633310318 0.989386063756  3.16928696632 0.989210850801
2600 55487 3.27760601044 0.989387740518  3.13272094727 0.988969410634
2700 55831 3.3730430603 0.989579521494  3.18620586395 0.989608745042
2800 57302 3.40017414093 0.989213405703  3.33592796326 0.989405312319
2900 58773 3.49416804314 0.989343018398  3.31574392319 0.98935819474
3000 59560 3.52082800865 0.989308069701  3.36114907265 0.98973155084
3100 60655 3.5781891346 0.989443362139  3.42549800873 0.989913646659
3200 61398 3.69389915466 0.989483528022  3.48866415024 0.989719153096
3300 62267 3.67427587509 0.989778643754  3.54518413544 0.990105742749
3400 63519 3.77506685257 0.989777519951  3.63092112541 0.9902034288
3500 64632 3.7557091713 0.990001071861  3.68470001221 0.990537577686
3600 65616 3.7963719368 0.99006758296  3.80205893517 0.990383858732
3700 66592 3.84923911095 0.989973857762  3.7413790226 0.990488396152
3800 66624 3.95389389992 0.99025974026  3.70972299576 0.990130802285
3900 68744 3.95457410812 0.990397431671  3.80926513672 0.990564453334
4000 70032 3.98547792435 0.990260015245  3.86488699913 0.990650676655
4100 71079 4.05234003067 0.990422204848  3.91994595528 0.9905873889
4200 71349 4.14947605133 0.990668444106  3.85326695442 0.990556566024
4300 72791 4.17962598801 0.99071082391  4.07512784004 0.991341366621
4400 73548 4.20828700066 0.990765434064  4.0445420742 0.991409522181
4500 74327 4.23763012886 0.990597964209  4.15731310844 0.991288114499
4600 75065 4.28070998192 0.99060653107  4.12159490585 0.991426225173
4700 75926 4.39304685593 0.990894372126  4.16163706779 0.990856341437
4800 76209 4.49084186554 0.99078147114  4.27398514748 0.991450656906
4900 77073 4.50796198845 0.99091422476  4.21636104584 0.991793089621
5000 78501 4.52205705643 0.991154170177  4.274091959 0.990943762205
5100 79237 4.60050487518 0.991502416576  4.35948896408 0.99155176736
5200 80659 4.66900491714 0.991290989803  4.5219540596 0.991796308339
5300 81496 4.6776239872 0.991372192373  4.44007301331 0.99152202851
5400 82087 4.76699495316 0.991462276962  4.51973986626 0.99152649551
5500 82975 4.8133919239 0.991475815103  4.5918161869 0.992058100614
5600 84103 4.84089803696 0.991546983048  4.52182507515 0.991940643764
5700 84907 4.91720294952 0.991488485431  4.70199108124 0.991843950015
5800 85506 4.98587298393 0.991769362238  4.67130303383 0.991931100294
5900 86550 5.18428206444 0.991890989989  4.83987092972 0.991504636554
6000 86919 5.49475216866 0.991788301081  4.7630739212 0.992042594836
6100 88269 5.30146312714 0.991857456569  4.87125611305 0.992243457601
6200 89166 5.53700685501 0.991968775801  4.92410087585 0.992400610606
6300 90128 5.58808207512 0.992107859257  4.99334001541 0.992477790762
6400 90918 5.30837202072 0.991935736595  4.91808199883 0.992629130664
6500 91900 5.24224901199 0.991905616825  4.98245000839 0.992331388871
6600 92808 5.49408388138 0.992073412396  4.95439791679 0.992271649854
6700 93881 5.41461515427 0.992032272308  5.14830088615 0.992508844465
6800 94646 5.46385884285 0.992194292748  5.23687386513 0.992742139959
6900 96477 5.66506099701 0.992007386675  5.15947890282 0.992279641592
7000 97844 5.51565480232 0.992379702038  5.35076403618 0.992179138882
7100 98857 5.58551597595 0.992071891596  5.23679614067 0.992573755876
7200 99694 5.61900615692 0.992186699695  5.42665505409 0.992927617218
7300 100577 5.72171092033 0.992111093601  5.56758308411 0.993021667972
7400 101594 5.74916505814 0.992348848169  5.40401411057 0.992532566037
