pulls_performed filesystem_size aged_time aged_layout_score clean_time clean_layout_score
0 290876 14.2638208866 0.760079959748 14.7557358742 0.759790167134 
100 295896 17.2860341072 0.751459260641 15.4454171658 0.751696968084 
200 301012 21.6891229153 0.745303014444 16.637652874 0.746608939059 
300 309644 28.5773940086 0.73862018106 17.6441509724 0.741010578781 
400 316168 33.8290259838 0.732985466818 17.423181057 0.735146474863 
500 322080 41.1071779728 0.724988696492 17.7890479565 0.727017114914 
600 302416 21.1095061302 0.762002627506 14.8861699104 0.761809713906 
700 308716 27.3534710407 0.751555963677 16.09100914 0.753623188406 
800 317440 37.3277280331 0.7399687531 17.4799809456 0.742913498158 
900 323912 44.3332259655 0.730910108668 17.9038798809 0.73493097414 
1000 331332 50.8123760223 0.724499489396 19.408949852 0.727637689594 
1100 337732 59.0208668709 0.716537449652 19.051762104 0.71921670045 
1200 343740 65.4573729038 0.709941466984 19.7323269844 0.71285328821 
1300 312080 27.0599529743 0.770545404243 15.5249400139 0.769809555123 
1400 317512 32.4701669216 0.760852358456 16.0457949638 0.76239998012 
1500 323524 37.4539589882 0.752527520542 16.6274580956 0.754224588506 
1600 331016 43.8604631424 0.744760638929 17.5005409718 0.746998417401 
1700 336428 48.9015679359 0.737536057552 18.6570000648 0.740220943991 
1800 342920 54.1239390373 0.732311779931 18.8879878521 0.734901447578 
1900 348948 60.2111599445 0.725036016568 19.2569949627 0.728824836203 
2000 355368 67.0838088989 0.717848059272 19.5440530777 0.720746152995 
2100 362096 73.2496230602 0.71250339029 20.5817370415 0.716292653269 
2200 367208 78.3492109776 0.706524417023 20.6584351063 0.710644725847 
2300 324576 31.4354269505 0.774091798999 15.5889761448 0.774605103281 
2400 330664 37.6465959549 0.76652384965 16.4955329895 0.768712351643 
2500 340780 44.4332540035 0.759296604017 17.7038798332 0.762231451809 
2600 348440 51.2567641735 0.750659511623 18.8989892006 0.753427912028 
2700 357144 60.2998449802 0.741917392452 18.9219429493 0.732841924739 
2800 366328 67.7865829468 0.733602865477 19.8678879738 0.737297053518 
2900 373800 75.0969319344 0.725698969939 20.2942171097 0.729629317785 
3000 380984 82.1578171253 0.716691810122 21.7175347805 0.72213965777 
3100 342248 39.1792578697 0.776997113715 16.3926148415 0.779218681496 
3200 350172 46.8380949497 0.766137898539 17.8306419849 0.770683767427 
3300 358336 54.4043757915 0.756680885594 18.7592618465 0.761579347001 
3400 368104 62.2000808716 0.745665357021 19.6191241741 0.750406834825 
3500 376424 70.0650839806 0.737983912302 19.7850358486 0.774188344424 
3600 384156 78.1921510696 0.729745494735 21.1714138985 0.736309481088 
3700 350828 44.5848720074 0.777505510613 17.0386450291 0.782058065315 
3800 361304 52.0478019714 0.770639010284 18.1344509125 0.775531821954 
3900 369664 58.7856330872 0.762644258895 18.818322897 0.769408 
4000 377120 65.2685530186 0.755220707765 19.0522339344 0.761429872019 
4100 383292 70.6527261734 0.748587483721 20.0088040829 0.755215076967 
4200 361764 46.0222868919 0.782419419626 16.5958399773 0.78874193901 
4300 368332 53.8214430809 0.772916021734 17.918599844 0.780735705632 
4400 374080 58.7509679794 0.765382270711 19.0477480888 0.77336793687 
4500 380468 64.7045559883 0.758416925795 19.3078370094 0.764817070609 
4600 386752 71.5320250988 0.749669413081 19.8982689381 0.757220897287 
4700 392936 77.8868129253 0.741949364555 20.2859418392 0.749030949368 
4800 368996 49.3150408268 0.784503606166 18.1487879753 0.79137607799 
4900 377264 57.2920980453 0.774149489642 17.9969329834 0.782984383674 
5000 383876 63.2792448997 0.766945246728 19.7207221985 0.774501336623 
5100 392868 69.9473309517 0.760569162678 19.6791660786 0.595926929464 
5200 398584 75.3251490593 0.754935994793 20.1612830162 0.763943059653 
5300 404832 82.1687030792 0.74865130204 21.1219780445 0.757163875167 
5400 413396 90.1533219814 0.740319123601 21.0093231201 0.754523314675 
5500 384396 52.4446790218 0.789117665118 17.2729189396 0.796678109647 
5600 389860 57.5497980118 0.782193108182 18.3076779842 0.790736799432 
5700 395652 63.9346199036 0.774826537307 18.5832321644 0.78400398903 
5800 404184 69.032460928 0.769034469996 19.3638198376 0.77815756321 
5900 410576 75.3357038498 0.763104896714 19.8655130863 0.771804659481 
6000 417984 81.2360870838 0.757078073293 21.0382390022 0.766647796962 
6100 424388 88.8650150299 0.751411380181 21.2788600922 0.761305248683 
6200 433124 96.5722050667 0.74698499541 21.9774172306 0.756472956112 
6300 439600 100.098738909 0.741860673352 21.5030238628 0.750990409608 
6400 400016 53.1870589256 0.798453729934 17.8104250431 0.805546221809 
6500 407804 61.6273009777 0.791365380536 18.7235069275 0.799963185786 
