pulls_performed filesystem_size aged_time aged_layout_score clean_time clean_layout_score
0 364548 14.0713009834 0.595873280534 16.706923008 0.595572999463 
100 373440 19.3072140217 0.584582601619 16.7775640488 0.584479381829 
200 381660 34.5216231346 0.577101188106 17.1840350628 0.577114792552 
300 394608 58.7381300926 0.568974951362 18.2226321697 0.569088975541 
400 404636 81.9915111065 0.562228875779 19.2442190647 0.56241789718 
500 414760 104.629426956 0.55251894268 19.7215509415 0.55278042764 
600 424108 120.256276846 0.545208578836 19.8265800476 0.545552205051 
700 434560 141.410355091 0.535747472238 20.5085361004 0.53616950836 
800 449212 171.944142103 0.524443099597 21.6081578732 0.524953739947 
900 460276 191.082232952 0.5160856046 23.7006340027 0.51674350359 
1000 472192 213.350411177 0.509850402567 22.8227159977 0.51069717845 
1100 483372 234.800438881 0.502493445917 23.7645261288 0.503447363635 
1200 493628 250.592916012 0.496286998421 24.2407591343 0.49747027062 
1300 508912 271.887222052 0.492133437016 25.7369809151 0.493431849054 
1400 517760 285.918511868 0.485975896917 25.7410030365 0.487238853774 
1500 527896 307.309582949 0.480104493999 26.1228060722 0.481436065127 
1600 539772 327.409136057 0.475051466994 27.3435821533 0.476596217197 
1700 549068 340.226130962 0.46986153779 28.9118030071 0.471374615211 
1800 559136 361.695295095 0.466354986525 28.786386013 0.468335072248 
1900 569432 383.760776997 0.461551960131 29.5379319191 0.463511844617 
2000 580556 400.015996933 0.455487397677 30.7644710541 0.458684909634 
2100 591416 414.11963892 0.452037575184 31.2315199375 0.45560307262 
2200 600420 431.344446898 0.447684790713 31.7166159153 0.451860626065 
2300 609068 449.725826979 0.443120401973 32.2442991734 0.448588934518 
2400 618984 471.088377953 0.440199389177 34.4031398296 0.445375384874 
2500 634112 491.648522854 0.438012101349 35.038205862 0.443342490612 
2600 646740 512.592628002 0.43260139722 36.3016328812 0.439273005832 
2700 660720 533.344935179 0.429561703826 34.9678618908 0.435273202235 
2800 675224 558.819039822 0.426035643049 36.5728008747 0.431658422286 
2900 687680 583.434719086 0.421887349482 36.8445558548 0.427453463782 
3000 700100 606.513327837 0.416994896736 39.530823946 0.422651996759 
3100 712564 624.826259136 0.414300376326 39.3035569191 0.419842449048 
3200 725900 655.361332893 0.410048336838 41.4857749939 0.415445749447 
