round betrfs_time betrfs_layout btrfs_time btrfs_layout ext4_time ext4_layout f2fs_time f2fs_layout xfs_time xfs_layout zfs_time zfs_layout
0 19.4454192035 0.994005641749 33.568444545 0.905358821686 90.8613008062 0.1183111661 165.136919944 0.00329055610398 196.468107208 0.804142502071 87.6239098239 0.0599528460761
1 17.5664493171 0.993453644728 85.2952011684 0.84209700204 118.189114695 0.102829751044 283.479338078 0.00329055610398 185.752293484 0.799171499586 116.271762383 0.0513468013468
2 19.0604224946 0.99361815281 112.559034063 0.802382071776 147.474699687 0.10810392824 361.44890571 0.00329055610398 205.611917887 0.785252692626 150.976869755 0.0467934691129
3 19.8810165377 0.993091231178 146.548502551 0.76062745098 170.731014481 0.102690999072 461.487761231 0.00320855614973 215.552163897 0.772990886495 165.067467501 0.0481238431768
4 18.2122140859 0.993931822238 171.258618562 0.731197990265 196.969824749 0.100680482524 529.395085979 0.00329055610398 207.7781286 0.757334659373 186.571169985 0.0455768583922
5 19.1468240908 0.994511331445 178.882415254 0.70305403289 214.436810927 0.103464274667 623.314464373 0.00320855614973 227.634307635 0.750952775476 190.201590012 0.0400201782411
6 16.5521638967 0.993430397727 207.959529785 0.67162543063 238.888411223 0.101747332612 690.69059569 0.00329055610398 220.965690308 0.735795925128 221.586617574 0.0416946872898
7 17.9567117821 0.994496715782 226.325695244 0.645232120452 241.706300395 0.0981756338899 765.496410646 0.00329055610398 234.277357249 0.724200761968 245.28487535 0.0418557740797
8 16.886570265 0.994500620898 253.598547803 0.619959202887 263.072959519 0.0994278645431 850.696149416 0.00329055610398 222.420756541 0.711892519489 249.214137321 0.0408403361345
9 18.5775773408 0.993424560156 267.579881109 0.596078431373 277.923718529 0.104221431885 909.544131562 0.00329055610398 225.874732598 0.701574150787 282.304416242 0.0361283817846
10 16.1498272174 0.995167352783 280.531131726 0.567529411765 299.819185042 0.0919913419913 974.630769705 0.00329055610398 231.688065657 0.687551798442 303.281059733 0.0374726936649
11 16.6943084581 0.99445834823 285.211597005 0.547734754664 312.513092397 0.0887583114272 1038.09520528 0.00329055610398 230.987380698 0.681133013086 309.050703472 0.0307511342631
12 15.8727579398 0.995039858282 315.320450058 0.515517241379 326.422648922 0.0951128982369 1123.72470997 0.00329055610398 238.863008063 0.658273977141 326.081896906 0.0314180107527
13 18.5977353135 0.993438552935 326.836627859 0.498272613065 341.51061379 0.0916963043142 1183.50858771 0.00329055610398 242.076682574 0.652692626346 336.755224618 0.0303946263644
14 15.363141764 0.994850852273 348.014079727 0.483283628944 382.610354616 0.0924694603371 1267.41641641 0.00329055610398 251.063600461 0.640715587212 344.035122182 0.0288881424253
15 18.4667599144 0.994147898564 361.658764604 0.46337254902 374.904702156 0.0947889284058 1313.65642998 0.00329055610398 257.296167928 0.628211503398 364.993654353 0.0258562793821
16 18.2213571664 0.99436023969 362.387485602 0.444949811794 404.306288053 0.0895314674501 1389.54587996 0.00329055610398 257.631345648 0.620175583899 361.276277357 0.0302165519557
17 18.3926176567 0.9945239357 383.584488646 0.421919096896 410.047607784 0.0882944178135 1426.66693064 0.00320855614973 256.457627119 0.607290803645 393.118294389 0.0263511245384
18 16.9314320389 0.994454382826 393.969732187 0.401097178683 424.129370989 0.0852149706155 1483.36327546 0.00329055610398 258.026359634 0.593703396852 403.092880945 0.0281926497735
19 16.7788176732 0.994763484029 402.59658343 0.386990595611 427.791015303 0.086284212154 1505.17309116 0.00329055610398 269.845092151 0.59019380487 438.113882262 0.0243288590604
20 17.4260428666 0.994864529839 410.150927678 0.373569525004 454.525341452 0.0841063698207 1565.6428542 0.00329055610398 276.417023202 0.577961888981 422.48584828 0.025344075193
21 17.8090032088 0.99356223176 416.260336104 0.35744547309 475.131016538 0.0838101128808 1640.0556504 0.00329055610398 274.010531512 0.568991220805 440.157551011 0.0233299765022
22 17.4311337831 0.994122885129 430.271093878 0.339131797524 457.526472767 0.0788619143343 1653.21020857 0.00329055610398 269.788804097 0.551764121252 459.872058579 0.0209731543624
23 16.4233585651 0.995034580599 428.75322939 0.33150298086 476.262855848 0.0808721199938 1694.62792085 0.00320855614973 267.543720175 0.547772810068 488.038845237 0.0181177654756
24 16.9456660359 0.994289793005 442.759575036 0.309998430388 495.032139623 0.0788619143343 1746.26339065 0.00320855614973 287.420766826 0.530581800099 495.198432617 0.0174496644295
25 18.9095256706 0.994238386748 457.130646288 0.293195359047 511.837131809 0.0746868718107 1785.52632878 0.00329055610398 282.297031842 0.512166859791 492.241803108 0.0219688076472
26 17.5433704953 0.994295900178 456.76243418 0.284841841528 520.576353462 0.0774582560297 1827.62466061 0.00329055610398 282.397759997 0.515492957746 505.334036118 0.0197886969646
27 18.073360622 0.993982300885 470.766794882 0.27359824093 550.147636582 0.0831915880625 1854.69666365 0.00329055610398 290.242152789 0.49627298327 513.630769707 0.0162587998659
28 18.5655545499 0.993982300885 473.642103423 0.256909547739 569.093004363 0.0779461800186 1898.9908055 0.00329055610398 292.369507981 0.50190428879 549.718559731 0.0159262363789
29 19.803243788 0.992747213869 495.906604824 0.24314585618 574.899960917 0.0797897015618 1954.91695121 0.00329055610398 287.684034063 0.493780063029 551.516249793 0.0149203688181
30 19.0484716966 0.992859692967 502.437859966 0.237460815047 595.136076599 0.0768398268398 1978.93519623 0.00329055610398 292.439032417 0.483523762212 560.18127777 0.0145826349313
31 17.8760387527 0.993960923623 515.674520736 0.225588697017 589.177421013 0.0779341271069 2050.36505471 0.00329055610398 294.531923646 0.479867439934 585.109295293 0.0162615255658
32 17.5541591246 0.994532627866 527.529105646 0.221526908636 619.295550847 0.0751507654245 2067.522688 0.00329055610398 297.546157644 0.456712464824 578.127941418 0.0145850796312
33 18.5998436729 0.994645725504 530.755276041 0.216635338346 614.528941089 0.0766970774702 2094.93233709 0.00329055610398 299.463437963 0.447555923778 604.854687756 0.0119007710359
