round betrfs_time btrfs_time ext4_time f2fs_time xfs_time zfs_time
0 10.0103875267 13.0258454007 30.7621256376 31.5656368274 21.0609470133 44.0647420604
1 10.302472437 22.2386662827 30.8641496627 47.2542989963 24.3969063683 45.3312386868
2 10.3241216883 26.7397667434 30.78149169 51.90697507 25.5310185947 44.245433602
3 10.3777871483 30.4213839065 30.738398881 54.7725234489 25.7169039 43.9479183809
4 10.3253764193 30.9928212934 30.7056113214 56.385757775 27.9847889584 45.1842294717
5 10.3809856837 31.8652192694 30.8323185783 56.8895219683 28.9834930887 45.3781779663
6 10.1636086885 33.082647688 30.6721038341 58.1694401022 28.3875575942 44.6438106794
7 10.1055105315 33.9266599473 30.7795890242 58.8970709232 29.6169265262 43.142638226
8 10.3765324173 34.2247819648 30.5936317262 59.2776657891 29.7412888761 44.316613872
9 10.0795828534 34.5772996544 30.6603278756 59.5245083921 29.8329562284 42.759287066
10 10.3371112391 34.3236074543 30.8209231529 59.4227826231 30.8005594866 44.4903221162
11 10.3151123087 34.3513040974 30.8550065822 59.1455385058 31.9930475564 45.513884318
12 10.4299407603 34.7134791015 30.7113913115 59.2060227088 32.9197589271 45.4093611158
13 10.5126810104 34.4564238111 30.7633289452 59.2352723381 31.9742368768 45.3868890899
14 10.2739118809 34.3733030278 30.7535379299 58.9430948659 32.2665789041 44.2491875101
15 10.3951271187 34.9745968406 30.7812757117 58.7747860785 32.9595297844 44.6105088857
16 10.262177061 33.9843364325 30.8154825572 58.579757693 32.8426752509 44.7408672044
17 10.2198967418 33.6941130492 30.6927657561 58.4669553232 32.8550477209 45.0432573639
18 10.3769746585 34.0254442982 30.8114303933 58.5784618234 32.5895487082 44.6880245189
19 10.2816356755 34.0307923318 30.7539698865 58.1889809941 33.9213119138 45.01285585
20 10.1994199441 33.7098897482 30.8172515221 57.7994076025 32.4750082277 45.0782458448
21 10.0763020405 33.5205282212 30.9197897811 57.7275485438 33.758258598 44.9795951949
22 10.1382466678 33.6849596841 30.9394232351 57.83370701 33.1238789699 45.841677637
23 10.1178830015 33.6128846471 30.7622079151 57.5260099555 33.7010963469 45.4731981241
24 10.2306442324 33.4898490209 30.9697424716 57.4875761066 33.2953965773 45.1998004772
25 10.3743417805 33.5940328287 30.9677986671 57.4313189072 32.8152768636 45.9814464374
26 10.2767710219 33.3711329603 30.7841759914 57.0198700018 33.1910893533 44.034196561
27 10.4128064835 33.136858236 30.8695388349 56.9685905874 32.8849452855 45.9629442983
28 10.2213777357 33.1371256377 30.9025732269 56.7361259668 32.7729554056 45.0341142833
29 10.6683087872 33.1763411223 30.9417064341 56.8186502387 32.8940472273 44.7563970709
30 10.2151246503 32.8430557841 30.8632343261 56.5997716802 32.8377488893 45.8828369259
31 10.4471984532 33.0874712029 30.7461638144 56.7150320881 32.8544512095 45.1539102353
32 10.5106137897 32.6493746915 30.8299325325 56.5939916902 32.9950324996 43.3185473919
33 10.4462831167 33.0134112226 30.7956022708 56.6656450553 32.723393533 45.6669820637
34 10.2815533981 32.9123333882 30.7672576929 56.4606919532 33.1074440514 42.7385325819
35 10.2078328123 32.8208820141 30.8833820142 56.3879586967 32.6894026658 45.4767874773
36 10.1930331578 32.8771803521 30.7012609018 56.4848095277 32.7977620536 46.0711288465
37 10.5298050025 33.087337502 30.7819647852 56.4947342439 32.6827587626 42.2418956722
38 10.2146824091 33.2119261149 30.7939567221 56.3481981239 32.540583347 45.4787209974
39 10.2198247491 32.6967356426 30.7151966431 56.3501727826 32.8131170808 44.7973300969
40 10.1988542867 32.576219763 30.8813147935 56.450767237 32.830817015 45.5085362845
41 10.4032828698 32.4174243047 30.8966698206 56.3081187263 32.4277295541 45.3786922003
42 10.3732516044 32.6727929077 30.8167784269 56.4938291919 32.517545664 44.7566130492
43 10.3472005101 32.387403324 30.8760078986 56.3825695242 32.2963324831 44.5466718774
44 10.2236609347 32.744795952 30.8377077505 56.4439484941 32.3227435412 44.7511004607
45 10.275032911 32.4612061873 30.8598300971 56.4248909825 32.203502962 45.8640673853
46 10.5100481323 32.6928171795 30.8676361692 56.408805743 32.1196931051 46.0935597334
47 10.2797844331 32.4556421754 30.8657335034 56.2214085898 32.1041220997 46.1187983378
48 10.3482906862 32.7240414678 30.8859737535 56.2590710878 32.2250699358 45.1588674512
49 10.4084972026 32.736341945 30.7859449564 56.2715772586 31.9709560638 45.4026760736
50 10.1415274807 32.5951949975 30.8341698206 56.3870227909 32.0109840382 45.0142751357
51 10.3888328945 32.6342767813 30.938302205 56.3425415499 31.8795869672 44.4410173605
52 10.5296713016 33.1881067961 30.8112658384 56.3780854038 32.1338859635 45.6421754154
53 10.3573823433 32.9222992431 30.766486342 56.5110766003 31.9244178871 44.820018101
54 10.472395919 33.0179776205 30.8193701662 56.3942529208 31.9988275465 42.4556421754
55 10.4839558993 33.3068228567 30.7162251111 56.4311440676 31.7927534145 46.2629998354
56 10.1770713345 33.0610704295 30.8862720092 56.4469721903 31.8069976962 45.6076703143
57 10.5964085898 32.9923070594 30.8076353464 56.2959108114 31.6578184137 45.0560617904
58 10.427184466 32.8207997367 30.9753579069 56.2939772912 31.8537107125 45.8588530526
59 10.2318475399 32.7452176238 30.7730376831 56.3711843838 31.6284453678 45.5798399706
60 10.3681709725 32.8301587954 30.8754011025 56.682943887 31.5596511437 45.0581392956
61 10.4199337666 32.8728710712 30.8079747408 56.375411387 31.3326579727 42.3681915419
62 10.3126954089 33.3707112884 30.9178459766 56.5230273984 31.6844454501 46.243767484
63 10.4028097746 33.1542907685 30.7818413691 56.4044450386 31.5844063683 42.5704706269
64 10.4334786901 33.1020960178 30.969310515 56.5302678131 31.5692673194 43.0091636498
65 10.5258762547 32.7905627777 30.8263534639 56.2753311667 31.6574378805 45.0356672702
66 10.1586514728 33.1552472437 30.9551587954 56.33016908 31.630430311 45.075263288
67 10.3128188251 32.7515632714 30.932553069 56.448782294 31.7276205365 45.5348444956
68 10.4426629093 32.738141764 30.7820573474 56.4182882179 31.7300374362 45.3785584991
69 10.2458758434 32.9161387198 30.815616258 56.4767874775 31.574101119 46.0766928582
70 10.2859963798 32.966646783 30.7481487576 56.4038793812 31.5747387691 46.7322486423
71 10.4389090012 32.7484161593 30.859737535 56.4603114199 31.5012341616 45.6537765345
72 10.2407026493 32.7041920356 30.7669080138 56.377828287 31.635572651 45.8324522793
73 10.5125473095 32.4915357084 30.811697795 56.5222560476 31.5690102024 45.7677102189
74 10.4304241402 33.0721573145 30.7474185453 56.3136415996 31.4879977785 45.9529681588
75 10.39154805 32.8176012012 30.9146988646 56.4917516867 31.5817734902 45.7447548132
76 10.5749650321 32.9207873951 30.7274045582 56.3683766663 31.4007631232 44.7017031432
77 10.4910214744 32.8429735067 30.8113069771 56.4815698537 31.5779373046 45.3842973506
78 10.5460650814 33.0595585815 30.8129011025 56.3515097912 31.544892628 45.3403509132
79 10.1181812572 33.0279023367 30.9005574297 56.4210856507 31.2835691953 45.2471614285
80 10.479111815 32.8923708244 30.9508906533 56.3227846797 31.4350213921 46.3755965116
81 10.393059898 32.7423379134 30.7460403982 56.2908610332 31.8181668586 45.1717541552
82 10.5043092809 32.8304159125 30.6591965608 56.354142669 31.3793298502 45.3408240087
83 10.2994076024 32.8682532499 30.7830446766 56.336381027 31.5509400197 44.876666118
84 10.1981137897 33.1387711865 30.8561173276 56.484675827 31.620114777 45.3973691787
85 10.1303891723 33.0293730459 30.8610025506 56.3558293566 31.6808663814 46.1441603587
86 10.3959087543 32.9822177884 30.9588715649 56.4735066644 31.4982618891 46.0537065988
87 10.4080241073 33.089363584 30.966163403 56.4627591741 31.3083244199 43.7828389829
88 10.5212995722 32.8892545664 30.9553747738 56.5426917063 31.6585074872 43.4954541716
89 10.5733709067 33.1599884811 30.820532335 56.5427842686 31.5366031759 44.5012855848
90 10.4198412045 32.7121832319 30.8702279085 56.5793154516 31.5593940266 45.620176485
91 10.4733421096 32.5645260819 30.7794758927 56.5360066646 31.6885798914 44.8264974492
92 10.6588263123 32.8849864242 30.7657047063 56.4976653775 31.8762238769 45.9730335691
93 10.4114283363 32.8032026494 30.7469454501 56.4791118152 31.6261621688 44.3203163569
94 10.5728978114 32.8004772091 30.8348177555 56.4469721903 31.393862103 44.6690904228
95 10.5672412375 33.0862678953 30.8142381109 56.467161017 31.5486876748 46.3716986175
96 10.6723300971 32.8494425703 30.864396495 56.565688251 31.5981261313 45.221593714
97 10.1850111074 33.0034453678 30.8459869179 56.6319010203 31.4017195985 44.9604348363
98 10.5554755636 32.8400835116 30.8519417476 56.5568434261 31.7525506006 45.4853751853
99 10.571046569 32.775032911 30.8727373704 56.4901987002 31.5749136087 45.2465649169
100 10.4480212276 33.025320882 30.8370598157 56.4498210464 31.2909947342 45.6888884318
101 10.346305743 32.679272256 30.8681504032 56.5326847131 31.5482557183 46.0808787229
