pulls_performed filesystem_size aged_time aged_layout_score
0 264916 0.165891885757 1 
100 290556 0.142109155655 1 
200 295628 0.144892930984 1 
300 304276 0.150437116623 1 
400 310832 0.157737016678 1 
500 316776 0.16067481041 1 
600 322528 0.162302970886 1 
700 328600 0.167744874954 1 
800 337332 0.178199052811 1 
900 343596 0.178269863129 1 
1000 351040 0.182730913162 1 
1100 357420 0.19175195694 1 
1200 363444 0.21847987175 0.75 
1300 373772 0.234346151352 0.830188679245 
1400 378676 0.226321935654 1.0 
1500 384680 1.212870121 0.741203178207 
1600 392164 0.989986181259 0.839073262367 
1700 397592 0.211362123489 1 
1800 404132 8.31364488602 0.887150751031 
1900 410096 33.1284980774 0.829449177967 
2000 416556 17.746088028 0.905256905257 
2100 423252 18.8661792278 0.9005197728 
2200 428348 23.1062569618 0.871212489665 
2300 433412 39.5706470013 0.833993357179 
2400 439316 30.9307351112 0.856788932494 
2500 449432 50.475053072 0.827871582243 
2600 457084 37.1531980038 0.87214366183 
2700 465828 35.3354580402 0.880242268514 
2800 474980 44.0903701782 0.859380420454 
2900 482436 34.3679349422 0.880446569839 
3000 489628 44.2552170753 0.848414881771 
3100 497520 41.0779440403 0.863831156732 
3200 505400 69.2414240837 0.808586531437 
3300 513520 53.2504060268 0.851272976028 
3400 523232 55.0111551285 0.847877244891 
3500 531556 72.8011791706 0.817310635806 
3600 539312 62.0681321621 0.838565452925 
3700 546632 86.6879439354 0.797963250486 
3800 557088 71.53480196 0.820095952429 
3900 565448 86.2725450993 0.813535693938 
4000 572860 84.3461809158 0.801851284252 
4100 579076 70.6324548721 0.831211925478 
4200 587448 128.535267115 0.748544014522 
4300 594008 84.006095171 0.817758400934 
4400 599752 105.358788967 0.785114524985 
4500 606124 100.50326705 0.805208151128 
4600 612396 120.585712194 0.781475438434 
4700 618596 103.908510923 0.810530462185 
4800 626860 121.145825148 0.776161503855 
4900 635044 105.217535973 0.816249131475 
5000 641668 112.788995981 0.793443467748 
5100 650684 135.213127851 0.768485765629 
5200 656376 121.021075964 0.789293395226 
5300 662632 112.860111952 0.806247642493 
5400 671132 107.791008949 0.811822284743 
5500 678560 120.503578186 0.788597774612 
5600 683996 121.176716089 0.780685171293 
5700 689784 140.364928007 0.768048626108 
5800 698332 171.784969091 0.745264105744 
5900 704684 157.440577984 0.753079884073 
6000 712100 168.609621048 0.750644500972 
6100 718504 137.592675924 0.801909347919 
6200 727224 157.577017069 0.758291653982 
6300 733700 153.438406944 0.780698006272 
6400 741020 180.758681059 0.735232681574 
6500 748716 165.999505043 0.768582989464 
6600 756668 198.346864939 0.721277709027 
6700 764960 161.421827793 0.774236335044 
6800 779476 170.137283802 0.77199144777 
6900 789772 160.660025835 0.792198613555 
7000 797184 171.530083895 0.776516879989 
7100 803892 159.858247995 0.786418760103 
7200 810580 172.809323788 0.782810370349 
7300 817020 169.293612003 0.788134605579 
7400 823308 164.366547823 0.795558304615 
7500 832096 168.060158014 0.793949993048 
7600 842456 168.869829178 0.792651791849 
7700 848932 166.869735003 0.79805663319 
7800 857664 175.30156517 0.790960975958 
7900 866668 171.781610966 0.794060886594 
8000 874464 181.45005393 0.786838230138 
8100 883792 184.209233999 0.785745896085 
8200 891196 186.562489986 0.767804088837 
8300 899200 179.824557066 0.793155493399 
8400 905588 180.807311058 0.790208396338 
8500 915216 191.664562225 0.784968882689 
8600 922480 190.215917826 0.784363118509 
8700 929432 196.25890708 0.782465691278 
8800 938356 201.480751991 0.780970904616 
8900 943848 195.444477797 0.784407102975 
9000 950052 201.692430973 0.78190877479 
9100 957024 200.614041805 0.782142693758 
9200 963468 210.716923952 0.773992890995 
9300 970504 221.313692093 0.768247409573 
9400 977504 221.127640009 0.767824762916 
9500 983908 235.126209021 0.75732687015 
9600 990648 231.63735199 0.762378025619 
9700 999120 234.886575937 0.758172753995 
9800 1006180 244.502916098 0.74893503566 
9900 1013284 244.854024887 0.756017226738 
10000 1020556 249.929117203 0.749106060877 
