pulls 1024mb_time 1024mb_layout 1280mb_time 1280mb_layout 1536mb_time 1536mb_layout 2048mb_time 2048mb_layout 768mb_time 768mb_layout cold_time cold_layout cold_clean_time cold_clean_layout betrfs_time betrfs_layout
0 48.7711490465 0.728860924126 0.576277348423 1 0.570891892079 1 0.578628006436 1 3.43335132496 0.660558863949 53.8054677938 0.758800503853 53.1846628806 0.75948355281 10.8938989466 0.991414955498
100 5.00585087329 0.879732117943 0.503776664773 1 0.504800673209 1 0.505194392624 1 29.8016913037 0.769818163244 64.8292491281 0.749783699602 55.297064678 0.753781680303 12.1786185011 0.990807790232
200 0.569086116167 1 0.506563691814 1 0.505609410919 1 0.509026218225 1 45.1722713713 0.792356664792 84.372230177 0.743665137675 58.5685803225 0.748040665193 11.9890020996 0.99074341915
300 0.548196477244 1 0.511707799924 1 0.510725219929 1 0.512635478163 1 49.6123136571 0.737737668779 111.814323061 0.737095524246 57.7063668276 0.74173204318 12.4092272093 0.991578947368
400 0.538854343262 1 0.514573739277 1 0.513035000379 1 0.515684699274 1 50.5019910301 0.737404631466 120.483179038 0.731355911116 59.9239454975 0.734954308907 12.0516892918 0.99175930043
500 0.527003384251 1 0.518255557626 1 0.517151018381 1 0.521520274467 1 50.1747485098 0.733231837698 142.673402571 0.723409970574 61.2360795455 0.727911180595 12.1874627422 0.99195352215
600 0.519474051885 1 0.519413040559 1 0.519541164341 1 0.524162772111 1 50.136712649 0.731980491204 157.255963857 0.717176803462 58.9830014825 0.721458995741 12.1028559401 0.992294617564
700 0.525641908891 1 0.524313460018 1 0.524372618677 1 0.527281876783 1 51.169854245 0.733528047419 167.574231387 0.709328595298 58.3308279516 0.713137896149 11.95113345 0.9919403809
800 0.547606814651 1 0.532307856235 1 0.529752069736 1 0.5325800745 1 60.4650947582 0.723249101129 198.033680624 0.699507332722 61.8286302095 0.704601733388 11.8249534383 0.992346938776
900 0.544122534582 1 0.534629026899 1 0.533586130624 1 0.535052345371 1 67.66877729 0.717005139052 214.328894817 0.692223857623 60.6604584732 0.69731632699 12.2990591013 0.992104781574
1000 0.536610529447 1 0.557859070607 1 0.537890519797 1 0.558553421536 1 69.0274668396 0.711216398513 225.731662823 0.686736378646 60.9216154951 0.691666024717 11.3490151439 0.992028948833
1100 0.544369818768 1 0.542736903606 1 0.540268928036 1 0.539916163241 1 95.8257114549 0.696598705034 243.790758114 0.679945485814 63.6363897554 0.618269293073 11.8947520725 0.992654774397
1200 0.552584884075 1 0.542442037002 1 0.541180026893 1 0.563401435792 1 97.9093826588 0.691081507507 256.700406121 0.674494039073 63.0763055231 0.679828663747 11.6963089932 0.99228211538
1300 0.550017538214 1 0.551986961062 1 0.542747091031 1 0.546525059868 1 104.474938155 0.689413414349 272.068572442 0.67081438611 62.1048679756 0.67579615858 11.9129128733 0.992624819692
1400 0.565219230648 1 0.545561757386 1 0.570536634768 1 0.546915515104 1 133.821035182 0.677560908717 283.896726509 0.665118889683 63.2620634131 0.670398301885 11.5899754241 0.993034252105
1500 0.552717993151 1 0.549855935852 1 0.546829178885 1 0.552336684576 1 132.068389455 0.686213011681 295.718346902 0.659959637338 62.1298833133 0.665274151436 11.6939059841 0.992966562721
1600 0.559513360027 1 0.551287839157 1 0.549265097937 1 0.551398502028 1 136.982868633 0.685171385991 307.908135357 0.655634551757 62.5704293721 0.660258495756 11.9252906158 0.992481868035
1700 0.571898510232 1 0.550836691347 1 0.550745503901 1 0.55173429839 1 146.09015523 0.680079462361 319.367201303 0.650151274892 64.8055412193 0.656639558496 11.7660595361 0.992385953397
1800 0.682722214626 1 0.557733811193 1 0.553074432866 1 0.554380572454 1 151.286225232 0.677638190955 327.786031753 0.647557127832 63.3402963595 0.65341131722 11.8508156659 0.992061307873
1900 2.59317705226 0.395095367847 0.837930943265 1 0.556733849247 1 0.556217414726 1 151.849578676 0.674499406963 340.50331925 0.642903556933 65.1311695588 0.648652721399 11.9718624348 0.991852896057
2000 0.621648246319 1.0 0.559412126662 1 0.55653429261 1 0.560038102902 1 154.707129503 0.676208791209 352.192212571 0.638312644061 66.0927622238 0.643886090949 13.2290445875 0.991218663375
2100 0.565162038115 1 0.556585911388 1 0.557273677302 1 0.558564838521 1 155.182710077 0.674796301885 360.241385471 0.634945042947 65.2556056996 0.641514246156 13.5420939505 0.990500316656
2200 0.579833753184 1 0.571947774641 1 0.556554487033 1 0.560966934513 1 163.878968847 0.67000512226 371.38942564 0.631096054133 65.8103871508 0.637358880943 13.5661528101 0.990204321048
2300 0.682662700396 0.74025974026 0.561244834006 1 0.558539783823 1 0.563997002589 1 170.652312775 0.667524330089 378.746134588 0.627762633303 64.9455731414 0.691902144212 14.2494782915 0.989676466131
2400 22.1514984054 0.539591836735 0.564041405754 1 0.562937842099 1 0.561303492883 1 189.069000443 0.653466776994 387.050170994 0.624143670609 66.3952252815 0.631716264369 15.4056495068 0.98939802675
2500 32.5705277239 0.652925729574 0.566321214031 1 0.564634450692 1 0.56299968038 1 194.745482627 0.650900929951 396.833900878 0.622154325425 65.4826294025 0.636841957176 15.0583383685 0.989358637329
2600 50.5731745382 0.648900311789 0.59469098463 1 0.563514444396 1 0.566760128299 1 236.77172687 0.650571415563 406.327814075 0.618098443416 67.1629138503 0.625113647843 15.6974474749 0.988864340947
2700 54.8553060845 0.645039867244 0.567051332438 1 0.564044579392 1 0.569410989122 1 242.03715601 0.642175375953 420.271023499 0.617166109234 67.3660161895 0.587113597006 15.4842826897 0.988937858861
2800 138.091444407 0.62242554095 0.571047717154 1 0.565036437649 1 0.570521775539 1 242.580486166 0.638946012519 431.566836558 0.610951008646 66.5365013845 0.618218043103 16.4272656425 0.988799367817
2900 133.943290505 0.624365774908 0.584447075152 1 0.574360125729 1 0.571511817774 1 285.571847063 0.642456734003 440.465681001 0.606783118705 70.1037989346 0.613966101695 16.0360324734 0.98919794761
3000 151.760380207 0.61371547923 0.574570932001 1 0.571801502241 1 0.570015227589 1 281.391859476 0.641671102739 451.416534405 0.602076967188 68.339302166 0.609270898806 15.8534445128 0.9891470524
3100 145.535033941 0.614606423226 0.573642167463 1 0.570170357786 1 0.572227799824 1 296.839760612 0.634383994244 459.025123961 0.599327510242 69.0039302292 0.607056986246 15.9428233095 0.988943284377
3200 160.234937862 0.622699668752 0.576670624615 1 0.577018163668 1 0.577052771344 1 301.688057623 0.631708907019 471.928339202 0.594942875193 68.5646451884 0.602762254267 15.5058740437 0.989231792161
3300 156.412211748 0.618982118294 0.580104572881 1 0.579021709093 1 0.57644576949 1 304.420614137 0.625917256773 481.762322194 0.591782915537 68.433883897 0.599355056433 15.6297109613 0.989145290995
3400 153.281262478 0.61833305146 0.588012510454 1 0.579452305072 1 0.604080965727 1 314.2500857 0.624285823113 490.324659645 0.587609254499 67.9628717161 0.594811244508 15.7352980509 0.989154690011
3500 166.89395472 0.609528509264 0.589650028186 1 0.581448230206 1 0.589049218205 1 343.712221755 0.609945617108 496.392400311 0.584963515263 70.3167923608 0.592888663821 15.7124952714 0.989358616162
3600 170.745109399 0.607339531028 0.592111803968 1 0.607015252973 1 0.580333514873 1 351.327903748 0.610256273025 508.70836821 0.581259797634 69.8732564898 0.584642570012 15.8911909783 0.989674583823
3700 194.901579164 0.603749879192 0.585555136905 1 0.580849822964 1 0.581789533652 1 359.320850579 0.605320544642 515.14366351 0.577743109724 71.9811323221 0.585536678668 15.2757268899 0.989893743322
3800 189.337256167 0.607743109653 0.587542717354 1 0.583775541971 1 0.583087465331 1 378.55748447 0.602124728493 522.462632927 0.577055987419 72.2143305668 0.601828327907 15.1818463626 0.989776763797
3900 270.106414316 0.602940701592 0.592457518435 1 0.587093306104 1 0.582348543986 1 396.826769572 0.596747994431 527.049053748 0.574773367738 72.5566300341 0.582121105008 15.2924284191 0.989756758282
4000 265.879315267 0.601915542011 1.1406820683 1 0.582176634453 1 0.583485658769 1 413.83556892 0.588568991599 534.552804193 0.572121122719 71.2035122261 0.580432144701 15.4812760085 0.989899974924
4100 272.005586016 0.600520446097 0.584621214183 1 0.592228996415 1 0.86426898267 1 417.931993087 0.58937443049 537.971608926 0.56943652824 70.9703075774 0.577433114639 15.7011058906 0.990025384913
4200 283.746575928 0.590800884203 0.59208448447 1 0.587633610053 1 0.585960550667 1 429.97650173 0.589546060801 548.77895164 0.567112011237 73.7257624323 0.575166560966 15.235367436 0.990037343112
