fs, file.size.kb, time.s
# single file renames for a variety of circle sizes
# just to find the optimal circle size

ext4, 4096.000000, 0.025758
ext4, 4096.000000, 0.042459
ext4, 4096.000000, 0.025696
ext4, 4096.000000, 0.032317
ext4, 4096.000000, 0.016770
ext4, 4096.000000, 0.016785
ext4, 4096.000000, 0.016766
ext4, 4096.000000, 0.016766
ext4, 4096.000000, 0.016802
ext4, 4096.000000, 0.016740
ext4, 4096.000000, 0.016764
ext4, 4096.000000, 0.016785
ext4, 4096.000000, 0.016771
ext4, 4096.000000, 0.016764
ext4, 4096.000000, 0.016794
ext4, 4096.000000, 0.016766
ext4, 4096.000000, 0.016777
ext4, 4096.000000, 0.016761
ext4, 4096.000000, 0.016766
ext4, 4096.000000, 0.016764
ext4, 4096.000000, 0.016810
ext4, 4096.000000, 0.016735
ext4, 4096.000000, 0.016771
ext4, 4096.000000, 0.016793
ext4, 4096.000000, 0.016767
ext4, 4096.000000, 0.016765
ext4, 4096.000000, 0.016806
ext4, 4096.000000, 0.016736
ext4, 4096.000000, 0.016762
ext4, 4096.000000, 0.016790
ext4, 4096.000000, 0.016764
ext4, 4096.000000, 0.016782
ext4, 4096.000000, 0.016763
ext4, 4096.000000, 0.016759
ext4, 4096.000000, 0.016765
ext4, 4096.000000, 0.016797
ext4, 4096.000000, 0.016770
ext4, 4096.000000, 0.016759
ext4, 4096.000000, 0.016786
ext4, 4096.000000, 0.016766
ext4, 4096.000000, 0.016765
ext4, 4096.000000, 0.016809
ext4, 4096.000000, 0.016747
ext4, 4096.000000, 0.016763
ext4, 4096.000000, 0.016796
ext4, 4096.000000, 0.016764
ext4, 4096.000000, 0.026390
ext4, 4096.000000, 0.016799
ext4, 4096.000000, 0.016761
ext4, 4096.000000, 0.016765
ext4, 4096.000000, 0.016798
ext4, 4096.000000, 0.016766
ext4, 4096.000000, 0.016765
ext4, 4096.000000, 0.016795
ext4, 4096.000000, 0.016760
ext4, 4096.000000, 0.016773
ext4, 4096.000000, 0.016794
ext4, 4096.000000, 0.016766
ext4, 4096.000000, 0.016766
ext4, 4096.000000, 0.016794
ext4, 4096.000000, 0.016765
ext4, 4096.000000, 0.016765
ext4, 4096.000000, 0.016803
ext4, 4096.000000, 0.016739
