read_size_bytes num_reads time_seconds
4096 100000 10.434472
4096 100000 10.442303
4096 100000 10.459792
4096 100000 10.457463
4096 100000 10.458248
8192 100000 15.107153
8192 100000 15.177761
8192 100000 15.185675
8192 100000 15.185235
8192 100000 15.193608
16384 100000 21.132539
16384 100000 21.079990
16384 100000 21.066661
16384 100000 21.100386
16384 100000 21.087157
32768 100000 27.615487
32768 100000 27.518034
32768 100000 27.546785
32768 100000 27.664930
32768 100000 27.694392
65536 100000 36.976005
65536 100000 36.960800
65536 100000 36.968758
65536 100000 36.982710
65536 100000 37.044238
131072 100000 44.019271
131072 100000 43.848329
131072 100000 43.965844
131072 100000 43.837380
131072 100000 44.046934
262144 100000 38.501386
262144 100000 38.444522
262144 100000 38.466828
262144 100000 38.385852
262144 100000 38.391531
524288 100000 41.492695
524288 100000 41.524949
524288 100000 41.466348
524288 100000 41.437397
524288 100000 41.771319
1048576 100000 47.675371
1048576 100000 47.276809
1048576 100000 47.304368
1048576 100000 47.269233
1048576 100000 47.301014
2097152 100000 58.021219
2097152 100000 58.055790
2097152 100000 58.091741
2097152 100000 58.117798
2097152 100000 58.657337
4194304 100000 88.628186
4194304 100000 88.288027
4194304 100000 87.411592
4194304 100000 87.812720
4194304 100000 87.969104
8388608 100000 173.508880
8388608 100000 173.472446
8388608 100000 173.382365
8388608 100000 173.378993
8388608 100000 174.416022
16777216 100000 322.468369
16777216 100000 322.632888
16777216 100000 322.408101
16777216 100000 322.660713
16777216 100000 322.665644
33554432 100000 622.361413
33554432 100000 622.283023
33554432 100000 622.545355
33554432 100000 622.537917
33554432 100000 622.489113
67108864 100000 1224.422236
67108864 100000 1224.888129
67108864 100000 1224.562887
67108864 100000 1224.652510
67108864 100000 1224.972985
134217728 100000 2429.658576
134217728 100000 2429.780646
134217728 100000 2429.576518
134217728 100000 2430.447771
134217728 100000 2428.663233
