pulls_performed filesystem_size file_count aged_time aged_layout_score clean_time clean_layout_score cleaner_time cleaner_layout_score
0 290876 17311 3.185253143 0.7585422338 3.163510084 0.7597936045 3.187152147 0.7600379944
100 295896 18038 3.285952806 0.7494765201 3.30189395 0.7516040574 3.252089024 0.7515691004
200 301012 18801 3.404824018 0.7434783178 3.408689976 0.7477345346 3.348344088 0.7475716701
300 309644 19878 3.582068205 0.736814648 3.555435181 0.740637014 3.497076988 0.7410752907
400 316168 20754 3.710172176 0.730813445 3.684468985 0.735288982 3.621681929 0.7351157043
500 322080 21807 3.847985983 0.7232233518 3.812003851 0.7279339853 3.76197505 0.7279750626
600 327808 22712 3.981547117 0.7173450881 3.95992589 0.7208143764 3.864434004 0.720858196
700 333848 23814 4.119181156 0.7092302252 3.976639986 0.7279339853 3.985814095 0.7139574348
800 342556 25292 4.316513062 0.6994476658 4.239197969 0.7037330304 4.172585011 0.7039740191
900 349028 26421 4.480761051 0.6919998196 4.408296108 0.6970962296 4.31882 0.6970208741
1000 356448 27497 4.621855974 0.6867415433 4.511705875 0.6912793135 4.428827047 0.7168377767
1100 362848 28620 4.764195919 0.6794699401 4.649873972 0.6850345141 4.592556953 0.6847393897
1200 368856 29625 4.903193951 0.6744054782 4.773001909 0.6791546692 4.713087082 0.6791413657
1300 379172 30838 5.08772707 0.6704354675 4.953497171 0.6755086833 4.884475946 0.6752070313
1400 384116 31798 5.204511881 0.6649981101 5.123638868 0.6705442205 4.996295929 0.6706196657
1500 390104 32828 5.336583853 0.6599134896 5.223564148 0.6645334621 5.097382069 0.6644785707
1600 397612 33923 5.509654045 0.6555808476 5.361367941 0.6604784217 5.269590855 0.6603922186
1700 403040 34889 5.645596027 0.6505390993 5.482200146 0.6561916252 5.391911983 0.6564059172
1800 409604 35766 5.760019779 0.6476546046 5.594143152 0.6407642847 5.517525911 0.65304794
1900 415816 36792 5.948012114 0.643012617 5.729757071 0.6483558958 5.623578072 0.6484994631
2000 422556 37885 6.085890055 0.6381173197 5.911664963 0.6436745368 5.766812086 0.6438980554
2100 429644 38849 6.209048033 0.6344813729 6.021432877 0.6407642847 5.916623831 0.6409639213
2200 435004 39742 6.324538946 0.6308034749 6.053417921 0.614593227 6.062347174 0.6381700971
2300 440308 40582 6.463807106 0.6278302474 6.264271975 0.6349682067 6.068727016 0.6346990219
2400 446532 41515 6.576107979 0.6243673967 6.405930042 0.6314928246 6.249171019 0.629101308
2500 456760 42724 6.751345873 0.6222724819 6.587912083 0.6285205666 6.448704004 0.6298513342
2600 464532 43929 6.929582119 0.6182800229 6.703542948 0.614593227 6.588451147 0.6245375141
2700 473284 45238 7.120112896 0.6143607127 6.89291811 0.6197738518 6.76830411 0.6194538824
2800 482468 46566 7.284077883 0.6108922608 6.980268002 0.7734495299 6.889560938 0.5327815172
2900 489944 47810 7.466961145 0.6062148428 7.213587046 0.614593227 7.101018906 0.6145983771
3000 497128 49119 7.625581026 0.6020011642 7.375125885 0.6094489799 7.250012159 0.6096078385
3100 505000 50266 7.772548199 0.5992397733 7.503467083 0.6065491223 7.398201227 0.6063734221
3200 512880 51631 7.943339825 0.5946547884 7.690446138 0.6022597407 7.595392942 0.6023928367
3300 521068 52913 8.099420071 0.5916256675 7.775366068 0.5854175767 7.736565113 0.5988813664
3400 530928 54485 8.287236214 0.5872524206 8.055139065 0.5942173036 7.92530489 0.5950064755
3500 539320 55678 8.423845053 0.5848876205 8.104245901 0.5828666308 8.084554195 0.5925437961
3600 547192 56971 8.594237804 0.5810686303 8.310844898 0.701317437 8.2537992 0.5874306205
3700 554716 58210 8.774670124 0.5776524354 8.556691885 0.5854175767 8.462080956 0.5856018251
3800 565388 59368 8.930824995 0.5768388776 8.616152048 0.6193522047 8.58522892 0.5849035744
3900 573892 60556 9.081733942 0.5748078101 8.875494003 0.5828666308 8.741197109 0.5829558902
4000 581512 61681 9.261121035 0.572418005 9.049553871 0.5802434306 8.887704849 0.5802632901
