fs, size.MB, time.s

# BetrFS_rename_16 has been renamed to BetrFS_v2
# for graphing purposes.

BetrFS_v2, .00390625, 0.066
BetrFS_v2, .00390625, 0.060
BetrFS_v2, .00390625, 0.061
BetrFS_v2, .00390625, 0.031
BetrFS_v2, .00390625, 0.064
BetrFS_v2, .0078125, 0.039
BetrFS_v2, .0078125, 0.021
BetrFS_v2, .0078125, 0.043
BetrFS_v2, .0078125, 0.023
BetrFS_v2, .0078125, 0.044
BetrFS_v2, .015625, 0.028
BetrFS_v2, .015625, 0.024
BetrFS_v2, .015625, 0.033
BetrFS_v2, .015625, 0.023
BetrFS_v2, .015625, 0.030
BetrFS_v2, .03125, 0.019
BetrFS_v2, .03125, 0.063
BetrFS_v2, .03125, 0.037
BetrFS_v2, .03125, 0.030
BetrFS_v2, .03125, 0.045
BetrFS_v2, .0625, 0.020
BetrFS_v2, .0625, 0.036
BetrFS_v2, .0625, 0.067
BetrFS_v2, .0625, 0.052
BetrFS_v2, .0625, 0.050
BetrFS_v2, .125, 0.017
BetrFS_v2, .125, 0.064
BetrFS_v2, .125, 0.071
BetrFS_v2, .125, 0.064
BetrFS_v2, .125, 0.074
BetrFS_v2, .25, 0.043
BetrFS_v2, .25, 0.127
BetrFS_v2, .25, 0.074
BetrFS_v2, .25, 0.094
BetrFS_v2, .25, 0.074
BetrFS_v2, .5, 0.074
BetrFS_v2, .5, 0.130
BetrFS_v2, .5, 0.058
BetrFS_v2, .5, 0.130
BetrFS_v2, .5, 0.058
BetrFS_v2, 1, 0.187
BetrFS_v2, 1, 0.063
BetrFS_v2, 1, 0.052
BetrFS_v2, 1, 0.074
BetrFS_v2, 1, 0.086
BetrFS_v2, 2, 0.009
BetrFS_v2, 2, 0.006
BetrFS_v2, 2, 0.009
BetrFS_v2, 2, 0.006
BetrFS_v2, 2, 0.017
BetrFS_v2, 3, 0.009
BetrFS_v2, 3, 0.009
BetrFS_v2, 3, 0.009
BetrFS_v2, 3, 0.017
BetrFS_v2, 3, 0.017
BetrFS_v2, 4, 0.009
BetrFS_v2, 4, 0.014
BetrFS_v2, 4, 0.017
BetrFS_v2, 4, 0.010
BetrFS_v2, 4, 0.018
BetrFS_v2, 5, 0.009
BetrFS_v2, 5, 0.014
BetrFS_v2, 5, 0.009
BetrFS_v2, 5, 0.013
BetrFS_v2, 5, 0.009
BetrFS_v2, 6, 0.017
BetrFS_v2, 6, 0.010
BetrFS_v2, 6, 0.018
BetrFS_v2, 6, 0.009
BetrFS_v2, 6, 0.017
BetrFS_v2, 8, 0.023
BetrFS_v2, 8, 0.023
BetrFS_v2, 8, 0.009
BetrFS_v2, 8, 0.023
BetrFS_v2, 8, 0.025
BetrFS_v2, 16, 0.048
BetrFS_v2, 16, 0.023
BetrFS_v2, 16, 0.023
BetrFS_v2, 16, 0.023
BetrFS_v2, 16, 0.025
BetrFS_v2, 32, 0.023
BetrFS_v2, 32, 0.009
BetrFS_v2, 32, 0.009
BetrFS_v2, 32, 0.023
BetrFS_v2, 32, 0.023

ext4, .00390625, 0.117
ext4, .00390625, 0.060
ext4, .00390625, 0.043
ext4, .00390625, 0.060
ext4, .00390625, 0.062
ext4, .0078125, 0.055
ext4, .0078125, 0.016
ext4, .0078125, 0.016
ext4, .0078125, 0.017
ext4, .0078125, 0.283
ext4, .015625, 0.025
ext4, .015625, 0.034
ext4, .015625, 0.060
ext4, .015625, 0.034
ext4, .015625, 0.029
ext4, .03125, 0.016
ext4, .03125, 0.024
ext4, .03125, 0.018
ext4, .03125, 0.018
ext4, .03125, 0.017
ext4, .0625, 0.029
ext4, .0625, 0.051
ext4, .0625, 0.018
ext4, .0625, 0.050
ext4, .0625, 0.042
ext4, .125, 0.033
ext4, .125, 0.307
ext4, .125, 0.033
ext4, .125, 0.057
ext4, .125, 0.046
ext4, .25, 0.051
ext4, .25, 0.050
ext4, .25, 0.024
ext4, .25, 0.306
ext4, .25, 0.111
ext4, .5, 0.028
ext4, .5, 0.029
ext4, .5, 0.014
ext4, .5, 0.028
ext4, .5, 0.034
ext4, 1, 0.046
ext4, 1, 0.049
ext4, 1, 0.040
ext4, 1, 0.024
ext4, 1, 0.018
ext4, 2, 0.027
ext4, 2, 0.040
ext4, 2, 0.066
ext4, 2, 0.016
ext4, 2, 0.309
ext4, 3, 0.067
ext4, 3, 0.025
ext4, 3, 0.052
ext4, 3, 0.257
ext4, 3, 0.039
ext4, 4, 0.030
ext4, 4, 0.021
ext4, 4, 0.027
ext4, 4, 0.063
ext4, 4, 0.030
ext4, 5, 0.054
ext4, 5, 0.064
ext4, 5, 0.099
ext4, 5, 0.266
ext4, 5, 0.043
ext4, 6, 0.014
ext4, 6, 0.036
ext4, 6, 0.041
ext4, 6, 0.045
ext4, 6, 0.026
ext4, 8, 0.042
ext4, 8, 0.329
ext4, 8, 0.034
ext4, 8, 0.051
ext4, 8, 0.050
ext4, 16, 0.036
ext4, 16, 0.052
ext4, 16, 0.249
ext4, 16, 0.030
ext4, 16, 0.028
ext4, 32, 0.086
ext4, 32, 0.026
ext4, 32, 0.055
ext4, 32, 0.027
ext4, 32, 0.033

xfs, .00390625, 0.047
xfs, .00390625, 0.014
xfs, .00390625, 0.035
xfs, .00390625, 0.066
xfs, .00390625, 0.052
xfs, .0078125, 0.022
xfs, .0078125, 0.022
xfs, .0078125, 0.042
xfs, .0078125, 0.051
xfs, .0078125, 0.055
xfs, .015625, 0.006
xfs, .015625, 0.015
xfs, .015625, 0.031
xfs, .015625, 0.059
xfs, .015625, 0.071
xfs, .03125, 0.031
xfs, .03125, 0.022
xfs, .03125, 0.031
xfs, .03125, 0.059
xfs, .03125, 0.047
xfs, .0625, 0.014
xfs, .0625, 0.014
xfs, .0625, 0.029
xfs, .0625, 0.062
xfs, .0625, 0.040
xfs, .125, 0.014
xfs, .125, 0.014
xfs, .125, 0.038
xfs, .125, 0.051
xfs, .125, 0.052
xfs, .25, 0.015
xfs, .25, 0.022
xfs, .25, 0.035
xfs, .25, 0.058
xfs, .25, 0.047
xfs, .5, 0.014
xfs, .5, 0.014
xfs, .5, 0.030
xfs, .5, 0.057
xfs, .5, 0.051
xfs, 1, 0.022
xfs, 1, 0.022
xfs, 1, 0.042
xfs, 1, 0.054
xfs, 1, 0.044
xfs, 2, 0.031
xfs, 2, 0.002
xfs, 2, 0.053
xfs, 2, 0.056
xfs, 2, 0.043
xfs, 3, 0.022
xfs, 3, 0.012
xfs, 3, 0.053
xfs, 3, 0.053
xfs, 3, 0.043
xfs, 4, 0.014
xfs, 4, 0.002
xfs, 4, 0.045
xfs, 4, 0.180
xfs, 4, 0.092
xfs, 5, 0.023
xfs, 5, 0.056
xfs, 5, 0.069
xfs, 5, 0.063
xfs, 5, 0.050
xfs, 6, 0.002
xfs, 6, 0.014
xfs, 6, 0.041
xfs, 6, 0.039
xfs, 6, 0.058
xfs, 8, 0.019
xfs, 8, 0.022
xfs, 8, 0.076
xfs, 8, 0.073
xfs, 8, 0.091
xfs, 16, 0.031
xfs, 16, 0.006
xfs, 16, 0.089
xfs, 16, 0.069
xfs, 16, 0.068
xfs, 32, 0.039
xfs, 32, 0.039
xfs, 32, 0.078
xfs, 32, 0.065
xfs, 32, 0.076

btrfs, .00390625, 0.095
btrfs, .00390625, 0.023
btrfs, .00390625, 0.015
btrfs, .00390625, 0.024
btrfs, .00390625, 0.032
btrfs, .0078125, 0.016
btrfs, .0078125, 0.025
btrfs, .0078125, 0.025
btrfs, .0078125, 0.039
btrfs, .0078125, 0.024
btrfs, .015625, 0.039
btrfs, .015625, 0.025
btrfs, .015625, 0.015
btrfs, .015625, 0.015
btrfs, .015625, 0.023
btrfs, .03125, 0.015
btrfs, .03125, 0.025
btrfs, .03125, 0.007
btrfs, .03125, 0.007
btrfs, .03125, 0.032
btrfs, .0625, 0.015
btrfs, .0625, 0.008
btrfs, .0625, 0.025
btrfs, .0625, 0.041
btrfs, .0625, 0.007
btrfs, .125, 0.007
btrfs, .125, 0.023
btrfs, .125, 0.032
btrfs, .125, 0.024
btrfs, .125, 0.015
btrfs, .25, 0.023
btrfs, .25, 0.041
btrfs, .25, 0.156
btrfs, .25, 0.023
btrfs, .25, 0.015
btrfs, .5, 0.015
btrfs, .5, 0.007
btrfs, .5, 0.015
btrfs, .5, 0.025
btrfs, .5, 0.023
btrfs, 1, 0.015
btrfs, 1, 0.007
btrfs, 1, 0.024
btrfs, 1, 0.023
btrfs, 1, 0.016
btrfs, 2, 0.015
btrfs, 2, 0.008
btrfs, 2, 0.016
btrfs, 2, 0.016
btrfs, 2, 0.015
btrfs, 3, 0.032
btrfs, 3, 0.016
btrfs, 3, 0.016
