pulls_performed filesystem_size aged_time aged_layout_score clean_time clean_layout_score
0 0 2.80580186844 0.991516251789  3.2333521843 0.989344176102
100 35195 3.43540596962 0.991335715731  3.31504797935 0.988966557018
200 35457 3.36176490784 0.991462556756  3.36992502213 0.989267209474
300 35614 3.52741718292 0.991724432772  3.44841599464 0.990091046553
400 37412 3.53947997093 0.991990196957  3.51993989944 0.990208958959
500 38093 3.83004689217 0.992095773835  3.44987821579 0.99012398201
600 38943 3.5158200264 0.992062592131  3.61297607422 0.990864600326
700 39612 3.89575004578 0.991650539121  3.50703787804 0.9904800722
800 40030 3.90787100792 0.992313584617  3.72127008438 0.990714245638
900 41344 4.1054520607 0.992164032911  3.74043607712 0.991149954509
1000 42129 4.11108517647 0.992221914567  3.82675695419 0.991001274156
1100 42956 4.17246794701 0.992536203134  3.87138581276 0.991469491039
1200 43880 4.0222299099 0.992368087389  3.88037586212 0.991173919698
1300 44563 4.27263712883 0.993009753832  4.07841515541 0.991549295775
1400 46157 4.22315192223 0.993303571429  4.23772001266 0.991338105059
1500 46540 4.18719792366 0.993239752948  4.12471985817 0.991464199709
1600 47309 4.47212195396 0.993033482823  4.39143896103 0.99151040209
1700 48649 4.62953901291 0.992829540575  4.3838160038 0.990219384636
1800 49034 4.68451809883 0.992644424305  4.76287007332 0.990672765815
1900 49988 4.9314520359 0.991852690052  4.8545999527 0.990160172969
2000 50516 5.13833808899 0.991367223491  5.38043689728 0.988997055853
2100 51536 5.4255130291 0.991087518608  5.59539318085 0.989212513484
2200 52309 5.55373883247 0.990186970154  5.64310407639 0.989081230614
2300 53091 6.10638189316 0.990020226692  6.12002301216 0.988569070463
2400 53500 6.20840215683 0.989954065056  6.04328489304 0.988686146055
2500 53695 6.82148814201 0.989542836573  6.31536412239 0.988859789704
2600 55487 6.87444496155 0.989211355356  6.26629281044 0.988893995098
2700 55831 6.78315711021 0.988757037679  6.45683312416 0.98917041275
2800 57302 6.97284007072 0.989054914138  6.76870703697 0.988904324607
2900 58773 7.17897701263 0.989100956864  6.78350114822 0.98925882311
3000 59560 7.06033921242 0.989407103872  6.84376478195 0.988708997682
3100 60655 7.31371617317 0.989510373444  6.97431302071 0.98946155962
3200 61398 7.51174497604 0.989427212303  6.9979698658 0.988976377953
3300 62267 7.58790493011 0.989345412786  6.77635788918 0.989539261085
3400 63519 7.94569802284 0.989740837779  7.08424305916 0.98984331556
3500 64632 7.92392086983 0.989506144429  7.24931097031 0.990575333757
3600 65616 7.70149707794 0.989612628141  7.48128199577 0.989682626926
3700 66592 8.06797003746 0.989829352548  7.36034584045 0.990338613034
3800 66624 7.93062090874 0.98993201962  7.6757581234 0.991039587641
3900 68744 8.04462885857 0.989769242726  7.46579504013 0.990349623562
4000 70032 8.32476806641 0.989855215207  7.77539801598 0.990204046092
4100 71079 8.23145318031 0.989956440918  7.77702999115 0.990597273783
4200 71349 8.43462300301 0.989991332142  7.80366396904 0.991034724658
4300 72791 8.6342651844 0.990034831022  8.04443883896 0.990599752479
4400 73548 8.83693504333 0.990180379286  7.88692712784 0.990833138343
4500 74327 8.76235890388 0.990331310265  7.82953190804 0.990658145227
4600 75065 8.81324386597 0.99029517227  7.98729395866 0.990875472305
