pulls_performed filesystem_size aged_time aged_layout_score clean_time clean_layout_score
0 0 3.05165696144 0.990686600609  3.17988991737 0.989371404518
100 35195 3.54093003273 0.989935010832  3.2235019207 0.989216935956
200 35457 3.63979005814 0.990220992698  3.21196699142 0.989567609272
300 35614 3.79622793198 0.990735096916  3.36639499664 0.990324032403
400 37412 3.75405883789 0.99109623831  3.36147999763 0.990670191261
500 38093 3.78073000908 0.99087838813  3.47276902199 0.990863254393
600 38943 3.80314302444 0.990800316063  3.3681101799 0.990936465818
700 35242 3.8960340023 0.989992743984  3.46191906929 0.9899636504
800 36561 3.97075891495 0.991062360349  3.26592898369 0.990744454386
900 37875 3.84994411469 0.990662719198  3.49688696861 0.990987189148
1000 38660 4.14245295525 0.991036184211  3.60504603386 0.990764014731
1100 39487 4.06721496582 0.991241586246  3.54535388947 0.990190487054
1200 40411 4.10090994835 0.991419491525  3.54811406136 0.990670651658
1300 36031 4.06454110146 0.990586185579  3.44288396835 0.990291849388
1400 37772 3.89876103401 0.990506602227  3.48080086708 0.990530700309
1500 38155 3.99214506149 0.990927869585  3.50939702988 0.990770042194
1600 38924 3.87469291687 0.990980318247  3.60234999657 0.991231306223
1700 40264 4.01983714104 0.991453667801  3.5974240303 0.990846554976
1800 40649 4.03979802132 0.991327173997  3.66231107712 0.991490396304
1900 41603 4.22343397141 0.991043877474  3.68823003769 0.99104161145
2000 42131 4.17900586128 0.991176102987  3.80805897713 0.991092065965
2100 43151 4.30048799515 0.991524195885  3.86244297028 0.991668143946
2200 43924 4.68522977829 0.991916776276  3.92587709427 0.992124404314
2300 38044 4.13135695457 0.991247912964  3.69579315186 0.990455665025
2400 39250 4.07478690147 0.991432389237  3.71810507774 0.990585602794
2500 39445 4.28342819214 0.99166977496  3.69862294197 0.99112007544
2600 41237 4.38750815392 0.991698391256  3.74050807953 0.991093694336
2700 41581 4.45487689972 0.991974204481  3.89846396446 0.992042702516
2800 43052 4.47320079803 0.992221792627  4.07112789154 0.991922455574
2900 44523 4.49077415466 0.992474318892  3.77398490906 0.991066984518
3000 39080 4.63585400581 0.99153968615  3.82627391815 0.991162004304
3100 40946 4.41065907478 0.991598448944  3.87361598015 0.991463414634
3200 41689 4.38924002647 0.991993632363  3.91228294373 0.991771445216
3300 42559 4.48692679405 0.992057188245  4.05362987518 0.991871071412
3400 43810 4.71742606163 0.992296687576  4.01453995705 0.992579869461
3500 44924 4.69618606567 0.99249358426  4.29615592957 0.992686733556
3600 45907 4.69873404503 0.992688000336  4.28474283218 0.992460841873
3700 40473 4.61251807213 0.992050765142  3.96083211899 0.991053629601
3800 41476 4.552932024 0.992159815734  4.1793680191 0.99204144981
3900 43596 4.57755708694 0.992152878359  4.06633114815 0.992613636364
4000 44884 4.57805299759 0.99250317662  4.17030692101 0.992077464789
4100 45931 4.77274894714 0.992733043769  4.26494503021 0.991572903644
4200 41575 4.71494889259 0.992211288116  4.09434700012 0.992297759554
4300 43744 4.82341504097 0.992395354883  4.24438405037 0.992047362375
4400 44501 4.8161919117 0.992321926112  4.28132414818 0.992171744552
4500 45280 4.75808906555 0.992536845406  4.44861602783 0.992592909745
4600 46018 4.91882705688 0.992566735113  4.25031995773 0.992492555467
4700 46879 4.81279397011 0.992670877875  4.36381220818 0.992490664906
4800 47162 4.92959809303 0.992627531809  4.1908121109 0.992142064373
4900 42367 4.772315979 0.99260960334  4.18123912811 0.992277659138
5000 44934 4.81971001625 0.992613659615  4.4156961441 0.992028679882
5100 45670 4.85760903358 0.992783319673  4.31624817848 0.992620457162
5200 47092 4.97985696793 0.992852425902  4.50145292282 0.993112641635
5300 47929 4.98426604271 0.99262340864  4.44546580315 0.992880722269
5400 48520 5.21766901016 0.992907396844  4.57353186607 0.992797632952
5500 49408 5.27652406693 0.993057102547  4.45639491081 0.992565827727
