pulls_performed filesystem_size aged_time aged_layout_score clean_time clean_layout_score
0 0 1.83967995644 0.991122295621  1.85268902779 0.988989796276
100 35195 1.97599983215 0.990995481127  1.87852907181 0.98913155632
200 35457 1.95092701912 0.990731041488  1.98012709618 0.989976791901
300 35614 2.04858708382 0.991425965339  1.97204303741 0.98953198028
400 37412 2.09663105011 0.991682318218  1.99023294449 0.990266202264
500 38093 2.13472604752 0.991597361629  2.10562515259 0.990297168233
600 38943 2.14265608788 0.991820970124  1.97425198555 0.989749281797
700 35242 2.04435420036 0.991027732463  1.94262504578 0.9897471599
800 36561 2.15199279785 0.991218632782  2.00976204872 0.98986112818
900 37875 2.1412358284 0.991868981028  2.06007504463 0.9906266899
1000 38660 2.16420102119 0.991752406697  2.1234588623 0.99082595358
1100 39487 2.22935914993 0.992120402432  2.13285803795 0.991327759671
1200 40411 2.28951907158 0.992103583963  2.14974498749 0.990913359295
1300 36031 2.03840112686 0.991322132944  1.94721293449 0.989978029915
1400 37817 2.09403085709 0.991565003255  2.06359982491 0.990786131947
1500 38200 2.12668013573 0.991764931192  2.08847999573 0.990217550007
1600 38969 2.17376708984 0.992214786573  2.11259508133 0.990919891378
1700 40309 2.1781771183 0.992116819216  2.08723187447 0.990882296229
1800 40694 2.26046705246 0.992421930628  2.17586708069 0.9911654591
1900 41648 2.22938203812 0.992302467738  2.212651968 0.990861653379
2000 42176 2.3024930954 0.991910101308  2.18702197075 0.991263215033
2100 43196 2.31882500648 0.99227322272  2.24316096306 0.991096650525
2200 43969 2.40935206413 0.992514154407  2.02080607414 0.990298633373
2300 38033 2.13296985626 0.991461802802  2.05481600761 0.990766007883
2400 39369 2.18755412102 0.991741332295  2.08752298355 0.991055456172
2500 39564 2.23796796799 0.99223090918  2.15161991119 0.991433407108
2600 41355 2.29500102997 0.992343069033  2.24086785316 0.991647588619
2700 41700 2.34037995338 0.992419486106  2.24477791786 0.991936469151
2800 43171 2.38525104523 0.992611171367  2.29349684715 0.991753350201
2900 44642 2.42265081406 0.992665525748  2.33773517609 0.992482594315
3000 39066 2.18139314651 0.991966772782  2.16767597198 0.991211840888
