pulls_performed filesystem_size aged_time aged_layout_score clean_time clean_layout_score
0 0 1.80919218063 0.991556894619  1.84383702278 1.0
100 35195 1.98571896553 0.991152208622  1.93062710762 1.0
200 35457 1.95509696007 0.990663670602  1.91785502434 1.0
300 35614 2.02606606483 0.991145833333  1.96127295494 1.0
400 37412 2.06693196297 0.991553499478  1.98844408989 0.971597633136
500 38093 2.1270031929 0.99148591121  2.04060792923 1.0
600 38943 2.14118599892 0.992143404147  2.07432794571 1.0
700 39612 2.21942090988 0.992097779722  2.17436003685 1.0
800 40030 2.2679169178 0.992160510231  2.16751599312 1.0
900 41344 2.31736111641 0.992316876914  2.2682890892 1.0
1000 42129 2.41995596886 0.99313390168  2.24067687988 1.0
1100 42956 2.52788209915 0.992955818295  2.26350212097 1.0
1200 43880 2.54769492149 0.992875156085  2.37041592598 1.0
1300 44563 2.54960799217 0.992895120689  2.42604804039 0.991666456224
1400 46157 2.57232117653 0.993080063663  2.46917390823 0.991365298659
1500 46540 2.64318203926 0.993145124921  2.50053191185 0.991417450378
1600 47309 2.66933608055 0.992800418885  2.54016113281 0.991455847255
1700 48649 2.74030399323 0.992640975397  2.62276506424 0.990975157935
1800 49034 2.75312709808 0.992226103254  2.61899614334 0.990213854021
1900 49988 2.84422397614 0.991638342682  2.72587513924 0.989368355222
2000 50516 2.81454014778 0.990972179574  2.73166489601 0.98924003519
2100 51536 2.92830896378 0.990825326046  2.87898111343 0.989021871971
2200 52309 2.94965195656 0.990479514475  2.88725018501 0.988242600762
2300 53091 3.00251483917 0.990092950312  2.92811083794 0.988138608828
2400 53500 3.096585989 0.989464558322  2.95740890503 0.988008177201
2500 53695 3.22477507591 0.989279829057  3.01734185219 0.988864405446
2600 55487 3.19477891922 0.989513108614  3.15628910065 0.988938536392
2700 55831 3.31384706497 0.989402074116  3.07125306129 0.988644674545
2800 57302 3.3367369175 0.989271753543  3.26606607437 0.988996029495
2900 58773 3.51820611954 0.989242721762  3.34411001205 0.98934800206
3000 59560 3.53243207932 0.98929521164  3.30909109116 0.989504731918
3100 60655 3.609333992 0.989599454179  3.46639609337 0.989416753513
3200 61398 3.65893387794 0.989548981969  3.52938699722 0.989937892509
