pulls_performed filesystem_size aged_time aged_layout_score clean_time clean_layout_score
0 286472 4.44189214706 0.95856911028 4.53994393349 0.958931571443 
100 290564 7.26335501671 0.943654193471 4.7821559906 0.957724076348 
200 295588 11.3551781178 0.930246335281 4.78372097015 0.956471478704 
300 304236 15.7441279888 0.91688405992 5.93881511688 0.954880862939 
400 310736 20.1500089169 0.905128205128 6.55729794502 0.951676047612 
500 316680 24.2419929504 0.89653014122 5.37455606461 0.953952337544 
600 322408 27.4855229855 0.892795310476 5.55520510674 0.952518669906 
700 300680 16.6701037884 0.91807083039 4.78905701637 0.95865144247 
800 309372 23.5807979107 0.873485891867 4.92287898064 0.955997517267 
900 315852 26.9423429966 0.889459873169 5.28197717667 0.953220559532 
1000 323272 32.8031709194 0.875611496127 5.29779195786 0.952873035313 
1100 329708 37.8057470322 0.866502630026 5.57129907608 0.951046314334 
1200 335708 41.80773592 0.858933548027 5.80127191544 0.950803822651 
1300 308668 25.4728329182 0.895732489076 4.81537103653 0.96117802797 
1400 313644 28.0659518242 0.8901683724 5.10242486 0.958296626419 
1500 319640 30.3497948647 0.882065890829 5.1572740078 0.957761608205 
1600 327140 35.2990870476 0.873255479203 5.49798893929 0.958180060514 
1700 332504 37.8882558346 0.868044554455 5.41611099243 0.957046763304 
1800 339028 40.8826320171 0.865251678271 5.61126303673 0.955286935287 
1900 345056 45.1421267986 0.855412411437 5.90904283524 0.954008438819 
2000 351468 49.2895030975 0.849932763364 6.01659202576 0.953808780976 
2100 358220 51.6945199966 0.84395545261 6.34965610504 0.952002158788 
2200 363308 55.074988842 0.839427430742 6.31838917732 0.950714036921 
2300 321480 31.93491292 0.884824010769 5.14138197899 0.96228627629 
2400 327432 35.382833004 0.875659933077 5.15508294106 0.958692787709 
2500 337516 39.6238839626 0.868227820584 5.60993885994 0.958528866092 
2600 345200 43.1752529144 0.863908768976 5.58907604218 0.959139221824 
2700 353872 49.8672640324 0.843364126352 5.91687488556 0.956180220497 
2800 363064 55.7381081581 0.842030516832 6.18887591362 0.95515086551 
2900 370520 60.7731378078 0.833795509437 6.28765892982 0.953251416709 
3000 332044 37.1148788929 0.878272349117 5.14575600624 0.96300761035 
3100 339952 42.5898311138 0.868171557562 5.41709089279 0.9620038462 
3200 347792 46.2433338165 0.859117979833 5.55855107307 0.9596283506 
3300 355936 51.3155639172 0.851802933785 5.84078192711 0.957021575607 
3400 365648 56.818002224 0.787385196326 6.03609991074 0.955777139316 
3500 373988 61.4709498882 0.836232684431 6.19133114815 0.953816059943 
3600 381688 67.6360590458 0.791712270882 6.64938497543 0.951202801462 
3700 343744 44.3812952042 0.842658583469 5.50264501572 0.963222313758 
3800 354200 50.0180501938 0.859471163464 5.64423298836 0.961947551806 
3900 362576 53.6334779263 0.850788107164 5.8155169487 0.96126447518 
4000 370024 57.5982730389 0.849411599724 6.26310396194 0.959888338706 
