pulls_performed filesystem_size aged_time aged_layout_score clean_time clean_layout_score
0 288504 28.3294258118 0.959905927689 12.1320741177 0.959809534607 
100 292900 14.2279281616 0.947383875388 12.0331561565 0.955426654553 
200 298460 20.5167849064 0.934903446288 36.515611887 0.95387192903 
300 307364 25.8363540173 0.919878377297 36.0270030499 0.953510082151 
400 313840 30.5095219612 0.905289931339 47.3698019981 0.953823212451 
500 319828 35.4633321762 0.891850704814 83.6578989029 0.953925774767 
600 298444 16.275220871 0.943392079562 24.8413929939 0.95961936625 
700 305076 20.8445000648 0.928883276689 34.4182729721 0.955242949554 
800 313844 30.1847939491 0.907424787528 41.2835080624 0.954004540828 
900 320264 35.5291209221 0.89013984211 13.873707056 0.95425013203 
1000 327760 39.9828081131 0.878290380995 71.1296210289 0.954405362946 
1100 334104 44.9400048256 0.865299595523 50.3171539307 0.954907910521 
1200 340188 49.6931371689 0.854504645943 58.2993061543 0.955053939962 
1300 350488 54.3931210041 0.844379467186 38.0823030472 0.955350441903 
1400 314332 25.4567368031 0.919912011246 29.884816885 0.957425201156 
1500 319988 30.6007230282 0.90329043598 23.6076209545 0.955971226698 
1600 327568 35.7451498508 0.891208514012 45.3348300457 0.955922467765 
1700 333836 39.8075990677 0.880780773684 68.9044761658 0.955912936617 
1800 340272 43.9492280483 0.872001019451 54.3188049793 0.956056690577 
1900 345476 48.4406340122 0.861410315544 52.7780790329 0.956218916797 
2000 351844 53.3476679325 0.850832430742 62.3417959213 0.956315395696 
2100 360688 58.1268091202 0.842112185178 45.7834010124 0.956458874174 
2200 363948 65.5371770859 0.833862125529 39.8715589046 0.956594990982 
2300 371056 71.4158439636 0.826272853937 40.171546936 0.956459717254 
2400 325836 28.0510270596 0.915236092044 13.0167429447 0.959919965772 
2500 334836 34.1878390312 0.89815250094 20.3999619484 0.957865649378 
2600 342392 39.3992910385 0.885913211319 53.6477019787 0.9579254897 
2700 352960 45.326155901 0.872041685343 75.5299060345 0.957811063524 
2800 362752 52.0692000389 0.859160005242 72.2346289158 0.958031648265 
2900 369624 58.775480032 0.847590838127 50.9087660313 0.958049437914 
3000 376924 69.9054150581 0.835562870862 40.0832850933 0.957775122125 
3100 382972 73.8292629719 0.826121301654 39.3396310806 0.958193911276 
3200 342896 34.2764651775 0.895816526449 42.1697268486 0.960010063375 
3300 349528 40.0988078117 0.882251043295 39.2858929634 0.958779745122 
3400 359208 46.0338039398 0.868478665411 44.4443750381 0.958532013549 
3500 367600 51.1619439125 0.858267885039 58.9727520943 0.958594770542 
3600 375280 56.7737979889 0.846387657349 42.4121639729 0.958791093593 
3700 348176 33.2635300159 0.903199042302 25.1989879608 0.963694184686 
3800 356132 39.0230538845 0.887218294666 41.2580668926 0.96047348986 
3900 367980 43.9010930061 0.876417000767 47.6115849018 0.959848361766 
4000 375600 49.0925691128 0.866550887931 81.5476958752 0.959861254018 
4100 381512 52.4474499226 0.858019546146 57.3009860516 0.960027121473 
4200 361316 37.3383970261 0.896173615077 40.5673720837 0.962718623597 
4300 364396 42.9277191162 0.880177466887 12.9657819271 0.959624541896 
4400 370324 46.7553839684 0.870001274914 54.2119181156 0.96032278326 
4500 376628 51.4422600269 0.861430616061 82.1733219624 0.960237674307 
4600 386964 56.4959049225 0.851184298412 60.7127599716 0.960173578619 
4700 389120 64.8371109962 0.841899271845 48.2431139946 0.960223766603 
4800 361292 37.1681940556 0.899344062754 36.8159520626 0.966110842506 
4900 370704 44.2106409073 0.881034611011 13.5588340759 0.961955743537 
5000 381376 49.6909348965 0.871336184416 53.1056640148 0.961094091446 
5100 387548 55.1327121258 0.862718323924 56.5136070251 0.961117179286 
5200 396352 61.1642770767 0.855207527843 49.0061130524 0.961254965056 
5300 402192 69.5168988705 0.847127902494 64.5244591236 0.96125265918 
5400 411176 77.0590469837 0.8366744141 46.3335249424 0.960948315085 
5500 418216 81.7879049778 0.827531810968 41.5672512054 0.961028964574 
5600 423680 87.6073110104 0.820571471426 39.4780418873 0.961200551331 
5700 384556 42.0979328156 0.894055269923 38.2580628395 0.966293574846 
5800 390092 46.9473829269 0.880672863205 13.9634790421 0.963541830127 
5900 400668 51.0227789879 0.872613806879 52.8430252075 0.962426017816 
6000 404420 55.7126040459 0.864489947224 69.7199959755 0.963295252705 
6100 414044 61.271458149 0.85739803513 56.1507709026 0.962562780226 
6200 419204 66.8904800415 0.850607260788 57.1260681152 0.962895279722 
6300 425516 76.1557099819 0.843877361986 16.3981730938 0.962764132662 
6400 436764 79.8185260296 0.83671201938 38.0208308697 0.96722109713 
6500 395704 43.1496560574 0.896303245227 37.0642230511 0.968642726469 
6600 406144 48.4939508438 0.880901371144 49.7381598949 0.964907859188 
6700 414896 53.4681999683 0.87049989027 64.8485531807 0.96368699047 
6800 429460 63.6821858883 0.857366742261 61.9304549694 0.964041748376 
6900 439428 73.6718349457 0.847427712091 50.6760208607 0.963961202856 
7000 446840 78.932874918 0.839072114746 43.9947388172 0.963729973061 
7100 453808 84.0651199818 0.83284631421 41.2111480236 0.963906100009 
7200 458428 89.5447540283 0.825643933536 43.9685869217 0.963847343992 
7300 333044 47.9722030163 0.855733720903 37.6286361217 0.958088508739 
7400 335896 52.5682570934 0.843078431601 51.5743927956 0.955981478225 
7500 352940 60.2600748539 0.827712584937 84.2509799004 0.956200630108 
7600 355348 68.7062561512 0.815276135321 65.6594851017 0.956539556314 
7700 361740 72.1608150005 0.784325863563 57.9537949562 0.956557671187 
7800 378528 81.2928068638 0.797646435197 35.2506399155 0.956379648788 
7900 350044 52.4384920597 0.846083255905 47.6109499931 0.958267085869 
8000 358064 57.4755990505 0.835051083921 57.3459141254 0.957479854139 
