pulls_performed filesystem_size aged_time aged_layout_score clean_time clean_layout_score
0 243277 15.0585598946 0.769654000446 14.424200058 0.774377333259 
100 315061 17.7798600197 0.762880771881 14.3867030144 0.765702095358 
200 320890 24.0678009987 0.752579476651 15.0692059994 0.765630742843 
300 330137 32.0093429089 0.742585352491 15.0873091221 0.756385015777 
400 337151 38.8135590553 0.736469842199 15.3692941666 0.751564546645 
500 342794 46.9777889252 0.718615301724 16.1830589771 0.75226539702 
600 349798 53.7645630836 0.720664089579 16.5363500118 0.742385801777 
700 325807 25.0252149105 0.763261733217 14.8225059509 0.772361991681 
800 335532 35.8629310131 0.747567560764 14.2675988674 0.760147458285 
900 342457 44.3766717911 0.739974094242 15.6410911083 0.756681231582 
1000 350215 52.7515280247 0.728836582938 16.5516729355 0.748958750029 
1100 354516 60.7886741161 0.719003509579 16.6447768211 0.744451116706 
1200 363922 69.6444399357 0.71624630391 17.2205250263 0.745728449728 
1300 330109 28.7398600578 0.780588854111 14.9904768467 0.78331134116 
1400 337401 33.5002501011 0.762947053429 14.9334468842 0.779071895425 
1500 344452 40.1973619461 0.753762051014 15.9382841587 0.769737602589 
1600 352360 48.6157748699 0.748061733779 15.5686790943 0.764170797867 
1700 358059 56.3625540733 0.742346847224 17.1463241577 0.757281999977 
1800 365541 64.607407093 0.732413033955 17.0792210102 0.756402439024 
1900 372298 74.448581934 0.728239103818 17.6147360802 0.751746003592 
2000 379481 83.0058550835 0.718061435517 18.0986220837 0.745210873846 
2100 386631 92.3126339912 0.718993522782 18.300178051 0.743324425441 
2200 392197 96.8635690212 0.709969207082 18.4813258648 0.740229763912 
2300 346270 36.7500360012 0.773131154596 15.9678809643 0.785866608778 
2400 353290 42.9384658337 0.766444386494 15.8255479336 0.777689845796 
2500 363859 52.4615869522 0.758275308627 15.9075820446 0.775234016519 
2600 372126 62.076816082 0.750964077874 16.3122889996 0.768567602563 
2700 381025 72.2845041752 0.741277543893 17.3588600159 0.761956311177 
