fs, operations, write.percentage, time.s
ext4, 10000, 50, 657.164099
ext4, 10000, 50, 661.617030
ext4, 10000, 50, 667.279797
ext4, 10000, 50, 564.579904
ext4, 10000, 50, 582.719408
ext4, 10000, 50, 574.627054

btrfs, 10000, 50, 839.646044
btrfs, 10000, 50, 761.674660
btrfs, 10000, 50, 691.435607
btrfs, 10000, 50, 691.269281

xfs, 10000, 50, 1000.368919
xfs, 10000, 50, 988.658745
xfs, 10000, 50, 993.483470
xfs, 10000, 50, 996.212886

zfs, 10000, 50, 186.397538
zfs, 10000, 50, 178.545463
zfs, 10000, 50, 182.612723
zfs, 10000, 50, 184.830456

#BetrFS-0.1, 10000, 50, 312.9464
#BetrFS-0.1, 10000, 50, 363.4724
#BetrFS-0.1, 10000, 50, 273.1716
#BetrFS-0.1, 10000, 50, 278.3334
#BetrFS-0.1, 10000, 50, 351.8732
#BetrFS-0.1, 10000, 50, 399.7307
#BetrFS-0.1, 10000, 50, 354.9644

BetrFS-0.1, 10000, 50, 506.2952
BetrFS-0.1, 10000, 50, 555.4904
BetrFS-0.1, 10000, 50, 637.6225
BetrFS-0.1, 10000, 50, 547.6894

#BetrFS-0.2, 10000, 50, 504.082967
#BetrFS-0.2, 10000, 50, 510.997303
#BetrFS-0.2, 10000, 50, 499.296072
#BetrFS-0.2, 10000, 50, 494.440234

# fast16 submission:
#BetrFS-0.2, 10000, 50, 418.079358
#BetrFS-0.2, 10000, 50, 425.97220
#BetrFS-0.2, 10000, 50, 418.160765
#BetrFS-0.2, 10000, 50, 423.736836

# with circle merge:
BetrFS-0.2, 10000, 50, 406.602222
BetrFS-0.2, 10000, 50, 419.683160
BetrFS-0.2, 10000, 50, 422.952542
BetrFS-0.2, 10000, 50, 417.617440
