fs, op, seq.or.rand, size.MB, time.s, throughput.MBps
BetrFS-0.2, read, seq, 10737.41824, 118.908, 90.3
BetrFS-0.2, read, seq, 10737.41824, 119.816, 89.6
BetrFS-0.2, read, seq, 10737.41824, 122.962, 87.3
BetrFS-0.2, read, seq, 10737.41824, 119.974, 89.5

BetrFS-0.2, write, seq, 10737.418240, 111.616088, 96.199557
BetrFS-0.2, write, seq, 10737.418240, 111.670089, 96.153037
BetrFS-0.2, write, seq, 10737.418240, 112.050094, 95.826945
BetrFS-0.2, write, seq, 10737.418240, 112.987404, 95.031993

BetrFS-0.2, write, random, 0.040000, 0.326322, 0.122578
BetrFS-0.2, write, random, 0.040000, 0.321832, 0.124288
BetrFS-0.2, write, random, 0.040000, 0.294479, 0.135833
BetrFS-0.2, write, random, 0.040000, 0.324823, 0.123144

ext4, write, seq, 10737.418240, 103.503680, 103.739483
ext4, write, seq, 10737.418240, 102.912484, 104.335429
ext4, write, seq, 10737.418240, 103.853598, 103.389950

ext4, read, seq, 10737.41824, 99.7655, 108
ext4, read, seq, 10737.41824, 99.8084, 108
ext4, read, seq, 10737.41824, 100.915, 106

ext4, write, random, 0.040000, 110.783530, 0.000361
ext4, write, random, 0.040000, 110.861342, 0.000361
ext4, write, random, 0.040000, 111.636182, 0.000358

ext4, write, seq, 10737.418240, 103.336560, 103.907254
ext4, read, seq, 10737.41824, 99.6841, 108
ext4, write, random, 0.040000, 111.532767, 0.000359

xfs, write, seq, 10737.418240, 100.798643, 106.523440
xfs, write, seq, 10737.418240, 101.818503, 105.456453
xfs, write, seq, 10737.418240, 100.839085, 106.480719
xfs, write, seq, 10737.418240, 101.270354, 106.027261

xfs, read, seq, 10737.41824, 99.1383, 108
xfs, read, seq, 10737.41824, 99.2965, 108
xfs, read, seq, 10737.41824, 100.245, 107
xfs, read, seq, 10737.41824, 99.5129, 108

xfs, write, random, 0.040000, 111.454742, 0.000359
xfs, write, random, 0.040000, 110.776310, 0.000361
xfs, write, random, 0.040000, 111.331830, 0.000359
xfs, write, random, 0.040000, 110.550087, 0.000362

btrfs, read, seq, 10737.41824, 104.116, 103
btrfs, read, seq, 10737.41824, 102.426, 105
btrfs, read, seq, 10737.41824, 103.192, 104
btrfs, read, seq, 10737.41824, 102.776, 104

btrfs, write, seq, 10737.418240, 102.931270, 104.316388
btrfs, write, seq, 10737.418240, 104.244890, 103.001867
btrfs, write, seq, 10737.418240, 103.733327, 103.509822
btrfs, write, seq, 10737.418240, 103.225568, 104.018980

btrfs, write, random, 0.040000, 104.342656, 0.000383
btrfs, write, random, 0.040000, 103.827294, 0.000385
btrfs, write, random, 0.040000, 104.547518, 0.000383
btrfs, write, random, 0.040000, 103.996039, 0.000385

zfs, write, seq, 10737.418240, 133.345091, 80.523536
zfs, write, seq, 10737.418240, 140.820318, 76.249070
zfs, write, seq, 10737.418240, 140.793762, 76.263452
zfs, write, seq, 10737.418240, 138.793165, 77.362730

zfs, read, seq, 10737.41824, 101.313, 106
zfs, read, seq, 10737.41824, 117.009, 91.8
zfs, read, seq, 10737.41824, 113.782, 94.4
zfs, read, seq, 10737.41824, 105.523, 102

zfs, write, random, 0.040000, 123.879110, 0.000323
zfs, write, random, 0.040000, 151.085478, 0.000265
zfs, write, random, 0.040000, 125.037159, 0.000320
zfs, write, random, 0.040000, 127.441474, 0.000314

BetrFS-0.1, write, seq, 10737.418240, 386.015684, 27.816015
BetrFS-0.1, write, seq, 10737.418240, 384.971332, 27.891475
BetrFS-0.1, write, seq, 10737.418240, 385.886273, 27.825344
BetrFS-0.1, write, seq, 10737.418240, 383.209917, 28.019677

BetrFS-0.1, read, seq, 10737.41824, 141.151, 76.1
BetrFS-0.1, read, seq, 10737.41824, 139.02, 77.2
BetrFS-0.1, read, seq, 10737.41824, 138.987, 77.3
BetrFS-0.1, read, seq, 10737.41824, 140.343, 76.5

BetrFS-0.1, write, random, 0.040000, 0.592337, 0.067529
BetrFS-0.1, write, random, 0.040000, 0.395421, 0.101158
BetrFS-0.1, write, random, 0.040000, 0.503393, 0.079461
BetrFS-0.1, write, random, 0.040000, 0.437242, 0.091483

