pulls_performed	filesystem_size	aged_time	aged_layout_score	clean_time	clean_layout_score
0	2929968	770.721637		62.45826292	nan
100	2909980	704.7096541		53.808213	nan
200	2909504	739.3292511		54.63857007	nan
300	2908588	830.1980991		53.38755989	nan
400	2904960	922.4128768		52.8752892	nan
500	2897016	865.1534882		55.25024199	nan
600	2897940	910.9964719		55.56192803	nan
700	2899096	973.2760549		54.22311401	nan
800	2899600	1040.305094		55.40233397	nan
900	2905148	1060.030806		52.90289283	nan
1000	2909872	1093.859796		54.51688981	nan
1100	2910552	1109.984571		54.84601903	nan
1200	2912164	1156.382219		53.97905493	nan
1300	2911072	1134.552347		56.95572495	nan
1400	2910396	1156.188519		53.55210519	nan
1500	2908568	1224.434975		55.50149012	nan
1600	2909228	1190.439003		53.2622602	nan
1700	2907244	1220.482231		54.18034601	nan
1800	2909476	1233.213542		55.56525683	nan
1900	2910564	1293.030872		55.41851711	nan
2000	2911344	1260.823235		58.23380184	nan
2100	2917196	1327.457791		52.49119186	nan
2200	2926220	1290.322671		53.37612009	nan
2300	2928668	1347.89012		57.04963899	nan
2400	2923124	1386.729874		54.71905398	nan
2500	2916744	1300.665272		52.58850789	nan
2600	2916180	1329.067546		55.67796683	nan
2700	2911292	1352.256142		58.8082602	nan
2800	2909260	1343.644797		61.1067009	nan
2900	2911620	1390.392319		54.55516315	nan
3000	2909996	1376.791679		55.38877702	nan
3100	2916608	1396.248522		53.7609539	nan
3200	2923288	1418.010731		55.67879415	nan
3300	2929364	1416.086712		54.34811711	nan
3400	2932160	1471.686951		55.79154181	nan
3500	2934732	1430.81683		63.91598082	nan
3600	2940600	1493.287957		60.12375808	nan
3700	2946328	1458.363273		53.25913191	nan
3800	2948516	1465.014889		53.59201813	nan
3900	2951820	1522.838546		58.69127512	nan
4000	2952232	1512.011195		53.58849907	nan
4100	2950464	1521.721157		53.50952387	nan
4200	2951492	1482.845468		55.6808269	nan
4300	2950728	1543.010099		59.43896794	nan
4400	2953640	1504.85404		52.64175701	nan
4500	2958152	1514.537411		54.015028	nan
4600	2955688	1492.929642		56.93151498	nan
4700	2958324	1495.054808		53.52713704	nan
4800	2955580	1506.944229		55.71833205	nan
4900	2956556	1506.975612		60.76504993	nan
5000	2956100	1526.246118		58.24457788	nan
5100	2958844	1552.155598		55.79809499	nan
5200	2962740	1535.641389		54.34141183	nan
5300	2963248	1535.617679		55.647892	nan
5400	2957740	1570.002546		56.63111401	nan
5500	2955972	1573.533148		55.6886301	nan
5600	2960604	1563.349661		59.37631297	nan
5700	2968264	1528.494548		55.49788499	nan
5800	2971468	1538.945477		57.042629	nan
5900	2970844	1551.371198		53.84562898	nan
6000	2970144	1546.103852		55.08268905	nan
6100	2970912	1546.325406		59.24527097	nan
6200	2971676	1546.060919		55.43118596	nan
6300	2975264	1553.093159		54.29002905	nan
6400	2977724	1551.459735		54.69238019	nan
6500	2974232	1556.138668		54.41670108	nan
6600	2971012	1554.006007		56.2153089	nan
6700	2974512	1550.27158		56.37083721	nan
6800	2976800	1579.345616		55.04123306	nan
6900	2979152	1567.842151		57.73854709	nan
7000	2979676	1552.82471		56.12349796	nan
7100	2975996	1601.639184		58.52356601	nan
7200	2977668	1562.266018		55.23222113	nan
7300	2978904	1566.377592		56.17557716	nan
7400	2979280	1571.916784		54.77251792	nan
7500	2978884	1587.97243		54.0367589	nan
7600	2978928	1569.513263		56.74219298	nan
7700	2975860	1561.892205		54.74086094	nan
7800	2978476	1574.324803		53.04708409	nan
7900	2979000	1574.396879		52.89404607	nan
8000	2980448	1595.148396		60.12718391	nan
8100	2984088	1590.681716		53.66171598	nan
8200	2979292	1571.161007		54.02903605	nan
8300	2980696	1581.149557		58.20314384	nan
8400	2983052	1569.76336		56.57954597	nan
8500	2985516	1588.808371		55.37227702	nan
8600	2987160	1597.994957		58.02035403	nan
8700	2987564	1574.464318		55.91184497	nan
8800	2990188	1577.314636		56.70739198	nan
8900	2987140	1584.02464		56.15379882	nan
9000	2980744	1594.69848		56.98088098	nan
9100	2983304	1591.436724		57.57765889	nan
9200	2980508	1592.788628		53.46908498	nan
9300	2979820	1573.540305		54.23442912	nan
9400	2979328	1596.766838		55.4809649	nan
9500	2974872	1576.972669		53.5617559	nan
9600	2979776	1625.758425		57.07487702	nan
9700	2978984	1589.967571		56.09179997	nan
9800	2982520	1588.816112		59.08062911	nan
9900	2981604	1617.451815		54.58306694	nan
