pulls_performed	filesystem_size	aged_time	aged_layout_score	clean_time	clean_layout_score
0	2962328	1281.760819		650.835645	nan
100	2943912	1305.775782		655.485194	nan
200	2944020	1317.893861		661.678946	nan
300	2943668	1338.936406		645.552552	nan
400	2936396	1343.324607		661.907409	nan
500	2926432	1391.186552		658.7343299	nan
600	2928060	1386.348239		658.6798739	nan
700	2928324	1418.194368		657.497627	nan
800	2930684	1459.027661		652.7486038	nan
900	2932524	1479.722279		652.8983061	nan
1000	2935892	1499.80641		659.5350728	nan
1100	2935612	1543.780878		646.1506588	nan
1200	2937660	1566.586399		664.3043871	nan
1300	2942392	1589.05699		647.998703	nan
1400	2941756	1598.589861		666.0440118	nan
1500	2946168	1627.523846		655.007349	nan
1600	2949196	1647.555373		647.6395979	nan
1700	2950856	1683.243707		670.094804	nan
1800	2953700	1706.914155		665.9031019	nan
1900	2952804	1703.184186		652.2643011	nan
2000	2949704	1720.01721		660.6957269	nan
2100	2950832	1749.589795		649.9354	nan
2200	2953840	1783.71106		651.0252378	nan
2300	2956552	1796.381393		658.849365	nan
2400	2957788	1807.621508		658.366811	nan
2500	2952532	1809.852958		662.3437541	nan
2600	2953992	1856.012536		649.7863638	nan
2700	2950452	1865.206887		665.2718081	nan
2800	2949448	1886.02207		662.5212989	nan
2900	2948848	1885.503035		652.4347332	nan
3000	2950352	1920.909861		667.457289	nan
3100	2946604	1946.358866		663.953455	nan
3200	2946208	1953.916028		659.307061	nan
3300	2945684	2035.252508		652.956779	nan
3400	2946488	1992.73449		652.0221159	nan
3500	2947600	2017.331705		656.5776081	nan
3600	2953576	2022.118294		667.6569521	nan
3700	2957180	2051.31163		657.9868	nan
3800	2957744	2066.467588		662.3728049	nan
3900	2959324	2079.011588		659.371258	nan
4000	2964464	2100.872206		653.8621531	nan
4100	2962188	2105.636226		669.8558969	nan
4200	2962800	2128.289982		652.2837801	nan
4300	2967016	2149.844526		644.4697111	nan
4400	2969580	2158.728494		652.665489	nan
4500	2965864	2185.51769		658.4335172	nan
4600	2962424	2196.720076		649.8375371	nan
4700	2963696	2208.010065		653.9808969	nan
4800	2961232	2231.004936		646.133235	nan
4900	2961540	2221.10733		659.9061642	nan
5000	2966384	2276.023413		723.3995712	nan
5100	2964952	2286.402136		638.3161492	nan
5200	2963532	2280.152806		656.3071411	nan
5300	2961680	2283.527014		648.883534	nan
5400	2963944	2317.113672		659.037534	nan
5500	2965788	2332.079817		640.1264248	nan
5600	2966192	2353.261116		658.676636	nan
5700	2966044	2347.663112		654.302119	nan
5800	2969664	2458.287427		640.6353421	nan
5900	2973116	2394.129231		657.518074	nan
6000	2974784	2403.876171		650.6836269	nan
6100	2977596	2418.449666		640.432519	nan
6200	2979360	2458.693729		651.9413252	nan
6300	2983664	2452.368005		635.08499	nan
6400	2982804	2483.861667		648.2674789	nan
6500	2979504	2505.069093		660.7475719	nan
6600	2977132	2475.67726		665.441577	nan
6700	2977668	2523.854363		638.9020579	nan
6800	2980180	2531.810292		655.6633341	nan
6900	2987172	2548.812231		640.4648569	nan
7000	2988408	2556.494361		636.0601099	nan
7100	2987112	2580.185666		646.4608359	nan
7200	2993112	2580.85206		636.342746	nan
7300	2995376	2578.227444		635.3649092	nan
7400	2994124	2599.844409		649.2136319	nan
7500	2997988	2551.362569		683.0110462	nan
7600	2999948	2626.126377		644.760282	nan
7700	3001780	2612.092266		643.922276	nan
7800	3002920	2637.850704		632.5442479	nan
7900	3001472	2656.879498		644.766134	nan
8000	2999724	2700.643287		652.6531749	nan
8100	3005920	2677.42855		652.8340731	nan
8200	3008848	2670.35103		641.021251	nan
8300	3014208	2706.46129		639.336627	nan
8400	3013804	2665.382745		642.5828402	nan
8500	3017368	2713.74026		643.3557639	nan
8600	3017396	2708.884985		633.1383989	nan
8700	3020192	2688.997419		620.5098381	nan
8800	3020384	2710.165608		636.2104881	nan
8900	3026732	2709.539622		635.0468268	nan
9000	3028180	2701.534457		628.625865	nan
9100	3031432	2756.264463		637.6692538	nan
9200	3030496	2775.598626		638.710171	nan
9300	3030816	2793.723801		633.8783948	nan
9400	3034728	2723.620016		625.5529439	nan
9500	3036740	2785.951512		633.9031191	nan
9600	3036540	2776.912146		614.9740691	nan
9700	3035812	2800.86582		639.3840399	nan
9800	3039208	2807.098305		644.8863361	nan
9900	3041656	2829.575036		636.9122481	nan
