pulls_performed	filesystem_size	aged_time	aged_layout_score	clean_time	clean_layout_score
0	2940744	1021.727593		276.5099211	nan
100	2932324	620.33711		200.9070189	nan
200	2935132	682.4095001		207.2253208	nan
300	2939136	716.356169		195.6152139	nan
400	2938448	754.834337		203.82497	nan
500	2933640	786.5420961		209.3346639	nan
600	2936272	804.453558		196.821341	nan
700	2935688	815.7441401		200.9295831	nan
800	2941144	852.5375969		195.5822041	nan
900	2941088	876.9550281		201.0316341	nan
1000	2940968	894.6165578		205.5960591	nan
1100	2942828	912.6716969		238.144213	nan
1200	2947276	952.9205241		203.7544501	nan
1300	2945596	945.5745811		203.986501	nan
1400	2943468	988.957099		204.295069	nan
1500	2944856	996.5904799		202.6660509	nan
1600	2942032	1010.01564		202.9154069	nan
1700	2944200	1031.485356		195.419889	nan
1800	2943760	1029.171785		201.2481921	nan
1900	2943120	1051.162193		204.1161668	nan
2000	2945744	1073.1396		202.2742982	nan
2100	2947700	1082.928657		200.602633	nan
2200	2949704	1104.661413		198.7468851	nan
2300	2949972	1105.546423		204.825912	nan
2400	2950572	1111.995572		201.6979711	nan
2500	2948520	1116.321823		205.462363	nan
2600	2947572	1134.081856		193.965987	nan
2700	2950212	1136.113686		201.9808669	nan
2800	2952244	1152.908628		204.48564	nan
2900	2952752	1160.706413		200.8929999	nan
3000	2953564	1169.165491		194.1138639	nan
3100	2952072	1172.890346		193.1006219	nan
3200	2953912	1185.850381		186.473989	nan
3300	2951744	1182.88775		202.700279	nan
3400	2955952	1198.250074		198.2937961	nan
3500	2952124	1205.497607		200.1974101	nan
3600	2955128	1217.876582		202.1445651	nan
3700	2954144	1216.311221		202.1292169	nan
3800	2951260	1218.183919		194.966125	nan
3900	2950824	1221.041822		199.7244611	nan
4000	2947260	1224.567995		193.955934	nan
4100	2946244	1224.57742		196.8574638	nan
4200	2947288	1227.872059		205.1566472	nan
4300	2950096	1237.434122		198.2702401	nan
4400	2952452	1235.925349		197.7996781	nan
4500	2950556	1237.609138		205.185149	nan
4600	2946652	1241.246306		198.6266298	nan
4700	2943196	1287.419251		205.5101089	nan
4800	2942304	1238.822583		202.700104	nan
4900	2939424	1241.494761		193.612941	nan
5000	2937692	1242.336147		199.8620059	nan
5100	2937888	1246.205681		201.512157	nan
5200	2938836	1248.363796		210.794543	nan
5300	2940048	1245.461329		202.6083839	nan
5400	2938724	1254.595839		203.612391	nan
5500	2943584	1257.907697		195.293164	nan
5600	2944548	1257.815216		203.6819999	nan
5700	2944260	1257.297671		201.5176709	nan
5800	2944464	1259.748502		204.0715601	nan
5900	2948072	1264.085788		202.6920741	nan
6000	2945840	1263.026673		196.5584369	nan
6100	2944276	1264.136975		190.7652068	nan
6200	2947324	1264.30558		193.919816	nan
6300	2947728	1259.523007		198.3219941	nan
6400	2944924	1264.244773		198.4850199	nan
6500	2944284	1264.76702		206.219629	nan
6600	2945624	1272.273116		202.6738751	nan
6700	2943128	1260.429933		200.596802	nan
6800	2942512	1275.388868		198.619509	nan
6900	2942848	1260.405856		200.6925051	nan
7000	2943104	1267.895401		200.170475	nan
7100	2946332	1266.050111		205.5725362	nan
7200	2945084	1268.975779		188.644609	nan
7300	2944004	1266.536371		193.2104959	nan
7400	2944272	1267.419789		203.4357359	nan
7500	2946200	1265.080978		196.4440501	nan
7600	2948792	1268.864208		196.027034	nan
7700	2949028	1270.432482		194.8768911	nan
7800	2950596	1296.714788		201.088418	nan
7900	2950852	1275.124194		191.352741	nan
8000	2953020	1269.253145		189.2932951	nan
8100	2955956	1275.530458		200.2817008	nan
8200	2954416	1279.450499		202.482343	nan
8300	2956152	1275.789019		202.052736	nan
8400	2951988	1277.743014		194.166625	nan
8500	2946052	1279.966798		193.1409829	nan
8600	2949792	1280.771206		204.3288338	nan
8700	2946064	1270.766439		205.32827	nan
8800	2946132	1270.832666		209.944514	nan
8900	2948144	1273.780546		197.402683	nan
9000	2954104	1281.718617		197.598346	nan
9100	2953180	1279.058674		205.164341	nan
9200	2953564	1279.768346		194.54421	nan
9300	2955256	1277.497359		199.5098782	nan
9400	2956316	1278.050004		200.59584	nan
9500	2957272	1275.024577		199.727042	nan
9600	2954636	1276.263275		195.3059061	nan
9700	2954668	1274.258793		199.6479511	nan
9800	2955008	1275.69806		201.2324729	nan
9900	2954284	1276.875857		190.2047679	nan
