pulls_performed	filesystem_size	aged_time	aged_layout_score	clean_time	clean_layout_score
0	3062187	843.117646			nan
100	3037061	931.8671029			nan
200	3039900	991.6662769			nan
300	3041118	1098.069631			nan
400	3032112	1200.756256			nan
500	3043415	1307.670617			nan
600	3035355	1389.427504			nan
700	3038184	1422.543629			nan
800	3048421	1521.050284			nan
900	3044479	1527.271119			nan
1000	3046195	1581.052014			nan
1100	3045241	1638.856474			nan
1200	3053623	1693.145768			nan
1300	3051214	1646.136478			nan
1400	3050224	1712.159435			nan
1500	3045934	1762.496598			nan
1600	3045868	1783.058576			nan
1700	3050574	1816.242303			nan
1800	3064434	1830.322511			nan
1900	3099564	1969.947072			nan
2000	3179659	2168.278424			nan
2100	3255725	2474.664754			nan
2200	3327685	2678.337335			nan
2300	3388223	2854.005929			nan
2400	3429689	3092.370846			nan
2500	3465969	3240.993939			nan
2600	3486862	3362.488222			nan
2700	3497579	3475.230369			nan
2800	3530529	3651.30291			nan
2900	3576213	3882.745405			nan
3000	3615851	3957.31954			nan
3100	3634491	3601.556775			nan
3200	3643523	3688.438189			nan
3300	3650711	3788.077666			nan
3400	3657963	3910.913766			nan
3500	3655657	3938.462363			nan
3600	3656796	4016.353796			nan
3700	3658532	4097.337008			nan
3800	3661717	4159.595718			nan
3900	3660035	4176.362175			nan
4000	3659495	4194.53066			nan
4100	3663177	4479.675138			nan
4200	3667571	4469.428601			nan
4300	3670298	4579.634744			nan
4400	3683251	5043.127833			nan
