fs, data.set, circle.size.4kb, op, time.s
BetrFS-0.2, linuxsrc, 2048, grep, 4.185
BetrFS-0.2, linuxsrc, 2048, grep, 4.692
BetrFS-0.2, linuxsrc, 2048, grep, 4.060
BetrFS-0.2, linuxsrc, 2048, grep, 4.220
BetrFS-0.2, linuxsrc, 2048, grep, 4.207
BetrFS-0.2, linuxsrc, 2048, grep, 4.598
BetrFS-0.2, linuxsrc, 2048, grep, 4.290
BetrFS-0.2, linuxsrc, 2048, grep, 4.432
BetrFS-0.2, linuxsrc, 2048, grep, 4.823
BetrFS-0.2, linuxsrc, 2048, grep, 4.407
BetrFS-0.2, linuxsrc, 2048, grep, 4.149
BetrFS-0.2, linuxsrc, 2048, grep, 4.248
BetrFS-0.2, linuxsrc, 2048, grep, 4.273
BetrFS-0.2, linuxsrc, 2048, grep, 4.290
BetrFS-0.2, linuxsrc, 2048, grep, 4.315
BetrFS-0.2, linuxsrc, 2048, grep, 4.964
BetrFS-0.2, linuxsrc, 2048, grep, 4.340
BetrFS-0.2, linuxsrc, 2048, grep, 4.257
BetrFS-0.2, linuxsrc, 2048, grep, 4.348
BetrFS-0.2, linuxsrc, 2048, grep, 5.023
BetrFS-0.2, linuxsrc, 2048, grep, 4.307
BetrFS-0.2, linuxsrc, 2048, grep, 4.257
BetrFS-0.2, linuxsrc, 2048, grep, 4.981
BetrFS-0.2, linuxsrc, 2048, grep, 4.290
BetrFS-0.2, linuxsrc, 2048, grep, 4.307
BetrFS-0.2, linuxsrc, 2048, grep, 4.257
BetrFS-0.2, linuxsrc, 2048, grep, 4.265
BetrFS-0.2, linuxsrc, 2048, grep, 4.224
BetrFS-0.2, linuxsrc, 2048, grep, 4.323
BetrFS-0.2, linuxsrc, 2048, grep, 4.956
BetrFS-0.2, linuxsrc, 2048, grep, 4.298
BetrFS-0.2, linuxsrc, 2048, grep, 4.273
BetrFS-0.2, linuxsrc, 2048, grep, 4.390
BetrFS-0.2, linuxsrc, 2048, grep, 4.298
BetrFS-0.2, linuxsrc, 2048, grep, 4.257
BetrFS-0.2, linuxsrc, 2048, grep, 4.257
BetrFS-0.2, linuxsrc, 2048, grep, 4.914
BetrFS-0.2, linuxsrc, 2048, grep, 4.307
BetrFS-0.2, linuxsrc, 2048, grep, 4.290
BetrFS-0.2, linuxsrc, 2048, grep, 4.257
BetrFS-0.2, linuxsrc, 2048, grep, 4.340
BetrFS-0.2, linuxsrc, 2048, grep, 4.265
BetrFS-0.2, linuxsrc, 2048, grep, 4.299
BetrFS-0.2, linuxsrc, 2048, grep, 4.906
BetrFS-0.2, linuxsrc, 2048, grep, 4.224
BetrFS-0.2, linuxsrc, 2048, grep, 4.217
BetrFS-0.2, linuxsrc, 2048, grep, 4.698
