discontiguitylength ext4random ext4ordered btrfsrandom btrfsordered betrfsrandom betrfsordered
1 110 1111 1712 1606 21 18
2 13 2988 1036 990 5 10
4 23 4828 392 781 13 10
8 39 6630 284 400 60 60
16 70 7694 281 169 27 46
32 38 7676 453 61 63 70
64 86 6728 674 109 77 85
128 157 5044 1257 215 45 63
256 273 3164 1688 115 6 24
512 508 1736 2195 21 25 31
1024 996 1155 2939 11 49 68
2048 1803 622 3313 14 122 130
4096 3083 161 3213 2 96 143
8192 4852 682 2578 739 36 86
16384 7185 499 1721 925 61 42
32768 14064 2130 4778 1522 86 101
65536 15781 2265 8051 1757 119 214
131072 7050 1689 2779 53 181 157
262144 1864 67 909 45 284 78
524288 1415 96 4262 6 141 47
1048576 0 1 0 1 0 1
2097152 0 0 0 0 0 0
4194304 0 0 0 0 0 0
8388608 0 0 0 0 0 0
16777216 0 0 0 0 0 0
33554432 0 0 0 0 0 0
