16kbchunks betrfsaged betrfsclean ext4aged ext4clean xfsaged xfsclean btrfsaged btrfsclean zfsaged zfsclean betrfsagedlayout betrfscleanlayout ext4agedlayout ext4cleanlayout xfsagedlayout xfscleanlayout btrfsagedlayout btrfscleanlayout zfsagedlayout zfscleanlayout
1 19.61875 16.884375 173.620625 175.7264404 47.18875 82.66690063 111.694375 111.749375 94.463125 108.318125 1 1 0.1238938053 0.1150442478 0.9345794393 0.9345794393 0.8928571429 0.8928571429 0.009615384615 0.01923076923
2 37.6571875 12.5015625 120.0121875 76.4818039 77.505625 40.48293304 65.1621875 66.286875 67.9396875 53.2325 0.9950738916 1 0.05633802817 0.5305164319 0.0193236715 0.9661835749 0.04225352113 0.9433962264 0.4950980392 0.4950980392
3 10.21416667 41.04479167 104.9275 89.5185852 79.46708334 26.90291341 125.6702083 43.789375 70.84708333 77.39791667 0.9967105263 1 0.03833865815 0.6805111821 0.01302931596 0.9771986971 0.0253968254 0.9615384615 0.6611842105 0.6611842105
4 9.47984375 34.04796875 127.9754687 64.40017319 113.5607812 27.77709961 121.84125 31.8571875 76.24984375 35.73953125 1 1 0.02905569007 0.7554479419 0.009828009828 0.9828009828 0.01909307876 0.9661016949 0.7475247525 0.7475247525
5 22.345125 9.002 146.332375 70.68008117 118.17925 27.02561646 142.4485 26.307125 65.823875 40.185125 0.9963235294 1 0.01957585644 0.8070175439 0.007889546351 0.9861932939 0.01919385797 0.9765625 0.7956349206 0.7996031746
6 8.594895833 30.32479167 141.5001042 61.4099121 115.4779167 22.13993327 129.7022917 22.2634375 50.26135417 24.3628125 0.9983525535 1 0.01683029453 0.836867863 0.006589785832 0.9884678748 0.01762820513 0.9803921569 0.8294701987 0.8294701987
7 8.436607143 18.83660714 158.2510714 48.32473537 109.4024107 18.4722181 132.3759821 19.30241071 43.62714286 56.98294643 1 1 0.0147601476 0.8597475456 0.005657708628 0.9900990099 0.01923076923 0.9831460674 0.8536931818 0.8536931818
8 8.380390625 22.50148438 143.3724218 43.11628341 97.63453125 19.80432129 116.5989844 20.60648438 44.96234375 53.52296875 0.9965237543 1 0.01314348302 0.87699877 0.004956629492 0.9913258984 0.01688781665 0.9852216749 0.8718905473 0.8731343284
9 18.54520833 8.195486111 111.0782639 52.54765489 120.3579167 20.12053256 115.33875 18.06784722 58.83826389 46.44666667 0.9989583333 1 0.01184600197 0.8893756846 0.00441014333 0.9922822492 0.01178992497 0.9835886214 0.8860619469 0.8860619469
10 8.085875 26.216 156.422125 44.26531067 116.925625 13.84575805 113.2055625 18.723875 48.862125 50.4184375 0.997032641 1 0.01078167116 0.9012833169 0.003613369467 0.9930486594 0.0115942029 0.9852071006 0.8974103586 0.8994023904
11 14.14647727 6.999488636 155.8386363 46.17476446 124.8179545 18.47916482 114.6446023 17.04789773 48.11318182 49.39698864 0.9947780679 0.9982046679 0.0098928277 0.9092542677 0.003314001657 0.9936766034 0.01143359719 0.986535009 0.9067028986 0.9085144928
12 16.82484375 15.85885417 115.986875 41.45195135 113.2046875 14.54570135 112.5913021 16.63411458 46.67713542 46.47177083 0.9953379953 0.9983539095 0.009139375476 0.9167353669 0.003060443764 0.9942004971 0.01209677419 0.9876441516 0.9144518272 0.915282392
13 11.84990385 14.26447115 140.4490866 40.19098957 102.9558654 13.48854417 105.8799519 16.53461538 50.49538462 37.99639423 0.9963609898 0.9984802432 0.008492569002 0.9238385377 0.002842928216 0.9946442234 0.01042442293 0.9885844749 0.9210122699 0.9210122699
14 16.20125 13.7225 133.7704018 44.58550698 121.0779465 13.98833465 109.3370982 14.99857143 56.58959821 44.48678571 0.9952893674 0.9985885674 0.007931262393 0.9285208776 0.002654280027 0.9950248756 0.01106500692 0.9893917963 0.9266381766 0.9273504274
15 12.60583333 19.83329167 134.4653334 41.72036947 106.4757083 13.50976359 109.3694167 17.32070833 48.37679167 26.57141667 0.9980506823 0.9986824769 0.007439553627 0.9358889623 0.002489110143 0.99535501 0.009032258065 0.9900924703 0.9315159574 0.9315159574
