16kbchunks betrfsaged betrfsclean ext4aged ext4clean xfsaged xfsclean btrfsaged btrfsclean zfsaged zfsclean betrfsagedlayout betrfscleanlayout ext4agedlayout ext4cleanlayout xfsagedlayout xfscleanlayout btrfsagedlayout btrfscleanlayout zfsagedlayout zfscleanlayout
1 27.525 27.59379578 50.776875 50.03694153 32.301875 32.30401612 33.4 34.87590027 69.630625 69.64920044 1 1 0.1140350877 0.01906895638 0.9351851852 0.9351851852 0.9363636364 0.9363636364 -0.0198019802 -0.009900990099
2 16.0590625 16.59525299 27.8425 32.03907013 18.2678125 16.31623078 19.7265625 18.85089111 36.229375 40.18138885 0.9950738916 1 0.06074766355 0.02442002296 0.02884615385 0.9663461538 0.02790697674 0.9666666667 0.4925373134 0.4925373134
3 12.97625 13.46021526 19.40395833 23.62304687 20.19041667 13.0562795 20.674375 13.56177267 27.41854167 28.16518656 0.9967105263 1 0.04140127389 0.02700805664 0.01948051948 2 0.02857142857 0.9774193548 0.657807309 0.657807309
4 11.4465625 11.4944954 12.669375 18.95051956 16.18546875 10.41531753 17.17046875 11.4766655 22.34453125 22.19118118 1 1 0.03140096618 0.02888798714 0.01470588235 0.9828431373 0.01909307876 0.9829268293 0.7431421446 0.7431421446
5 9.342875 10.68592529 19.07575 16.41313782 13.477875 8.880664063 14.45775 8.858642578 18.529875 18.8162323 0.9963235294 1 0.02117263844 0.03127503395 0.01181102362 0.9862204724 0.02099236641 0.9862745098 0.7944111776 0.7944111776
6 9.7071875 9.611773173 16.64885417 14.20500437 11.26791667 7.729832967 12.5715625 7.963811239 16.3171875 16.16691844 0.9983525535 1 0.01820728291 0.03248095512 0.009868421053 0.9884868421 0.02076677316 0.9885245902 0.8302828619 0.8286189684
7 8.982142857 8.705368042 15.01303571 12.65663365 10.12660714 6.982794625 11.48607143 7.224637712 14.41714286 14.94413321 1 1 0.01597051597 0.0337638855 0.008474576271 0.9901129944 0.01785714286 0.9901408451 0.8530670471 0.8559201141
8 9.164921875 8.236707687 13.61148438 12.02180671 9.375625 6.552799225 10.51359375 6.610824585 14.52804688 14.47271347 0.9965237543 1 0.01422319475 0.03665184975 0.007425742574 0.9913366337 0.01688781665 0.9913580247 0.8714107366 0.8739076155
9 8.264791667 7.818600124 11.23173612 11.6729855 8.753263888 6.127922906 9.934375 6.892974853 13.03090277 13.44825914 0.9989583333 1 0.01282051282 0.04003691673 0.006607929515 0.9922907489 0.01713062099 0.9923076923 0.8867924528 0.8879023307
10 8.24075 7.443261719 11.4661875 10.89825745 12.2486875 5.755177307 9.18575 6.147747803 12.6190625 13.28477325 0.997032641 1 0.01166965889 0.04153299332 0.004512635379 0.9930555556 0.01833976834 0.9911067194 0.8981018981 0.8991008991
