4kbfiles betrfsaged betrfsclean ext4aged ext4clean xfsaged xfsclean btrfsaged btrfsclean zfsaged zfsclean betrfsagedlayout betrfscleanlayout ext4agedlayout ext4cleanlayout xfsagedlayout xfscleanlayout btrfsagedlayout btrfscleanlayout zfsagedlayout zfscleanlayout
100 51.309375 52.02 1524.07375 1412.644375 201.446875 109.966875 247.59 253.815625 571.599375 192.099375 0.9906542056 1 0.03739130435 0.3951048951 0.2142857143 0.6011904762 0.03791469194 0.6944444444 0.04605263158 0.1946308725
200 63.6865625 31.664375 10037.765 862.4615625 115.8559375 63.6640625 212.961875 120.7409375 892.9515625 1087.76125 0.9950980392 1 0.03682946357 0.352 0.1423357664 0.7262773723 0.009316770186 0.8658892128 0.007604562738 0.2156862745
300 40.319375 55.77895833 6924.468333 680.4454167 139.7454167 55.60354167 159.63 99.25916667 218.4366667 180.8933333 0.9967213115 1 0.03613569322 0.3222713864 0.1105263158 0.7868421053 0.01363636364 0.8913043478 0.008108108108 0.2111111111
400 22.7665625 21.83390625 5118.980156 389.8325 135.535 45.4590625 154.6760938 101.1345313 758.6715625 192.1934375 1 1 0.03827751196 0.2920656635 0.09259259259 0.8209876543 0.005444646098 0.9141856392 0.004201680672 0.2559139785
500 67.596 19.978 4529.14575 392.878875 112.313 45.06775 126.578875 88.011125 627.263375 159.276125 0.9963235294 1 0.03951561504 0.2772466539 0.08108108108 0.8429054054 0.004518072289 0.9048316252 0.003430531732 0.2136602452
600 30.91375 42.88416667 3661.841042 417.9034375 124.1903125 57.99458333 137.9284375 85.83947917 539.9677083 103.6264583 0.9950900164 1 0.03880597015 0.2525373134 0.07428571429 0.8557142857 0.003870967742 0.8798498123 0.002877697842 0.2044117647
700 39.25723214 30.40196429 3344.401339 270.7295536 127.4375893 46.82678571 157.6732143 66.73883929 754.4773214 154.3008929 0.9961290323 1 0.03986524424 0.2588433464 0.0682382134 0.8672456576 0.002249718785 0.8765027322 0.002487562189 0.179389313
800 29.51085938 17.29921875 2891.355234 281.4699219 152.6815625 43.43234375 147.9625781 83.126875 651.3580469 189.2554688 0.9942726231 1 0.04080551139 0.2612612613 0.06359649123 0.8760964912 0.003984063745 0.8742690058 0.001098901099 0.235162374
900 61.11333333 16.99826389 2620.335486 293.958125 133.9372222 51.61034722 117.8966667 85.16451389 734.1034028 124.0765278 0.9979550102 1 0.04212637914 0.2212744606 0.05992141454 0.8831041257 0.004472271914 0.8437225637 0.002946954813 0.225
1000 90.5295625 37.0354375 2363.768188 250.824625 130.724375 39.7253125 150.7825625 74.4313125 655.7715625 126.515625 0.9943661972 1 0.04380952381 0.2280952381 0.05693950178 0.8887900356 0.004882017901 0.8768 0.001769911504 0.2279279279
