4kbfiles betrfsaged betrfsclean ext4aged ext4clean xfsaged xfsclean btrfsaged btrfsclean zfsaged zfsclean betrfsagedlayout betrfscleanlayout ext4agedlayout ext4cleanlayout xfsagedlayout xfscleanlayout btrfsagedlayout btrfscleanlayout zfsagedlayout zfscleanlayout
100 60.76 60.374375 373.639375 383.946875 93.131875 60.083125 122.164375 72.089375 159.071875 154.5075 1 1 0.06089193825 0.4038461538 0.2142857143 0.6071428571 0.05741626794 0.7018348624 0.04575163399 0.2945205479
200 36.0278125 35.83 192.33125 208.9340625 61.2290625 34.7628125 86.82875 41.3925 101.645 101.9359375 0.9950980392 1 0.0590086546 0.3541167066 0.1423357664 0.7299270073 0.02160493827 0.8072289157 0.03409090909 0.2086614173
300 27.39583333 27.52958333 140.8770833 150.51 50.70291667 26.716875 68.8425 31.76916667 83.25875 84.71791667 0.9967213115 1 0.05664488017 0.3352984525 0.1105263158 0.7894736842 0.01149425287 0.8157303371 0.01617250674 0.1662049862
400 23.7109375 23.421875 114.18 118.94 46.5109375 21.9696875 58.876875 28.4334375 74.5925 72.83671875 1 1 0.05600539811 0.3069036227 0.09259259259 0.8230452675 0.01277372263 0.8445229682 0.01048218029 0.1978494624
500 20.4205 21.00825 99.034375 101.36175 43.4315 19.738375 56.2325 25.706875 69.171875 67.348 0.9963235294 1 0.0554505356 0.2777070064 0.08108108108 0.8445945946 0.02248875562 0.866084425 0.006861063465 0.2164048866
600 16.405 19.05739583 88.16864583 88.68510417 42.14489583 18.24916667 52.880625 23.32822917 65.38177083 63.855625 0.9950900164 1 0.05493207324 0.2776119403 0.07428571429 0.8571428571 0.0180878553 0.8784461153 0.01007194245 0.2422907489
700 15.17366071 17.66589286 80.54973214 81.94169643 40.37089286 17.15767857 50.87991071 21.86883929 62.88535714 63.16544643 0.9961290323 1 0.05450500556 0.2721661055 0.0682382134 0.8684863524 0.02252252252 0.9148471616 0.007462686567 0.2373737374
800 14.25414063 16.46328125 74.67171875 74.9921875 39.46320313 16.58195313 48.97929688 20.89382813 61.18578125 59.94835938 0.9942726231 1 0.05412506569 0.2468220339 0.06359649123 0.8771929825 0.01898101898 0.9021526419 0.007700770077 0.2254464286
900 13.27729167 15.98875 70.35736111 69.11798611 38.5375 15.86201389 47.48534722 20.34784722 60.59340278 57.52340278 0.9979550102 1 0.05226480836 0.2385964912 0.05992141454 0.884086444 0.01617250674 0.9301503095 0.007866273353 0.2119402985
1000 12.6471875 15.1070625 67.0079375 65.9205625 37.7586875 15.7380625 46.0075625 19.9059375 57.3911875 58.2284375 0.9943661972 1 0.05203405866 0.2266666667 0.05693950178 0.8896797153 0.0162999185 0.9291465378 0.007079646018 0.189701897
1100 12.6725 13.76545455 64.01960227 61.64556818 37.57948864 14.82778409 45.77272727 18.89676136 59.06028409 55.66607955 0.9946808511 0.9874551971 0.05182514646 0.2220208428 0.05447154472 0.8943089431 0.01569506726 0.9414814815 0.006462035541 0.1963845522
1200 13.58322917 13.40927083 61.71546875 60.17473958 37.0046875 14.54875 45.11036458 18.47875 57.15984375 54.91348958 0.9950213371 0.9876746097 0.05206540448 0.2036316472 0.05239520958 0.8982035928 0.01312154696 0.9369863014 0.008154188288 0.2214714715
1300 13.03360577 12.91644231 59.58509615 57.34115385 36.82153846 13.94221154 44.55057692 18.17201923 57.84105769 57.35206731 0.9944636678 0.9893858984 0.05226337449 0.2083505581 0.05062413315 0.9015256588 0.01471529111 0.9189360355 0.007523939808 0.2239944522
1400 12.9334375 12.379375 57.59058036 54.96803571 36.12683036 14.13852679 44.265625 18.04803571 59.19625 54.6240625 0.9956494717 0.9901477833 0.05207100592 0.2063366337 0.04967741935 0.9032258065 0.01075911536 0.9182464455 0.005732484076 0.2139175258
1500 11.65404167 12.05841667 56.981375 54.39033333 36.494125 13.761 43.82104167 17.50125 57.63025 56.10895833 0.9962825279 0.9894875164 0.05111700114 0.1952887538 0.04830917874 0.9057971014 0.01398210291 0.925 0.004753416518 0.2178098676
1600 10.81949219 12.193125 55.03253906 53.30894531 35.74285156 13.40257813 42.90609375 18.18378906 56.74679688 57.59289063 0.9982718894 0.9883004926 0.05098324836 0.1822498174 0.04710556186 0.9080590238 0.01263157895 0.9309435952 0.005567928731 0.2213393871
1700 10.78632353 12.08007353 53.74952206 51.45360294 35.43584559 13.32680147 42.88830882 17.154375 56.79459559 56.39044118 0.9978540773 0.9884057971 0.0508593476 0.1894551845 0.0460385439 0.9100642398 0.01493280239 0.9319862001 0.005227391532 0.238575983
