fs, files, files.sec

ext4,
ext4, 10000, 125.315725
ext4, 20000, 102.560516
ext4, 30000, 137.808460
ext4, 40000, 160.370376
ext4, 50000, 160.168134
ext4, 60000, 131.383245
ext4, 70000, 153.280284
ext4, 80000, 143.893233
ext4, 90000, 161.879131
ext4, 100000, 145.517448
ext4, 110000, 152.407440
ext4, 120000, 151.906821
ext4, 130000, 146.124324
ext4, 140000, 146.816005
ext4, 150000, 157.302768
ext4, 160000, 147.647817
ext4, 170000, 148.472889
ext4, 180000, 152.537160
ext4, 190000, 147.818047
ext4, 200000, 148.678981
ext4, 210000, 149.668166
ext4, 220000, 153.440223
ext4, 230000, 147.052477
ext4, 240000, 147.436138
ext4, 250000, 151.473284
ext4, 260000, 154.487441
ext4, 270000, 150.847832
ext4, 280000, 145.933636
ext4, 290000, 148.639132
ext4, 300000, 153.744863
ext4, 310000, 152.455328
ext4, 320000, 145.597733
ext4, 330000, 148.718782
ext4, 340000, 153.224192
ext4, 350000, 155.572918
ext4, 360000, 147.978597
ext4, 370000, 152.088993
ext4, 380000, 152.127265
ext4, 390000, 154.058928
ext4, 400000, 148.908711
ext4, 410000, 150.736656
ext4, 420000, 152.645898
ext4, 430000, 152.403785
ext4, 440000, 147.419732
ext4, 450000, 150.769643
ext4, 460000, 151.485210
ext4, 470000, 154.753133
ext4, 480000, 150.211518
ext4, 490000, 150.461469
ext4, 500000, 150.408688
ext4, 510000, 153.416826
ext4, 520000, 150.326084
ext4, 530000, 150.628044
ext4, 540000, 153.469022
ext4, 550000, 152.238645
ext4, 560000, 151.499241
ext4, 570000, 149.951744
ext4, 580000, 151.509333
ext4, 590000, 152.972168
ext4, 600000, 151.540870
ext4, 610000, 152.585470
ext4, 620000, 154.404299
ext4, 630000, 156.009856
ext4, 640000, 158.256656
ext4, 650000, 156.985680
ext4, 660000, 159.384794
ext4, 670000, 157.038121
ext4, 680000, 158.255038
ext4, 690000, 156.957925
ext4, 700000, 158.041150
ext4, 710000, 155.828171
ext4, 720000, 158.022391
ext4, 730000, 155.795775
ext4, 740000, 157.929841
ext4, 750000, 155.870945
ext4, 760000, 157.949161
ext4, 770000, 155.774104
ext4, 780000, 157.797011
ext4, 790000, 155.773364
ext4, 800000, 156.751121
ext4, 810000, 155.687440
ext4, 820000, 156.662779
ext4, 830000, 154.952752
ext4, 840000, 156.819443
ext4, 850000, 155.087627
ext4, 860000, 156.912175
ext4, 870000, 155.037987
ext4, 880000, 156.819818
ext4, 890000, 155.376405
ext4, 900000, 156.255153
ext4, 910000, 155.370747
ext4, 920000, 156.486854
ext4, 930000, 155.153056
ext4, 940000, 156.821077
ext4, 950000, 156.191090
ext4, 960000, 157.056273
ext4, 970000, 155.401767
ext4, 980000, 157.003029
ext4, 990000, 155.455829
ext4, 1000000, 156.238675
ext4, 1010000, 155.499919
ext4, 1020000, 156.208340
ext4, 1030000, 155.665765
ext4, 1040000, 156.445632
ext4, 1050000, 155.746120
ext4, 1060000, 156.537833
ext4, 1070000, 155.015757
ext4, 1080000, 156.463983
ext4, 1090000, 155.624877
ext4, 1100000, 155.608841
ext4, 1110000, 154.823467
ext4, 1120000, 155.545979
ext4, 1130000, 154.839410
ext4, 1140000, 155.563438
ext4, 1150000, 154.898534
ext4, 1160000, 155.579972
ext4, 1170000, 155.051382
ext4, 1180000, 156.376586
ext4, 1190000, 154.902398
ext4, 1200000, 156.203946
ext4, 1210000, 154.884774
ext4, 1220000, 156.158057
ext4, 1230000, 155.023331
ext4, 1240000, 155.635005
ext4, 1250000, 154.861229
ext4, 1260000, 155.437705
ext4, 1270000, 154.877575
ext4, 1280000, 155.528702
ext4, 1290000, 154.295364
ext4, 1300000, 155.490967
ext4, 1310000, 154.213037
ext4, 1320000, 155.389627
ext4, 1330000, 154.183143
ext4, 1340000, 155.342214
ext4, 1350000, 154.157755
ext4, 1360000, 154.738659
ext4, 1370000, 153.577864
ext4, 1380000, 154.698785
ext4, 1390000, 153.671945
ext4, 1400000, 154.777420
ext4, 1410000, 153.861373
ext4, 1420000, 154.946680
ext4, 1430000, 153.907242
ext4, 1440000, 154.975003
ext4, 1450000, 154.078508
ext4, 1460000, 155.112289
ext4, 1470000, 154.258514
ext4, 1480000, 155.307258
ext4, 1490000, 154.299865
ext4, 1500000, 154.790244
ext4, 1510000, 153.672078
ext4, 1520000, 154.688811
ext4, 1530000, 153.771813
ext4, 1540000, 154.776503
ext4, 1550000, 153.966638
ext4, 1560000, 154.958086
ext4, 1570000, 154.168107
ext4, 1580000, 155.149707
ext4, 1590000, 154.361621
ext4, 1600000, 154.864461
ext4, 1610000, 154.379923
ext4, 1620000, 154.870865
ext4, 1630000, 153.942748
ext4, 1640000, 154.887164
ext4, 1650000, 153.791427
ext4, 1660000, 154.723322
ext4, 1670000, 153.654215
ext4, 1680000, 154.570995
ext4, 1690000, 153.781445
ext4, 1700000, 154.691215
ext4, 1710000, 153.652655
ext4, 1720000, 154.542268
ext4, 1730000, 153.435321
ext4, 1740000, 154.322162
ext4, 1750000, 153.292164
ext4, 1760000, 153.690947
ext4, 1770000, 152.634169
ext4, 1780000, 152.825037
ext4, 1790000, 150.503922
ext4, 1800000, 148.607495
ext4, 1810000, 149.421688
ext4, 1820000, 150.202462
ext4, 1830000, 151.014353
ext4, 1840000, 151.806303
ext4, 1850000, 152.553984
ext4, 1860000, 153.350407
ext4, 1870000, 153.894034
ext4, 1880000, 154.552100
ext4, 1890000, 155.326453
ext4, 1900000, 156.107781
ext4, 1910000, 156.883870
ext4, 1920000, 157.670262
ext4, 1930000, 158.441237
ext4, 1940000, 159.099186
ext4, 1950000, 159.545681
ext4, 1960000, 159.891497
ext4, 1970000, 160.524277
ext4, 1980000, 160.330389
ext4, 1990000, 160.338611
ext4, 2000000, 159.874701
ext4, 2010000, 160.259199
ext4, 2020000, 160.073182
ext4, 2030000, 160.470026
ext4, 2040000, 160.081445
ext4, 2050000, 160.479507
ext4, 2060000, 160.065051
ext4, 2070000, 160.447208
ext4, 2080000, 160.026532
