pulls_performed filesystem_size_bs aged_time aged_layout_score clean_time clean_layout_score filesystem_size file_count
0 247657 3.80038619041 0.696044616045 3.82165312767 0.701003298516  290876 17311
100 270614 3.97846698761 0.680309526657 3.95323204994 0.691075241267  295896 18038
200 274092 4.08149409294 0.670566388115 4.11251807213 0.681915847531  301012 18801
300 280813 4.30079507828 0.657702319566 4.28396296501 0.675417344263  309644 19878
400 285281 4.5055000782 0.646863498814 4.46355605125 0.663006244571  316168 20754
500 288738 4.66538786888 0.630359607111 4.5790309906 0.6564720771  322080 21807
600 293396 4.87828207016 0.616952703247 4.79635000229 0.649976700464  327808 22712
700 297182 5.00710892677 0.59984935656 4.90134000778 0.636735084751  333848 23814
800 301424 5.29053902626 0.585680806556 5.11561489105 0.623161011877  342556 25292
900 307056 5.50317001343 0.571513103599 5.32953500748 0.615226016057  349028 26421
1000 312312 5.61320781708 0.558364621161 5.46419501305 0.609596627796  356448 27497
1100 313931 5.8085000515 0.542746727359 5.6735470295 0.593998625639  362848 28620
1200 319751 5.94763994217 0.529209935022 5.81844305992 0.588330730391  368856 29625
1300 328497 6.20932197571 0.521708797815 6.00684404373 0.582485389659  379172 30838
1400 331607 6.41966199875 0.510509403927 6.17691993713 0.571882200035  384116 31798
1500 335113 6.57981514931 0.497297851462 6.3583650589 0.569617291353  390104 32828
1600 340648 6.70239496231 0.485416636481 6.52910900116 0.561378392839  397612 33923
1700 344345 6.80269598961 0.474067779522 6.62150192261 0.552102035247  403040 34889
1800 350839 7.0041179657 0.467686712412 6.78352308273 0.545231267214  409604 35766
1900 353306 7.16181302071 0.459107205624 6.96443605423 0.537583628493  415816 36792
2000 357151 7.33993196487 0.447056196086 7.11293196678 0.527649833906  422556 37885
2100 361949 7.51859784126 0.438401392496 7.3008890152 0.524116997792  429644 38849
2200 364658 7.57403111458 0.428196568163 7.48823595047 0.514608224602  435004 39742
2300 368422 7.74697494507 0.420570181421 7.60398197174 0.515467846206  440308 40582
2400 372268 7.83224582672 0.411654059028 7.72292208672 0.51009625726  446532 41515
2500 379949 8.05216503143 0.405249246218 7.89368796349 0.504755372053  456760 42724
2600 385228 8.17439603806 0.394616770325 8.07105207443 0.499092797602  464532 43929
2700 391006 8.41771411896 0.382137932829 8.29590296745 0.490165101975  473284 45238
2800 398198 8.63668608665 0.374126590054 8.50614905357 0.489686178841  482468 46566
2900 402620 8.86290717125 0.363366449697 8.7600209713 0.482295173252  489944 47810
3000 407692 9.09385585785 0.351042926239 8.96676206589 0.476632470282  497128 49119
3100 413173 9.27564001083 0.342286312536 9.1635529995 0.468903558843  505000 50266
3200 418213 9.54078006744 0.331015230307 9.33258605003 0.457239471257  512880 51631
3300 424027 9.65652608871 0.321515518528 9.53067994118 0.448417486259  521068 52913
3400 430365 9.91854095459 0.308735468105 9.72824597359 0.441179658241  530928 54485
3500 436586 10.1119098663 0.301280057423 9.97703504562 0.441690840287  539320 55678
